S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,ICICI BANK,"2,50,500",Yes,fixed,,Nil,Nil,26-Aug-2025 10:00 AM,17-Sep-2025 11:00 AM,26-Aug-2025 10:00 AM,16-Sep-2025 05:00 PM,NA ,NA ,26-Aug-2025 10:00 AM,16-Sep-2025 05:00 PM,14-Nov-2025 11:30 AM,1.0,Fee/PreQual/Technical,.pdf,"Registration Certificate duly registered in CDMS Portal, Active GSTIN, PAN Card, Bid Security (EMD)","O/O CCE, PIP, BALIMELA","O/O CCE, PIP, BALIMELA","CCE Potteru Irr.Project,Balimela||CCE Potteru Irr.Project||Potteru Canal Divn-III,MV79,Bhubanapali",CCE-PIP-BML-01/2025-26,2025_CCEBA_117315_5,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Providing trough wall lining and renovation works in between RD 10.165 km to RD 13.175 km of Udayagiri Distributary,Providing trough wall lining and renovation works in between RD 10.165 km to RD 13.175 km of Udayagiri Distributary,Please refer Tender documents. ,NA ,"2,50,42,050",Civil Works - Canal,NA ,Tender,90.0,180.0,BALIMELA,764051.0,NA ,NA ,NA ,"O/O CCE, PIP, BALIMELA",No ,No,"10,000",0.0,Nil,Nil,No,AOC,1,3079031,AMIT KUMAR SWAIN,14-Sep-2025 11:01 AM,Rejected-Finance,Not Selected through Transparent Lottery Process,18-Dec-2025 02:00 PM,18-Dec-2025,"INR 21,288,246",180.0,SANOJ SAHU,24-Dec-2025 07:22 PM,WORK_ORDER_5.pdf (679.00 KB),"Agreement Drawn vide Agreement No.66P1/2025-26 dtd.18.12.2025 of the Superintending Engineer, Potteru Canal Division, MV-79","Er.Siba Prasad Panigrahy, C.C.E., P.I.P, Balimela",Internal,"Er.Siba Prasad Panigrahy, C.C.E., P.I.P, Balimela, Er. Abhimanyu Pradhan, Asst.to C.C.E., P.I.P, Balimela, Er.Sanoj Sahu, S.E., P.C.D, MV-79, Er.Rahan Singh, A.E.E (Estimator)",SANOJ SAHU,12-Nov-2025 01:38 PM,14-Nov-2025 11:30 AM,techsummary_550423.pdf (5144.66 KB),Finance,Bid Opening Summary,SANOJ SAHU,14-Nov-2025 04:38 PM,finance_550423.pdf,BOQ Comparative Chart,Technical,BID OPENING SUMMARY,SANOJ SAHU,12-Nov-2025 12:13 PM,technical_550423.pdf,"CCE Potteru Irr.Project,Balimela||CCE Potteru Irr.Project||Potteru Canal Divn-III,MV79,Bhubanapali",2025_CCEBA_117315_5,CCE-PIP-BML-01/2025-26,Providing trough wall lining and renovation works in between RD 10.165 km to RD 13.175 km of Udayagiri Distributary,"Er.Siba Prasad Panigrahy, C.C.E., P.I.P, Balimela",Internal,"Er.Siba Prasad Panigrahy, C.C.E., P.I.P, Balimela, Er. Abhimanyu Pradhan, Asst.to C.C.E., P.I.P, Balimela, Er.Sanoj Sahu, S.E., P.C.D, MV-79, Er.Rahan Singh, A.E.E (Estimator)",SANOJ SAHU,18-Dec-2025 02:00 PM,finsummary_550423.pdf (2356.32 KB),1.0,3082791.0,MEENA BISWAS,INR,"21,288,246",AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,.pdf,"Tender Cost, Affidavit, No Relation Certificate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,3082590,ANUP KUMAR SARKAR,15-Sep-2025 09:29 PM,Rejected-Finance,Not Selected through Transparent Lottery Process,18-Dec-2025 02:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,3066343,Arindam Haldar,06-Sep-2025 06:55 PM,Rejected-Finance,Not Selected through Transparent Lottery Process,18-Dec-2025 02:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,3080188,ARUPAMA KHATEI,15-Sep-2025 09:51 AM,Rejected-Technical,REJECTED,12-Nov-2025 01:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,3083978,ASHIS SARKAR,16-Sep-2025 04:16 PM,Rejected-Finance,Not Selected through Transparent Lottery Process,18-Dec-2025 02:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,3083093,Ashok Kumar Lenka,16-Sep-2025 11:18 AM,Rejected-Finance,Not Selected through Transparent Lottery Process,18-Dec-2025 02:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,3064985,B. Arun Patra,05-Sep-2025 08:45 PM,Rejected-Finance,Not Selected through Transparent Lottery Process,18-Dec-2025 02:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,3082678,BASUDEV RAO,15-Sep-2025 10:38 PM,Rejected-Finance,Not Selected through Transparent Lottery Process,18-Dec-2025 02:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,3083382,BHAGABATI SWAR,16-Sep-2025 01:07 PM,Rejected-Finance,Not Selected through Transparent Lottery Process,18-Dec-2025 02:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,3079095,BIBEKANANDA MANDAL,13-Sep-2025 09:55 PM,Rejected-Finance,Not Selected through Transparent Lottery Process,18-Dec-2025 02:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,11,3080060,BIBEK KUMAR AGARWAL,14-Sep-2025 10:43 PM,Rejected-Finance,Not Selected through Transparent Lottery Process,18-Dec-2025 02:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,12,3080569,BISHNUPAD MANDAL,16-Sep-2025 08:38 AM,Rejected-Finance,Not Selected through Transparent Lottery Process,18-Dec-2025 02:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
