Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage
Suprava Kanhar,Internal,,SUPRAVA KANHAR,14-Dec-2025 11:19 AM,techsummary_537367.pdf (218.55 KB),1,2899953,ASIAN GEOTECH RESEARCH SERVICES,29-Apr-2025 04:39 PM,Rejected-AOC,Unsuccessful,14-Dec-2025 11:30 AM,14-Dec-2025,"INR 713,067.08",30.0,SUPRAVA KANHAR,14-Dec-2025 11:29 AM,KOKALBAMIP.pdf (883.00 KB),Finance,"Out of 10 nos of bidders , 7 nos of bidders are eligible and 3 nos bidders are rejected",Sweta Subhadarsini,03-May-2025 01:35 PM,,BOQ Comparative Chart,1.0,2899806.0,NIRAJ BHARAT VANKUDRE,INR,"713,067","CE,Minor Irrigation,BBSR||Phulbani Minor Irrigation Circle Phulbani||MI Division Bhanjanagar",2025_CEMIB_112768_1,SEMIDBNJ-01/2025-26,Topographical Survey River survey command area survey and Geological and foundation exploration of Kokalaba DW At Khajuripalli in J.N.Prasad Block under S.I Grant 2025-26,Suprava Kanhar,Internal,,SUPRAVA KANHAR,14-Dec-2025 11:23 AM,finsummary_537367.pdf (218.37 KB),AOC,"CE,Minor Irrigation,BBSR||Phulbani Minor Irrigation Circle Phulbani||MI Division Bhanjanagar",SEMIDBNJ-01/2025-26,2025_CEMIB_112768_1,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,"8,400",No,fixed,,Nil,Nil,23-Apr-2025 04:30 PM,30-Apr-2025 11:00 AM,23-Apr-2025 04:30 PM,29-Apr-2025 05:30 PM,23-Apr-2025 04:30 PM ,24-Apr-2025 05:00 PM ,23-Apr-2025 04:30 PM,29-Apr-2025 05:30 PM,"S.E. Minor Irrigation Division, Bhanjanagar","S.E. Minor Irrigation Division, Bhanjanagar","4,000",0.0,Nil,Nil,No,1.0,ICICI BANK,Topographical Survey River survey command area survey and Geological and foundation exploration of Kokalaba DW At Khajuripalli in J.N.Prasad Block under S.I Grant 2025-26,"Topographical Survey, River survey, command area survey and Geological and foundation exploration of Kokalaba DW At Khajuripalli in J.N.Prasad Block under S.I Grant 2025-26",Please refer Tender documents. ,NA ,"8,40,000",Civil Works - Others,NA ,Tender,90.0,30.0,Jaganathaprasad,761121.0,NA ,NA ,NA ,"S.E. Minor Irrigation Division, Bhanjanagar",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Valid Registration Certificate PAN, GSTIN and otherrelated documents with Mobile No and email ID",AOC
,,,,,,2,2899799,CHINARI SATYANARAYANA PATRO,29-Apr-2025 12:16 PM,Rejected-AOC,Unsuccessful,14-Dec-2025 11:30 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,AOC
,,,,,,3,2897769,GALLOP INFRA SERVICES CONSULTANCY,29-Apr-2025 12:44 PM,Rejected-AOC,Unsuccessful,14-Dec-2025 11:30 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,TCN,AOC
,,,,,,4,2898574,Hindustan Geomatics Pvt. Ltd.,29-Apr-2025 03:52 PM,Not Admitted-Fee/PreQual/Technical/Finance,Others-Vide O.M. No. 12366 dtd. 08.11.2013 of OPWD Code Vol-II 15% & above less quoted rate has been rejected.,03-May-2025 01:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,5,2900369,MANOJ KUMAR PANIGRAHY,29-Apr-2025 03:44 PM,Not Admitted-Fee/PreQual/Technical/Finance,Others-Rejected due to non submission of Registered Farm Certificate .,03-May-2025 01:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,6,2898713,Newgen Techno Service Engineers (P) LTD,28-Apr-2025 06:47 PM,Not Admitted-Fee/PreQual/Technical/Finance,Others-Rejected due to non submission of Affidavit.,03-May-2025 01:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,7,2899806,NIRAJ BHARAT VANKUDRE,29-Apr-2025 04:03 PM,Accepted-AOC,Accepted as selected on Lottery.,14-Dec-2025 11:30 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,8,2898402,Subudhi Technoengineers Pvt Ltd,29-Apr-2025 01:08 PM,Rejected-AOC,Unsuccessful,14-Dec-2025 11:30 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,9,2895524,Utkal Infraprojects Pvt Ltd,29-Apr-2025 11:32 AM,Rejected-AOC,Unsuccessful,14-Dec-2025 11:30 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,10,2898340,Water Power Consultants india Pvt Ltd,29-Apr-2025 01:57 PM,Rejected-AOC,Unsuccessful,14-Dec-2025 11:30 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
