Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
Installation and Energisation of Jodabandha - VI and Nakulaguda - VIII L.I.Project under Boriguma Block of Koraput District,Installation and Energisation of Jodabandha - VI and Nakulaguda - VIII L.I.Project under Boriguma Block of Koraput District,Please refer Tender documents. ,NA ,"53,46,100",Civil Works - Lift Irrigation Schemes,NA ,Tender,270.0,90.0,Koraput,764020.0,NA ,NA ,NA ,Koraput,No ,No,"11,800",0.0,Nil,Nil,No,Orissa Lift Irrigation Corporation||LI KORAPUT||LI Division Koraput,03/2025-26,2025_OLIC_119009_4,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,E E L I Division Koraput,E E L I Division Koraput,1.0,ICICI BANK,"53,461",No,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"Detail Tender Call notice, PAN ,GST, Civil and Electrical Contractors Licence, Labour Licence,Experi",13-Oct-2025 10:00 AM,24-Oct-2025 11:00 AM,13-Oct-2025 10:00 AM,23-Oct-2025 05:00 PM,NA ,NA ,13-Oct-2025 10:00 AM,23-Oct-2025 05:00 PM,AOC,Executive Engineer,Internal,"Executive Engineer, Divisional Accountant, Estimator",JUGAL TAKRI,06-Dec-2025 01:40 PM,techsummary_554842.pdf (204.08 KB),Orissa Lift Irrigation Corporation||LI KORAPUT||LI Division Koraput,2025_OLIC_119009_4,03/2025-26,Installation and Energisation of Jodabandha - VI and Nakulaguda - VIII L.I.Project under Boriguma Block of Koraput District,1.0,3145717.0,"M/S SHRADHA ENTERPRISES, JEYPORE",INR,"5,362,769",1,3145839,ANUP POWER INFRASTRUCTURE,23-Oct-2025 03:13 PM,Rejected-AOC,Awarded,08-Dec-2025 04:26 PM,08-Dec-2025,"INR 4,544,720",90.0,JUGAL TAKRI,08-Dec-2025 04:26 PM,AOCsummary.pdf (40.00 KB),Awarded,Executive Engineer,Internal,"Executive Engineer, Divisional Accountant, Estimator",JUGAL TAKRI,06-Dec-2025 05:08 PM,finsummary_554842.pdf (204.08 KB),Finance,13 no bidders are participated successfully.,JUGAL TAKRI,06-Dec-2025 12:02 PM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,.xls,BOQ,,,,,,,,,AOC,,,,,,,,,,,,,,,,2,3139643,BADAL PATTNAIK,22-Oct-2025 07:54 PM,Rejected-AOC,Awarded,08-Dec-2025 04:26 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,3,3135122,CHANDAN NAYAK,20-Oct-2025 11:59 AM,Rejected-AOC,Awarded,08-Dec-2025 04:26 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,4,3132399,M/S ENGINEERS ENTERPRISES,17-Oct-2025 02:56 PM,Rejected-AOC,Awarded,08-Dec-2025 04:26 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,5,3136186,M/S MAHAMAYEE ENTERPRISES,19-Oct-2025 09:50 PM,Rejected-AOC,Awarded,08-Dec-2025 04:26 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,6,3136371,M/S. PADHI ELECTRICALS,21-Oct-2025 11:29 AM,Rejected-AOC,Awarded,08-Dec-2025 04:26 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,7,3132890,M/S SHANTI POWER AND CONSTRUCTION,18-Oct-2025 04:39 PM,Rejected-AOC,Awarded,08-Dec-2025 04:26 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,8,3145717,"M/S SHRADHA ENTERPRISES, JEYPORE",23-Oct-2025 03:36 PM,Accepted-AOC,Awarded,08-Dec-2025 04:26 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,9,3143736,M/S U.S. QUALITY ENGINEERING WORKS,23-Oct-2025 11:09 AM,Rejected-AOC,Awarded,08-Dec-2025 04:26 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,10,3143582,RABINDRA KUMAR SIA,22-Oct-2025 10:03 PM,Rejected-AOC,Awarded,08-Dec-2025 04:26 PM,,,,,,,,,,,,,,,,,,,,AOC
