Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Tender Stage
"CE,Drainage,Cuttack||SE,Drainage,Cuttack||EE, Drainage Divn, Cuttack",2025_CEDC_120206_1,EE-DD-CTC-07/2025-26 / EE-DD-CTC-15/2025-26,Construction of hume pipe Culvert over Hatiganda Golaganda link drain near village Billitentuli of Banki Block in Cuttack District.,1.0,3180894.0,ANIL KUMAR SAHOO,INR,"1,070,476",Sourav Kumar Sahoo,Internal,"Executive Engineer, Asst. Executive Engineer, DAO and Asst. Engineer.",Sourav Kumar Sahoo,17-Nov-2025 02:30 PM,techsummary_559098.pdf (11081.96 KB),09-Dec-2025,"INR 1,259,236",90.0,Sourav Kumar Sahoo,20-Dec-2025 02:27 PM,aocofHatigandaGolaganda.pdf (2959.00 KB),Award of Contract,Finance,Bid Opening Summary,Sourav Kumar Sahoo,17-Nov-2025 02:06 PM,finance_559098.pdf,BOQ Comparative Chart,Sourav Kumar Sahoo,Internal,"Executive Engineer, Assistant Executive Engineer, DAO and Assistant Engineer.",Sourav Kumar Sahoo,09-Dec-2025 12:53 PM,finsummary_559098.pdf (538.52 KB),1,3180894,ANIL KUMAR SAHOO,04-Nov-2025 01:58 PM,Accepted-AOC,Successful bidder through transparent lottery.,20-Dec-2025 02:27 PM,AOC,"6,000",0.0,Nil,Nil,No,"CE,Drainage,Cuttack||SE,Drainage,Cuttack||EE, Drainage Divn, Cuttack",EE-DD-CTC-07/2025-26 / EE-DD-CTC-15/2025-26,2025_CEDC_120206_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Construction of hume pipe Culvert over Hatiganda Golaganda link drain near village Billitentuli of Banki Block in Cuttack District.,Construction of hume pipe Culvert over Hatiganda Golaganda link drain near village Billitentuli of Banki Block in Cuttack District.,Please refer Tender documents. ,NA ,"12,59,236",Civil Works - Others,NA ,Tender,90.0,90.0,BANKI,754008.0,NA ,NA ,NA ,"O/o the Executive Engineer, Drainage Division, CTC",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Paper Cost, EMD, RC, PAN, Valid GST, Affidavit and Other documents as per DTCN","12,600",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,28-Oct-2025 11:00 AM,12-Nov-2025 11:30 AM,28-Oct-2025 11:00 AM,11-Nov-2025 06:00 PM,28-Oct-2025 11:00 AM ,05-Nov-2025 06:00 PM ,28-Oct-2025 11:00 AM,11-Nov-2025 06:00 PM,"O/o the Executive Engineer, Drainage Division, CTC","Executive Engineer, Drainage Division, CTC",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3198939,ARABINDA MOHANTY,10-Nov-2025 12:22 PM,Rejected-Finance,Unsuccessful bidder through transparent lottery.,09-Dec-2025 12:53 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BILL OF QUANTITY,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3212535,BHABANI SANKAR DAS,11-Nov-2025 01:16 PM,Rejected-Finance,Unsuccessful bidder through transparent lottery.,09-Dec-2025 12:53 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3209077,BHIKARI CHARAN NAYAK,10-Nov-2025 05:18 PM,Rejected-Finance,Unsuccessful bidder through transparent lottery.,09-Dec-2025 12:53 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3212087,DHIREN KUMAR ROUT,11-Nov-2025 12:25 PM,Rejected-Finance,Unsuccessful bidder through transparent lottery.,09-Dec-2025 12:53 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3180677,ISWAR KUMAR DALEI,04-Nov-2025 01:23 PM,Rejected-Finance,Unsuccessful bidder through transparent lottery.,09-Dec-2025 12:53 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3207517,Jaya Prakash Routray,10-Nov-2025 02:13 PM,Rejected-Finance,Unsuccessful bidder through transparent lottery.,09-Dec-2025 12:53 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3184603,LIZARANI SAHOO,05-Nov-2025 03:17 PM,Rejected-Finance,Unsuccessful bidder through transparent lottery.,09-Dec-2025 12:53 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3201608,MAHIMA PRASAD SAHOO,09-Nov-2025 01:58 PM,Rejected-Finance,Unsuccessful bidder through transparent lottery.,09-Dec-2025 12:53 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3170186,MANGULI CHARAN DALEI,31-Oct-2025 04:42 PM,Rejected-Finance,Unsuccessful bidder through transparent lottery.,09-Dec-2025 12:53 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3212254,M/s BIJU MOHAPATRA,11-Nov-2025 12:43 PM,Rejected-Finance,Unsuccessful bidder through transparent lottery.,09-Dec-2025 12:53 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
