Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
CE RW I||RW-CIRCLE-SUNDARGARH||RW-Division-Sundargarh II,Online -EERKL-04 of 2025-26,2025_CERWI_115524_3,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"Ececutive Engineer, RW Division,Rourkela","Office of the Executive Engineer,RW Division,Rourkela","72,380",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"Valid Registration Certificate, GST Registration Certificate and PAN Card","10,000",0.0,Nil,Nil,No,Construction of RI office cum Residence building at Birikera for the year 2025-26,Construction of RI office cum Residence building at Birikera for the year 2025-26,Please refer Tender documents. ,NA ,"75,66,169",Civil Works - Buildings,NA ,Tender,90.0,270.0,ROURKELA,769004.0,NA ,NA ,NA ,"Office of the Executive Engineer,RW Division,Rourk",No ,No,1.0,ICICI BANK,14-Jul-2025 03:00 PM,22-Jul-2025 09:00 AM,14-Jul-2025 03:00 PM,21-Jul-2025 05:00 PM,14-Jul-2025 03:00 PM ,20-Jul-2025 05:00 PM ,14-Jul-2025 03:00 PM,21-Jul-2025 05:00 PM,12-Aug-2025 10:00 AM,AOC,EE/ DAO/ Estimator,Internal,EE/ DAO/ Estimator,Dasharathi Sethy,17-Dec-2025 01:33 PM,finsummary_545938.pdf (170.35 KB),CE RW I||RW-CIRCLE-SUNDARGARH||RW-Division-Sundargarh II,2025_CERWI_115524_3,Online -EERKL-04 of 2025-26,Construction of RI office cum Residence building at Birikera for the year 2025-26,Technical,18 Bidders Applied,Dasharathi Sethy,11-Aug-2025 06:07 PM,,1.0,3003234.0,SUBRAT KUMAR NAIK,INR,"6,432,000",1,3007123,"A R INFRA ,PROP-NELSAN KANDULNA",21-Jul-2025 03:44 PM,Rejected-AOC,Rejected by the committee,17-Dec-2025 01:37 PM,17-Dec-2025,"INR 6,432,000",270.0,Dasharathi Sethy,17-Dec-2025 01:37 PM,AOC.pdf (170.00 KB),Awarded Cost,Finance,16 bidders qualified,Dasharathi Sethy,17-Dec-2025 01:25 PM,,BOQ Comparative Chart,"AE Estt, DAO, SE",Internal,"AE Estt, DAO, SE",Dasharathi Sethy,11-Aug-2025 06:15 PM,12-Aug-2025 10:00 AM,techsummary_545938.pdf (2748.58 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,No Relation Certificate in Format II,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2,3005333,BISHI KESAN NAIK,20-Jul-2025 06:19 PM,Rejected-AOC,Rejected by the committee,17-Dec-2025 01:37 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit on Authentication of tender documents etc. as per Format III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,3,3006997,CHANDA MINJ,21-Jul-2025 02:14 PM,Rejected-Technical,Rejected by the coomiittee,11-Aug-2025 06:15 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavit regarding Litigation, Debarring,Expelling, Abandon, true Correct of work as per format IV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,4,3001394,CHITRASEN BISWAL,16-Jul-2025 07:11 PM,Rejected-AOC,Rejected by the committee,17-Dec-2025 01:37 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,A joint venture agreement with electrical contractor having valid licensee for execution of the e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,5,3001231,DEEPAK SAHOO,16-Jul-2025 04:57 PM,Rejected-AOC,Rejected by the committee,17-Dec-2025 01:37 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The undersign should mention the particular work name on the affidavit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,6,2999812,ENGICONS ASSOCIATES,19-Jul-2025 05:23 PM,Rejected-AOC,Rejected by the committee,17-Dec-2025 01:37 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,7,3003476,GOPAL TOPPO,21-Jul-2025 12:47 PM,Rejected-AOC,Rejected by the committee,17-Dec-2025 01:37 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,8,3004820,HIMANSU SEKHAR PANDA,20-Jul-2025 10:31 AM,Rejected-AOC,Rejected by the committee,17-Dec-2025 01:37 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,9,3002997,KALANDI CHARAN SWAIN,20-Jul-2025 03:02 PM,Rejected-Technical,Rejected by the coomiittee,11-Aug-2025 06:15 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,10,3006651,LAXMAN KUMAR BAGH,21-Jul-2025 01:13 PM,Rejected-AOC,Rejected by the committee,17-Dec-2025 01:37 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,11,3001245,NIBHA MISHRA,16-Jul-2025 04:49 PM,Rejected-AOC,Rejected by the committee,17-Dec-2025 01:37 PM,,,,,,,,,,,,,,,,,,,,,AOC
