Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Rural Water Supply and Sanitation||RWSS Circle Bhubaneswar||RWSS Division Nayagarh,2025_RWSS_115635_3,04/RWSS/2025-26,Construction of 06 nos of Solar Energy based PWS with 5000 ltr Capacity HDPE Storage Tank with a Staging Height of 3 mtrs in Daspalla Block,1.0,3015614.0,SUPRAKASH MOHANTY,INR,"1,730,074",SE/DAO/AEE(ESTR),Internal,NOTE SHEET,Aloka Ranjan Panda,19-Dec-2025 12:46 PM,techsummary_546219.pdf (2769.89 KB),Finance,NOTE SHEET,Aloka Ranjan Panda,19-Dec-2025 12:39 PM,finance_546219.pdf,BOQ Comparative Chart,SE/DAO/AEE(ESTR),Internal,COMPARATIVE STATEMENT,Aloka Ranjan Panda,19-Dec-2025 12:49 PM,finsummary_546219.pdf (3391.43 KB),19-Dec-2025,"INR 2,035,142",30.0,Aloka Ranjan Panda,19-Dec-2025 12:52 PM,agdas1.pdf (2216.00 KB),AGREEMENT,1,3017270,Ajit Kumar Bhutia,29-Jul-2025 10:25 PM,Rejected-Technical,L17 BIDDER,19-Dec-2025 12:46 PM,AOC,"6,000",0.0,Nil,Nil,No,16-Jul-2025 06:00 PM,30-Jul-2025 04:00 PM,16-Jul-2025 06:00 PM,30-Jul-2025 03:00 PM,16-Jul-2025 06:00 PM ,22-Jul-2025 05:00 PM ,16-Jul-2025 06:00 PM,30-Jul-2025 03:00 PM,1.0,ICICI BANK,Rural Water Supply and Sanitation||RWSS Circle Bhubaneswar||RWSS Division Nayagarh,04/RWSS/2025-26,2025_RWSS_115635_3,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Construction of 06 nos of Solar Energy based PWS with 5000 ltr Capacity HDPE Storage Tank with a Staging Height of 3 mtrs in Daspalla Block,Construction of 06 nos of Solar Energy based PWS with 5000 ltr Capacity HDPE Storage Tank with a Staging Height of 3 mtrs in Daspalla Block,Please refer Tender documents. ,NA ,"20,35,142",Civil Works - Water Works,NA ,Tender,30.0,30.0,NAYAGARH,752069.0,NA ,NA ,NA ,"OFFICE OF THE SE RWSS DIVISION, NAYAGARH",No ,No,"SE RWSS DIVISION, NAYAGARH","O/O SE, RWSS DIVISION, NAYAGARH, NEAR FIRE STATION KHANDAPADA ROAD, NAYAGARH",1.0,Fee/PreQual/Technical/Finance,.pdf,"COST OF TENDER PAPER, EMD, GST, PAN, REGISTRATION CERTIFICATE, EXPERIENCE CERTIFICATE, AFFIDAVIT","20,351",Yes,percentage,1.0%,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3012150,ARUN SAHOO,25-Jul-2025 07:26 PM,Rejected-Technical,L3 BIDDER,19-Dec-2025 12:46 PM,AOC,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3017813,BHARAT KUMAR JAIN,30-Jul-2025 12:51 PM,Rejected-Technical,L23 BIDDER,19-Dec-2025 12:46 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3014996,DEBIPRASAD PRADHAN,28-Jul-2025 02:34 PM,Rejected-Technical,L5 BIDDER,19-Dec-2025 12:46 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3016970,DEELIP KUMAR SARANGI,30-Jul-2025 01:02 PM,Rejected-Technical,L14 BIDDER,19-Dec-2025 12:46 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3016584,DIBYA RANJAN PRADHAN,29-Jul-2025 01:55 PM,Not Admitted-Fee/PreQual/Technical/Finance,Not qualified for AOC,19-Dec-2025 12:39 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3016789,FIDA HOSEN KHAN,29-Jul-2025 03:44 PM,Rejected-Technical,L12 BIDDER,19-Dec-2025 12:46 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3015695,GOPAL CHANDRA JAIN,29-Jul-2025 12:34 PM,Rejected-Technical,L8 BIDDER,19-Dec-2025 12:46 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3017394,JOY SOLAR PVT LTD,30-Jul-2025 01:38 PM,Rejected-Technical,L18 BIDDER,19-Dec-2025 12:46 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3015741,Kailash Kumar Agrawal,29-Jul-2025 01:29 PM,Rejected-Technical,L9 BIDDER,19-Dec-2025 12:46 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3017730,KANHEYALAL AGRAWAL,30-Jul-2025 12:21 PM,Rejected-Technical,L22 BIDDER,19-Dec-2025 12:46 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3017695,MANOJ KUMAR SATAPATHY,30-Jul-2025 12:22 PM,Rejected-Technical,L20 BIDDER,19-Dec-2025 12:46 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,3011181,MODERN WINDING AND ELECTRICALS,24-Jul-2025 06:25 PM,Not Admitted-Fee/PreQual/Technical/Finance,Not qualified for AOC,19-Dec-2025 12:39 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,3017590,M/S SOLAMIO AGRO INDIA LLP,30-Jul-2025 11:41 AM,Not Admitted-Fee/PreQual/Technical/Finance,Not qualified for AOC,19-Dec-2025 12:39 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3018088,PADMANAV BEHERA,30-Jul-2025 02:20 PM,Not Admitted-Fee/PreQual/Technical/Finance,Not qualified for AOC,19-Dec-2025 12:39 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,3016337,PRAMODA KUMAR SWAIN,30-Jul-2025 06:37 AM,Rejected-Technical,L10 BIDDER,19-Dec-2025 12:46 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,3017948,PRASANT KUMAR MAJHI,30-Jul-2025 01:33 PM,Rejected-Technical,L24 BIDDER,19-Dec-2025 12:46 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,3017698,RASMI PRAVA SAHOO,30-Jul-2025 12:12 PM,Rejected-Technical,L21 BIDDER,19-Dec-2025 12:46 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,3015584,Sahil Singh,28-Jul-2025 05:33 PM,Rejected-Technical,L7 BIDDER,19-Dec-2025 12:46 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,3016695,SAMEER PATTANAIK,29-Jul-2025 03:36 PM,Rejected-Technical,L11 BIDDER,19-Dec-2025 12:46 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,3012641,SARBSHREE ENGINEERING AND CONSTRUCTIONS PVT LTD,26-Jul-2025 06:01 PM,Rejected-Technical,L4 BIDDER,19-Dec-2025 12:46 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,3011586,SATYABADI BEHERA,26-Jul-2025 07:29 PM,Rejected-Technical,L2 BIDDER,19-Dec-2025 12:46 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,3017123,SIMARJINI MISHRA,30-Jul-2025 12:42 PM,Rejected-Technical,L15 BIDDER,19-Dec-2025 12:46 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
