S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No.1,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.2,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,2764880.0,sashikanta mohapatra,INR,"80,274,303",CE RW I||RWCIRCLE-BARIPADA,2025_CERWI_109110_3,Road Online N.C.B. No-361,Improvement to T03-PWD Road at RD Khunta to Baniabasa Road under MMSY- Improvement to Existing RD Road in the District of Mayurbhanj for the year 2024-25.,Technical,16 Nos of bidders admitted,Ashwani Pradhan,10-Jul-2025 06:31 PM,,CCE RWC Baripada,Internal,,Akshaya Kumar Naik,16-Jul-2025 11:15 AM,finsummary_524021.pdf (770.45 KB),1.0,Tender Revocation,Tender revocation,24-Apr-2025 01:47 PM,1919.pdf ,322.47,Technical Opening,"CCERWCIRCLE, BARIPADA",Internal,,Ashwani Pradhan,10-Jul-2025 06:40 PM,10-Jul-2025 06:55 PM,techsummary_524021.pdf (349.62 KB),Finance,14 Nos of bidders admitted,Akshaya Kumar Naik,16-Jul-2025 11:03 AM,,BOQ Comparative Chart,1,2763786,AJAY KUMAR ROUT,20-Jan-2025 11:08 AM,Rejected-AOC,L1,08-Dec-2025 04:02 PM,15-Oct-2025,"INR 80,274,303",365.0,Akshaya Kumar Naik,08-Dec-2025 04:01 PM,Khuntabaniabasa.pdf (1055.00 KB),AOC,1.0,ICICI BANK,"9,44,300",Yes,percentage,1.0%,Nil,Nil,07-Jan-2025 06:00 PM,21-Jan-2025 11:00 AM,07-Jan-2025 06:00 PM,20-Jan-2025 05:00 PM,07-Jan-2025 06:00 PM ,18-Jan-2025 05:00 PM ,07-Jan-2025 06:00 PM,20-Jan-2025 05:00 PM,10-Jul-2025 06:55 PM,"10,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,"Paper cost, RC, PAN, GSTIN and EMD etc as per DTCN",Improvement to T03-PWD Road at RD Khunta to Baniabasa Road under MMSY- Improvement to Existing RD Road in the District of Mayurbhanj for the year 2024-25.,Improvement to T03-PWD Road at RD Khunta to Baniabasa Road under MMSY- Improvement to Existing RD Road in the District of Mayurbhanj for the year 2024-25.,Please refer Tender documents. ,NA ,"9,44,30,000",Civil Works - Roads,NA ,Tender,90.0,365.0,"SERW Division, Baripada",757002.0,NA ,NA ,NA ,CCE RWC Baripada,No ,No,CCE RWC Baripada,CCE RWC Baripada,CE RW I||RWCIRCLE-BARIPADA,Road Online N.C.B. No-361,2025_CERWI_109110_3,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,2.0,2nd time Tender Revocation,Tender Revocation,10-Jul-2025 06:17 PM,Baniabasa-Jharpokharia.pdf ,333.84,Technical Opening,,,,,,,,,,,,,,2,2765886,AMIT KUMAR JAISWAL,20-Jan-2025 02:09 PM,Rejected-AOC,L1,08-Dec-2025 04:02 PM,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,.pdf,"ATO, similar nature of work experience etc as per DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2747610,KIRAN KUMAR DAS,13-Jan-2025 05:33 PM,Rejected-AOC,L1,08-Dec-2025 04:02 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Machineries, Affidavit etc as per DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2751688,LALIT KUMAR MOHANTY,17-Jan-2025 07:12 PM,Rejected-AOC,L1,08-Dec-2025 04:02 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2752801,MESSERS S P CONSTRUCTION,18-Jan-2025 06:53 PM,Rejected-Technical,Non submission of Existing commitment.,10-Jul-2025 06:40 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2744958,M/S BIG BUILD INFRASTRUCTURE & CO,19-Jan-2025 09:11 PM,Rejected-AOC,L1,08-Dec-2025 04:02 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2751189,M/S SAHU CONSTRUCTION,19-Jan-2025 08:10 AM,Rejected-Technical,Non submission of Existing commitment,10-Jul-2025 06:40 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2746309,M/S SANTOSH KUMAR KHANDELWAL,17-Jan-2025 03:35 PM,Rejected-AOC,L1,08-Dec-2025 04:02 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2740461,Nanda Kishore Bindhani,17-Jan-2025 05:54 PM,Rejected-AOC,L1,08-Dec-2025 04:02 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2764057,Rakesh Agarwalla,18-Jan-2025 09:30 PM,Rejected-AOC,L1,08-Dec-2025 04:02 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
