Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Additional Chief Engineer,"Additional Chief Engineer, PH Division, Balangir",25-Sep-2025 01:30 PM,14-Oct-2025 11:00 AM,25-Sep-2025 01:30 PM,13-Oct-2025 05:00 PM,25-Sep-2025 01:30 PM ,08-Oct-2025 05:00 PM ,25-Sep-2025 01:30 PM,13-Oct-2025 05:00 PM,17-Oct-2025 11:30 AM,"10,000",0.0,Nil,Nil,No,"10,96,739",Yes,fixed,,Nil,Nil,Procurement of DI pipe for the work Laying of distribution main and other ancillary work along NH-26 Palace line Uday Nagar under Balangir Municipality Laying of different diameter pipe line in newly developed area including ancillary work inside Tit,Procurement of DI pipe for the work Laying of distribution main and other ancillary work along NH-26 Palace line Uday Nagar under Balangir Municipality Laying of different diameter pipe line in newly developed area including ancillary work inside Tit,Please refer DTCN ,NA ,"5,48,36,952",Civil Works - Water Works,NA ,Tender,120.0,60.0,Balangir Titilagarh Binika,767001.0,NA ,NA ,NA ,"Additional Chief Engineer, PH Division, Balangir",No ,No,1.0,Fee/PreQual/Technical,.pdf,"Tender paper cost, EMD, PAN, GSTIN, Contractor Registration Certificate, Experience Certificate etc.",1.0,ICICI BANK,PHEO||PH Circle Bhawanipatna||PH Division Balangir,ACEPHBGR 07/2025-26,2025_PHEO_118611_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,AOC,Finance,Financial Bid has opened,Indrajit Sahu,17-Oct-2025 11:45 AM,finance_553956.pdf,BOQ Comparative Chart,Technical,Opening Summary,Indrajit Sahu,14-Oct-2025 12:09 PM,technical_553956.pdf,1,3105352,Electrosteel Castings Limited,10-Oct-2025 04:16 PM,Rejected-AOC,Rejected as per OPWD code,12-Dec-2025 12:50 PM,12-Dec-2025,"INR 37,893,256",60.0,Indrajit Sahu,12-Dec-2025 12:50 PM,wo.pdf (4011.00 KB),L1 bidder has responded,Additional Chief Engineer,Internal,"Additional Chief Engineer, Divisional Accounts Officer, SE Estimator",Indrajit Sahu,12-Dec-2025 12:45 PM,finsummary_553956.pdf (940.58 KB),Additional Chief Engineer,Internal,"Additional Chief Engineer, Divisional Accounts Officer, SE Estimator",Indrajit Sahu,17-Oct-2025 10:45 AM,17-Oct-2025 11:30 AM,techsummary_553956.pdf (508.99 KB),PHEO||PH Circle Bhawanipatna||PH Division Balangir,2025_PHEO_118611_1,ACEPHBGR 07/2025-26,Procurement of DI pipe for the work Laying of distribution main and other ancillary work along NH-26 Palace line Uday Nagar under Balangir Municipality Laying of different diameter pipe line in newly developed area including ancillary work inside Tit,1.0,3106758.0,Rashmi Metaliks Limited,INR,"37,893,256",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Documents as per DTCN,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2,3108743,Jai Balaji Industries Limited,11-Oct-2025 11:29 AM,Rejected-AOC,Rejected as per OPWD code,12-Dec-2025 12:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3,3125097,KEJRIWAL CASTINGS LTD,13-Oct-2025 03:43 PM,Rejected-AOC,Rejected as per OPWD code,12-Dec-2025 12:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,4,3106758,Rashmi Metaliks Limited,13-Oct-2025 11:43 AM,Accepted-AOC,Awarded as per OPWD code,12-Dec-2025 12:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,5,3119148,Tata Steel Limited,13-Oct-2025 04:49 PM,Rejected-AOC,Rejected as per OPWD code,12-Dec-2025 12:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,6,3102870,Welspun DI Pipes Limited,09-Oct-2025 12:12 PM,Rejected-AOC,Rejected as per OPWD code,12-Dec-2025 12:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
