Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
"7,080",0.0,Nil,Nil,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,As Per DTCN,"16,871",Yes,fixed,,Nil,Nil,06-Sep-2025 11:00 AM,22-Sep-2025 11:00 AM,06-Sep-2025 11:00 AM,20-Sep-2025 05:00 PM,NA ,NA ,06-Sep-2025 11:00 AM,20-Sep-2025 05:00 PM,"Fixing of Slab over Diffarent open Drain in ward no 3,4,6,10,12,17,18,19 under choudwar municipality","Fixing of Slab over Diffarent open Drain in ward no 3,4,6,10,12,17,18,19 under choudwar municipality",Please refer Tender documents. ,NA ,"16,87,057",Civil Works - Roads,NA ,Tender,90.0,NA ,Choudwar Municipality,754071.0,NA ,NA ,NA ,Choudwar Municipality,No ,No,Municipal Bodies||Choudwar Municipality,CHM-02/2025-2026,2025_ORULB_117505_45,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"Executive Officer, Choudwar Municipality",Choudwar Municipality,AOC,EO,Internal,,Soumya Ranjan Mishra,22-Dec-2025 03:24 PM,finsummary_551217.pdf (1143.47 KB),EO,Internal,,Soumya Ranjan Mishra,22-Dec-2025 03:13 PM,techsummary_551217.pdf (267.22 KB),22-Dec-2025,"INR 1,687,057",90.0,Soumya Ranjan Mishra,22-Dec-2025 03:29 PM,wo45.pdf (773.00 KB),1,3089056,ANIL KUMAR BHOI,19-Sep-2025 07:49 PM,Rejected-Finance,Reject,22-Dec-2025 03:24 PM,Municipal Bodies||Choudwar Municipality,2025_ORULB_117505_45,CHM-02/2025-2026,"Fixing of Slab over Diffarent open Drain in ward no 3,4,6,10,12,17,18,19 under choudwar municipality",1.0,3090659.0,JAGANNATH BEHERA,INR,"1,434,167",Finance,"The Tender has been opened in presence of EO,ME,JE in Choudwar Municipality",Patitapaban Pattnayak,25-Sep-2025 05:08 PM,finance_551217.pdf,BOQ Comparative Chart,AOC
,,,,,2.0,ICICI NEFT/RTGS,,,.xls,As Per BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2,3087391,ASHOK KUMAR SAHOO,19-Sep-2025 07:46 PM,Rejected-Finance,Reject,22-Dec-2025 03:24 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,3,3088364,BHAGYADHAR SAHOO,19-Sep-2025 05:11 PM,Rejected-Finance,Reject,22-Dec-2025 03:24 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,4,3085078,DIPAK KUMAR PRUSTY,18-Sep-2025 03:45 PM,Rejected-Finance,Reject,22-Dec-2025 03:24 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,5,3087063,GANESH CHANDRA BEHERA,19-Sep-2025 11:22 AM,Rejected-Finance,Reject,22-Dec-2025 03:24 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,6,3090659,JAGANNATH BEHERA,20-Sep-2025 03:24 PM,Accepted-AOC,L1 in Lottery Process,22-Dec-2025 03:29 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,7,3089296,KRISHNA GLOBAL SOLUTIONS,19-Sep-2025 09:17 PM,Rejected-Finance,Reject,22-Dec-2025 03:24 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,8,3089213,Mangaraj Behera,19-Sep-2025 08:51 PM,Rejected-Finance,Reject,22-Dec-2025 03:24 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,9,3086230,SANTOSH KUMAR NAYAK,20-Sep-2025 12:00 PM,Rejected-Finance,Reject,22-Dec-2025 03:24 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,10,3089179,SARAT KUMAR SETHI,19-Sep-2025 08:42 PM,Rejected-Finance,Reject,22-Dec-2025 03:24 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,11,3088774,Smt. SABITA SAHOO,20-Sep-2025 09:44 AM,Rejected-Finance,Reject,22-Dec-2025 03:24 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,12,3089578,SUSANTA KUMAR BEHERA,20-Sep-2025 01:32 AM,Rejected-Finance,Reject,22-Dec-2025 03:24 PM,,,,,,,,,,,,,,,,AOC
