Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Finance,bidders are participated successfully.,JUGAL TAKRI,06-Dec-2025 12:25 PM,finance_554867.pdf,BOQ Comparative Chart,1.0,3132989.0,M/S SHANTI POWER AND CONSTRUCTION,INR,"5,640,633",Orissa Lift Irrigation Corporation||LI KORAPUT||LI Division Koraput,2025_OLIC_119009_15,03/2025-26,Installation and Energisation of Rajuguda - IV and Kantabariguda L.I.Project under Dasmantpur Block of Koraput District,Executive Engineer,Internal,"Executive Engineer, Divisional Accountant, Estimator",JUGAL TAKRI,06-Dec-2025 05:49 PM,finsummary_554867.pdf (204.08 KB),Executive Engineer,Internal,"Executive Engineer, Divisional Accountant, Estimator",JUGAL TAKRI,06-Dec-2025 01:10 PM,techsummary_554867.pdf (204.08 KB),1,3146239,ANUP POWER INFRASTRUCTURE,23-Oct-2025 04:47 PM,Rejected-AOC,Awarded,08-Dec-2025 03:52 PM,08-Dec-2025,"INR 4,780,197",90.0,JUGAL TAKRI,08-Dec-2025 03:51 PM,AOCsummary.pdf (40.00 KB),Awarded,AOC,"11,800",0.0,Nil,Nil,No,Installation and Energisation of Rajuguda - IV and Kantabariguda L.I.Project under Dasmantpur Block of Koraput District,Installation and Energisation of Rajuguda - IV and Kantabariguda L.I.Project under Dasmantpur Block of Koraput District,Please refer Tender documents. ,NA ,"56,23,100",Civil Works - Lift Irrigation Schemes,NA ,Tender,270.0,90.0,Koraput,764020.0,NA ,NA ,NA ,Koraput,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Detail Tender Call notice, PAN ,GST, Civil and Electrical Contractors Licence, Labour Licence,Experi",Orissa Lift Irrigation Corporation||LI KORAPUT||LI Division Koraput,03/2025-26,2025_OLIC_119009_15,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,E E L I Division Koraput,E E L I Division Koraput,13-Oct-2025 10:00 AM,24-Oct-2025 11:00 AM,13-Oct-2025 10:00 AM,23-Oct-2025 05:00 PM,NA ,NA ,13-Oct-2025 10:00 AM,23-Oct-2025 05:00 PM,"56,231",No,percentage,1.0%,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3139736,BADAL PATTNAIK,22-Oct-2025 08:19 PM,Rejected-AOC,Awarded,08-Dec-2025 03:52 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3135064,CHANDAN NAYAK,20-Oct-2025 12:27 PM,Rejected-AOC,Awarded,08-Dec-2025 03:52 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3139088,MANOJ KUMAR PANDA,21-Oct-2025 10:51 AM,Rejected-AOC,Awarded,08-Dec-2025 03:52 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3132508,M/S ENGINEERS ENTERPRISES,17-Oct-2025 02:24 PM,Rejected-AOC,Awarded,08-Dec-2025 03:52 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3136806,M/S MAHAMAYEE ENTERPRISES,21-Oct-2025 11:01 AM,Rejected-AOC,Awarded,08-Dec-2025 03:52 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3136480,M/S. PADHI ELECTRICALS,21-Oct-2025 12:31 PM,Rejected-AOC,Awarded,08-Dec-2025 03:52 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3132989,M/S SHANTI POWER AND CONSTRUCTION,18-Oct-2025 05:14 PM,Accepted-AOC,Awarded,08-Dec-2025 03:52 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3143679,M/S U.S. QUALITY ENGINEERING WORKS,22-Oct-2025 07:24 PM,Rejected-AOC,Awarded,08-Dec-2025 03:52 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3145879,RAMESH CHANDRA BISWAL,23-Oct-2025 03:38 PM,Not Admitted-Fee/PreQual/Technical/Finance,Not qualified for AOC,06-Dec-2025 12:25 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
