Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Stage
Finance,15 nos. of bidders have quoted same rate and accepted.,Ansuman Parida,23-Oct-2025 12:51 PM,,BOQ Comparative Chart,Municipal Bodies||Nilgiri NAC,2025_ORULB_117940_16,NLGN _05/2025-26,Constr. Of C.C road from Basanta Das house to Akshay Gochhayat house W.No.8,1.0,3097399.0,RAJKISHORE PANDA,INR,"171,174",1,3095826,ASHOK KUMAR MOHAPATRA,22-Sep-2025 08:04 PM,Rejected-AOC,L8,03-Dec-2025 02:40 PM,03-Dec-2025,"INR 171,174",30.0,Ansuman Parida,03-Dec-2025 02:39 PM,WO16.pdf (281.00 KB),"Chairman, Nilgiri NAC",Internal,,Ansuman Parida,23-Oct-2025 12:59 PM,techsummary_552257.pdf (380.89 KB),"Chairman, Nilgiri NAC",Internal,,Ansuman Parida,21-Nov-2025 03:07 PM,finsummary_552257.pdf (380.89 KB),AOC,Constr. Of C.C road from Basanta Das house to Akshay Gochhayat house W.No.8,Constr. Of C.C road from Basanta Das house to Akshay Gochhayat house W.No.8,Please refer Tender documents. ,NA ,"1,69,491",Civil Works - Roads,NA ,Tender,120.0,NA ,Nilgiri NAC,756040.0,NA ,NA ,NA ,O/O Nilgiri NAC,No ,No,13-Sep-2025 10:00 AM,25-Sep-2025 11:00 AM,13-Sep-2025 10:00 AM,24-Sep-2025 05:00 PM,NA ,NA ,13-Sep-2025 10:00 AM,24-Sep-2025 05:00 PM,"1,695",Yes,percentage,1.0%,Nil,Nil,600.0,0.0,Nil,Nil,No,"Executive Officer, Nilgiri NAC","Nilgiri NAC, Nilgiri, Dist- Balasore",1.0,Fee/PreQual/Technical/Finance,.pdf,"Registration Certificate, Affidavit, PAN and as per DTCN",Municipal Bodies||Nilgiri NAC,NLGN _05/2025-26,2025_ORULB_117940_16,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,2,3098857,DHARAMJIT NAYAK,24-Sep-2025 03:58 PM,Rejected-AOC,L15,03-Dec-2025 02:40 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,3,3098002,GAYADHARA BEHERA,24-Sep-2025 09:42 AM,Rejected-AOC,L13,03-Dec-2025 02:40 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,3096695,HARISH CHANDRA RAY,23-Sep-2025 12:59 PM,Rejected-AOC,L8,03-Dec-2025 02:40 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,3097806,KRUTIBASH NANDA,23-Sep-2025 09:41 PM,Rejected-AOC,L12,03-Dec-2025 02:40 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,3098328,NALINIKANTA MOHANTY,24-Sep-2025 12:35 PM,Rejected-AOC,L14,03-Dec-2025 02:40 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,3093192,NILAMBAR MOHAPATRA,21-Sep-2025 11:34 PM,Rejected-AOC,L6,03-Dec-2025 02:40 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,3097755,PARTHASARATHI NAYAK,23-Sep-2025 09:02 PM,Rejected-AOC,L11,03-Dec-2025 02:40 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,3097425,RABINDRA NATH PARIDA,24-Sep-2025 02:26 PM,Rejected-AOC,L10,03-Dec-2025 02:40 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,3089427,RAJKISHORE GAAN,19-Sep-2025 10:38 PM,Rejected-AOC,L2,03-Dec-2025 02:40 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,11,3097399,RAJKISHORE PANDA,24-Sep-2025 12:41 PM,Accepted-AOC,L1,03-Dec-2025 02:40 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,12,3095409,RAMAKRUSHNA MOHAPATRA,23-Sep-2025 06:08 PM,Rejected-AOC,L7,03-Dec-2025 02:40 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,13,3092682,SHATRUGHNA PRUSHTI,21-Sep-2025 07:24 PM,Rejected-AOC,L5,03-Dec-2025 02:40 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,14,3091481,SITARAM PATRA,20-Sep-2025 08:57 PM,Rejected-AOC,L4,03-Dec-2025 02:40 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
