Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Finance,VERIFIED,Binod Behari Das,02-Sep-2025 12:31 PM,,BOQ Comparative Chart,"Estimator,DAO, Executive Engineer of R.W.Division, Gajapati and Estimator PA to CCE,CCE R.W.Circle Rayagada",Internal,,Binod Behari Das,22-Aug-2025 04:09 PM,30-Aug-2025 11:00 AM,techsummary_544298.pdf (326.89 KB),01-Dec-2025,"INR 36,989,637.509",180.0,Binod Behari Das,01-Dec-2025 02:01 PM,WorkOrderManojKumarPanigrahi.pdf (1032.00 KB),Work Awarded to Manoj Kumar Panigrahi,1,2982836,ALLAPA AKHIL KUMAR,02-Jul-2025 10:30 AM,Rejected-AOC,Work Awarded to Manoj Kumar Panigrahi,01-Dec-2025 02:01 PM,1.0,2986557.0,MANOJ KUMAR PANIGRAHI,INR,"36,989,637.509",OFFICE OF THE CCE RAYAGADA,Internal,"CCE Rayagada, Executive Engineer RW Division Gajapati, DAO Gajapati, PA to CCE and AE Esitmator RW Circle Rayagada",Binod Behari Das,01-Dec-2025 01:44 PM,finsummary_544298.pdf (425.48 KB),Technical,tenders documents verified,Binod Behari Das,22-Aug-2025 03:30 PM,,CE RW I||RWCIRCLE-RAYAGADA,2025_CERWI_114826_1,NCB 05 RWC RGDA 2025 26,Construction of RD road to Chandrayapeta via Peddaguda Narsipur road,AOC,"Chief Construction Engineer,RW Circle,Rayagada","O/O the Chief Construction Engineer,RW Circle,Rayagada near Hathipathar road,Raniguda Farm","10,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Affidavit GSTIN PAN RC Annual Turn Over Experience Machinery and other papers as per DTCN,1.0,ICICI BANK,CE RW I||RWCIRCLE-RAYAGADA,NCB 05 RWC RGDA 2025 26,2025_CERWI_114826_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,Construction of RD road to Chandrayapeta via Peddaguda Narsipur road,Construction of RD road to Chandrayapeta via Peddaguda Narsipur road,NA ,NA ,"4,35,12,000",Civil Works - Roads,NA ,Tender,90.0,180.0,Gajapati,761200.0,NA ,NA ,NA ,"Rural Works Circle, Rayagada",No ,No,"4,35,120",Yes,fixed,,Nil,Nil,25-Jun-2025 01:00 PM,05-Jul-2025 11:00 AM,25-Jun-2025 01:00 PM,04-Jul-2025 05:00 PM,25-Jun-2025 01:00 PM ,03-Jul-2025 05:00 PM ,25-Jun-2025 01:00 PM,04-Jul-2025 05:00 PM,30-Aug-2025 11:00 AM,AOC
,,,,,,,,,,,,,,,,,,,,2,2987316,Ch Mohan Rao,04-Jul-2025 03:31 PM,Rejected-AOC,Work Awarded to Manoj Kumar Panigrahi,01-Dec-2025 02:01 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,2.0,Finance,.xls,BOQ,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,3,2986201,Jeeban Chandra Sahu,03-Jul-2025 11:05 PM,Rejected-AOC,Work Awarded to Manoj Kumar Panigrahi,01-Dec-2025 02:01 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,4,2982640,KISHOR CHANDRA SIBALA,01-Jul-2025 06:47 PM,Rejected-AOC,Work Awarded to Manoj Kumar Panigrahi,01-Dec-2025 02:01 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,5,2983794,KRISHNA CHANDRA NIMALU,04-Jul-2025 10:30 AM,Rejected-AOC,Work Awarded to Manoj Kumar Panigrahi,01-Dec-2025 02:01 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,6,2986033,Lingaraj Behera,04-Jul-2025 02:28 PM,Rejected-AOC,Work Awarded to Manoj Kumar Panigrahi,01-Dec-2025 02:01 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,7,2986557,MANOJ KUMAR PANIGRAHI,03-Jul-2025 05:41 PM,Accepted-AOC,Work Awarded to Manoj Kumar Panigrahi,01-Dec-2025 02:01 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,8,2986851,M/S S. KARUNAKAR RAO,04-Jul-2025 02:12 PM,Rejected-AOC,Work Awarded to Manoj Kumar Panigrahi,01-Dec-2025 02:01 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,9,2987490,PRASANTA KUMAR SAHU,03-Jul-2025 12:03 PM,Rejected-AOC,Work Awarded to Manoj Kumar Panigrahi,01-Dec-2025 02:01 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,10,2988393,P VARA PRASAD,04-Jul-2025 09:54 AM,Rejected-AOC,Work Awarded to Manoj Kumar Panigrahi,01-Dec-2025 02:01 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
