S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,3110139.0,HARIKRUSHNA PANIGRAHY,INR,"714,246.044",Finance,Tender Open,Gajendra Pradhani,19-Dec-2025 01:24 AM,finance_554424.pdf,BOQ Comparative Chart,Gajendra Pradhani,Internal,"EE,DAO,Estimator",Gajendra Pradhani,19-Dec-2025 01:34 AM,finsummary_554424.pdf (177.88 KB),CE RW I||RWCIRCLE-RAYAGADA||RWDIVISION-GUNUPUR,2025_CERWI_118828_1,EERWGNP Online 04 2025 26,Construction of Boundary Wall of Govt. Homeopathic Dispensary building at Bikrampur,Gajendra Pradhani,Internal,"EE,DAO,Estimator",Gajendra Pradhani,19-Dec-2025 01:28 AM,techsummary_554424.pdf (177.87 KB),1,3104680,ALLAPA BISWESWARA RAO,01-Oct-2025 05:36 PM,Rejected-AOC,Unsuccessful Lottery,19-Dec-2025 01:39 AM,19-Dec-2025,"INR 714,246.044",90.0,Gajendra Pradhani,19-Dec-2025 01:39 AM,Agreement.PDF (98.00 KB),The qualified bidder selected through transparent lottery system.,AOC,1.0,ICICI BANK,"8,402",Yes,percentage,1.0%,Nil,Nil,Executive Engineer,"RURAL WORKS DIVISION, GUNUPUR",27-Sep-2025 11:00 AM,09-Oct-2025 11:00 AM,27-Sep-2025 11:00 AM,08-Oct-2025 05:00 PM,27-Sep-2025 11:00 AM ,07-Oct-2025 05:00 PM ,27-Sep-2025 11:00 AM,08-Oct-2025 05:00 PM,"4,000",0.0,Nil,Nil,No,Construction of Boundary Wall of Govt. Homeopathic Dispensary building at Bikrampur,Construction of Boundary Wall of Govt. Homeopathic Dispensary building at Bikrampur,NA ,NA ,"8,40,191",Civil Works - Buildings,NA ,Tender,90.0,90.0,Gunupur,764062.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, GUNUPUR",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,GSTIN PAN CARD LICENCE AFFIDAVIT,CE RW I||RWCIRCLE-RAYAGADA||RWDIVISION-GUNUPUR,EERWGNP Online 04 2025 26,2025_CERWI_118828_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3114863,ARATI HOTHA,07-Oct-2025 07:43 PM,Rejected-AOC,Unsuccessful Lottery,19-Dec-2025 01:39 AM,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Boq,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3115774,BIBHUTI BHUSAN MOHAPATRO,08-Oct-2025 11:43 AM,Rejected-AOC,Unsuccessful Lottery,19-Dec-2025 01:39 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3111698,DEBARAJ BAURI,07-Oct-2025 05:20 PM,Rejected-AOC,Unsuccessful Lottery,19-Dec-2025 01:39 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3110139,HARIKRUSHNA PANIGRAHY,05-Oct-2025 08:14 PM,Accepted-AOC,Lottery Winner,19-Dec-2025 01:39 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3111014,Janaki Ballabha Sahu,05-Oct-2025 04:28 PM,Rejected-AOC,Unsuccessful Lottery,19-Dec-2025 01:39 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3112434,Jeetendra Goudo,06-Oct-2025 03:06 PM,Rejected-AOC,Unsuccessful Lottery,19-Dec-2025 01:39 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3104613,KALISETTI AMARAVATHI,01-Oct-2025 04:49 PM,Rejected-AOC,Unsuccessful Lottery,19-Dec-2025 01:39 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3115908,LAKSHMI ANDURU,08-Oct-2025 01:45 PM,Rejected-AOC,Unsuccessful Lottery,19-Dec-2025 01:39 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3110845,NIRUPAMA GOUDA,05-Oct-2025 01:37 PM,Rejected-AOC,Unsuccessful Lottery,19-Dec-2025 01:39 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
