S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,3031248.0,BUDDHADEV SUNIANI,INR,"4,042,247",ST and SC Development Deptt||ITDA Sundergarh,2025_STSCD_116140_27,ITDASNG-03/2025-26,Construction of twin staff quarters (4 Units Non Teaching) at Govt. SSD High School Meghdega under Tangarpali Block,1,3033280,ALOK KUMAR NAIK,12-Aug-2025 02:04 PM,Rejected-Technical,GST Cancelled,15-Dec-2025 10:25 AM,15-Dec-2025,"INR 4,042,247",180.0,LAXMAN SAHOO,15-Dec-2025 10:36 AM,TSQMeghdega.pdf (574.00 KB),Finance,TENDER STATUS,Sudam Chandra Patel,23-Aug-2025 08:51 PM,finance_547593.pdf,BOQ Comparative Chart,COLLECTOR SUNDARGARH,Internal,"PA,ITDA,SUNDARGARH, EE, MI DIVISION, SUNDARGARH, AEE, ITDA, SUNDARGARH",LAXMAN SAHOO,15-Dec-2025 10:30 AM,finsummary_547593.pdf (588.93 KB),COLLECTOR SUNDARGARH,Internal,"PA,ITDA,SUNDARGARH, EE, MI DIVISION, SUNDARGARH, AEE, ITDA, SUNDARGARH",LAXMAN SAHOO,15-Dec-2025 10:25 AM,techsummary_547593.pdf (588.93 KB),AOC,1.0,ICICI BANK,1.0,Corrigendum,Other,,29-Jul-2025 01:00 PM,13-Aug-2025 11:00 AM,29-Jul-2025 01:00 PM,12-Aug-2025 05:00 PM,NA ,NA ,29-Jul-2025 01:00 PM,12-Aug-2025 05:00 PM,"6,000",0.0,Nil,Nil,No,"47,550",Yes,fixed,,Nil,Nil,PROJECT ADMINISTRATOR,"ITDA, SUNDARGARH",Construction of twin staff quarters (4 Units Non Teaching) at Govt. SSD High School Meghdega under Tangarpali Block,Construction of twin staff quarters (4 Units Non Teaching) at Govt. SSD High School Meghdega under Tangarpali Block,AS PER DTCN ,NA ,"47,55,025",Civil Works - Buildings,NA ,Tender,90.0,180.0,Sundargarh,770001.0,NA ,NA ,NA ,"ITDA, SUNDARGARH",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"License, PAN Card, GSTIN, No relation certificate, Affidavit and other documents as per DTCN",ST and SC Development Deptt||ITDA Sundergarh,ITDASNG-03/2025-26,2025_STSCD_116140_27,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,2,3027643,ANIL KUMAR PUJARI,07-Aug-2025 07:50 PM,Rejected-AOC,Disqualified,15-Dec-2025 10:36 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,3033602,ASHISH KUMAR SAHU,12-Aug-2025 04:21 PM,Rejected-AOC,Disqualified,15-Dec-2025 10:36 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,3033313,BINAY NAIK,12-Aug-2025 02:13 PM,Rejected-AOC,Disqualified,15-Dec-2025 10:36 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,3031248,BUDDHADEV SUNIANI,11-Aug-2025 01:56 PM,Accepted-AOC,1st lowest in transparent lottery process,15-Dec-2025 10:36 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,6,3032751,DEEPAK KUMAR TOPPO,12-Aug-2025 10:40 AM,Rejected-AOC,Disqualified,15-Dec-2025 10:36 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,7,3032553,KIRTIMEGHA PARIJA,11-Aug-2025 11:52 PM,Rejected-AOC,Disqualified,15-Dec-2025 10:36 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,8,3025645,RABINDRA CHOUDHURY,06-Aug-2025 01:14 PM,Rejected-AOC,Disqualified,15-Dec-2025 10:36 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,9,3032659,RUPESH KUMAR NAIK,12-Aug-2025 09:07 AM,Rejected-Technical,only b class contractor are allowed for the work,15-Dec-2025 10:25 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,10,3032594,SAHIL KUMAR RAY,12-Aug-2025 04:32 AM,Rejected-AOC,Disqualified,15-Dec-2025 10:36 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
