Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
"10,000",0.0,Nil,Nil,No,"8,92,200",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"Proof of tender cost and EMD, Registration Certificate, PAN, GSTIN, Affidavit",EIC-CIVIL||SERNB-CIRCLE-BERHAMPUR,"CCE, SC (RandB)-BAM-14/2024-25",2025_EICCL_112449_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,Chief Construction Engineer,"Southern Circle RandB, Courtpeta, Berhampur, Ganjam, 760004, Odisha","Construction of Academic Building (G Plus 1) having foundation facility of G Plus 4 at ITI, Chhatrapur.",Building work (Composite Bid),Please refer Tender documents. ,NA ,"8,92,15,544",Civil Works - Buildings,Building work ,Tender,90.0,450.0,Ganjan Chhatrapur,761020.0,NA ,NA ,NA ,"O/o the CCE, Southern Circle RandB, Berhampur",No ,No,1.0,ICICI BANK,12-Apr-2025 12:00 PM,28-Apr-2025 11:30 AM,12-Apr-2025 12:00 PM,25-Apr-2025 05:30 PM,12-Apr-2025 12:00 PM ,24-Apr-2025 05:00 PM ,12-Apr-2025 12:00 PM,25-Apr-2025 05:30 PM,16-Jun-2025 05:00 PM,AOC,Technical,"12 Nos bidder participated in this tender, received scan copy of documents which are under scrutny",Nihar Ranjan Behera,28-Apr-2025 12:32 PM,technical_536339.pdf,EIC-CIVIL||SERNB-CIRCLE-BERHAMPUR,2025_EICCL_112449_1,"CCE, SC (RandB)-BAM-14/2024-25","Construction of Academic Building (G Plus 1) having foundation facility of G Plus 4 at ITI, Chhatrapur.",Chief Construction Engineer,Internal,"E.E., O/o the CCE SC RandB, Berhampur, SE and DAO, Ganjam RandB Division No.II, Berhampur, J.E. estr, O/o the CCE SC RandB, Berhampur",P Sandhyarani,03-Sep-2025 06:14 PM,finsummary_536339.pdf (406.65 KB),1.0,2893008.0,K.Rabinarayan Das,INR,"75,842,134",1,2894196,Anup Kumar Dash,25-Apr-2025 04:05 PM,Rejected-Finance,Fifty Lowest,03-Sep-2025 06:14 PM,22-Dec-2025,"INR 75,842,134",450.0,Damodar Kaibartta,22-Dec-2025 02:38 PM,AOC_AcademicITI_Chatrapur.pdf (644.00 KB),Chief Engineer,Internal,"EE, O/o the CCE SC RandB, Berhampur, SE and DAO, Ganjam RandB Division No.II, Berhampur, J.E. Estr O/o the CCE SC RandB, Berhampur",Nihar Ranjan Behera,12-Jun-2025 07:09 PM,16-Jun-2025 05:00 PM,techsummary_536339.pdf (1056.58 KB),Finance,Ten Nos BOQ received which is under scrutiny,P Sandhyarani,16-Jun-2025 05:23 PM,finance_536339.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,.pdf,"Proof of ownership of machineries, Lease deed, MOU other documents and forms as per DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2,2890718,Jujharu Senapati,25-Apr-2025 11:41 AM,Rejected-Finance,Third Lowest,03-Sep-2025 06:14 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,3,2893008,K.Rabinarayan Das,24-Apr-2025 07:59 PM,Accepted-AOC,1st Lowest through Lottery,22-Dec-2025 02:39 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,4,2894147,M/S HAR HAR MAHADEV ENTERPRISES PROP SUBODH KUMAR YADAV,25-Apr-2025 04:02 PM,Rejected-Technical,Disqualified by the TEC as per DTCN Cl 7,12-Jun-2025 07:09 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,5,2888393,M/s Takshshila Projects Pvt. Ltd.,24-Apr-2025 12:39 PM,Rejected-Finance,Seventh Lowest,03-Sep-2025 06:14 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,6,2894782,ROUTRAY DEVELOPER,25-Apr-2025 02:36 PM,Rejected-Finance,Sixty Lowest,03-Sep-2025 06:14 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,7,2888042,SAI SMRUTI INFRASTRUCTURE PVT. LTD.,24-Apr-2025 03:07 PM,Rejected-Finance,Fourth Lowest,03-Sep-2025 06:14 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,8,2894845,SANDIP KUMAR PADHI,25-Apr-2025 05:11 PM,Rejected-Finance,Second Lowest,03-Sep-2025 06:14 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,9,2883703,Satya Brata Pattnaik,24-Apr-2025 05:24 PM,Rejected-Finance,Second Lowest,03-Sep-2025 06:14 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,10,2894708,SILADITYA BEHERA,25-Apr-2025 01:56 PM,Rejected-Finance,Seventh Lowest,03-Sep-2025 06:14 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,11,2889742,SINGH CONSTRUCTION CORPORATION,25-Apr-2025 03:43 PM,Rejected-Technical,"Disqualified by the TEC as per DTCN Cl 5(i), 7, 20, 13 (d,g)",12-Jun-2025 07:09 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,12,2893755,Sudhansu Padhy,25-Apr-2025 02:57 PM,Rejected-Finance,Seventh Lowest,03-Sep-2025 06:14 PM,,,,,,,,,,,,,,,,,,,,AOC
