S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
1.0,2974769.0,MAHENDRA NAIK,INR,"455,806",Finance,The tender opened on date 21.06 .2025 at 11. 30 am and all the fifteen nos of bidders are admitted and allowed for Technical Evaluation,AKSHAYA KUMAR BHOI,24-Jun-2025 10:10 AM,finance_542486.pdf,BOQ Comparative Chart,"SE,UILCD2",Internal,"SE,DAO,ESTIMATOR",AKSHAYA KUMAR BHOI,31-Dec-2025 01:27 PM,finsummary_542486.pdf (633.48 KB),CCE Upper Indravati Irrigation Project Mukhiguda,2025_CEUIP_114299_1,SE/UILCD-II-01/2025-26(03-03),"Renovation of slope lining, Breach closing in between RD 14290m to 15630m of Golamunda Distributary","SE,UILCD2",Internal,"SE,DAO,ESTIMATOR",AKSHAYA KUMAR BHOI,31-Dec-2025 01:19 PM,techsummary_542486.pdf (643.58 KB),1,2973141,DHABALESWAR NAIK,19-Jun-2025 10:47 AM,Rejected-Finance,Disqualified Through Transparent Lottery,31-Dec-2025 01:27 PM,31-Dec-2025,"INR 455,806",180.0,AKSHAYA KUMAR BHOI,31-Dec-2025 01:33 PM,WORKORDER_MahendraNaik.pdf (457.00 KB),AOC,CCE Upper Indravati Irrigation Project Mukhiguda,SE/UILCD-II-01/2025-26(03-03),2025_CEUIP_114299_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Papercost,EMD,RC,GSTIN,PAN,Affidavits,NRC and other Documents as per DTCN",1.0,ICICI BANK,"SE,UILCD No-II,Dharmagarh","SE,UILCD No-II,Dharmagarh, Kalahandi","Renovation of slope lining, Breach closing in between RD 14290m to 15630m of Golamunda Distributary",Canal repair work,Please refer Tender documents. ,NA ,"5,36,179",Civil Works - Canal,NA ,Tender,90.0,180.0,Dharmagarh,766015.0,NA ,NA ,NA ,"O/o SE,UILCD No-II,Dharmagarh",No ,No,"5,361",Yes,fixed,,Nil,Nil,"4,000",Nil,Nil,No,10-Jun-2025 10:00 AM,21-Jun-2025 11:30 AM,10-Jun-2025 10:00 AM,20-Jun-2025 05:30 PM,10-Jun-2025 10:00 AM ,20-Jun-2025 05:30 PM ,10-Jun-2025 10:00 AM,20-Jun-2025 05:30 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2974876,JAGBANDHU SUNANI,20-Jun-2025 01:53 PM,Rejected-Finance,Disqualified Through Transparent Lottery,31-Dec-2025 01:27 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,.xls,BOQ,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2974769,MAHENDRA NAIK,20-Jun-2025 10:57 AM,Accepted-AOC,Selected Through Transparent Lottery,31-Dec-2025 01:33 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2975092,MANOJ KUMAR AGRAWAL,20-Jun-2025 01:20 PM,Rejected-Finance,Disqualified Through Transparent Lottery,31-Dec-2025 01:27 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2971971,PRATAP KISHOR NAIK,18-Jun-2025 01:08 PM,Rejected-Finance,Disqualified Through Transparent Lottery,31-Dec-2025 01:27 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2974702,PRIYANKA PUROHIT,20-Jun-2025 09:48 AM,Rejected-Finance,Disqualified Through Transparent Lottery,31-Dec-2025 01:27 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2973027,RATHA MEHER,19-Jun-2025 04:57 PM,Rejected-Finance,Disqualified Through Transparent Lottery,31-Dec-2025 01:27 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2970717,SAROJ KUMAR BHOI,17-Jun-2025 01:53 PM,Rejected-Finance,Disqualified Through Transparent Lottery,31-Dec-2025 01:27 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2972973,Saroj Ranjan Gopal,19-Jun-2025 07:14 AM,Rejected-Finance,Disqualified Through Transparent Lottery,31-Dec-2025 01:27 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2967304,SHASHI BHUSAN PRAHARAJ,17-Jun-2025 08:19 PM,Rejected-Finance,Disqualified Through Transparent Lottery,31-Dec-2025 01:27 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
