Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
31-Dec-2025,"INR 2,034,309",60.0,Gobinda Chandra Tudu,31-Dec-2025 01:59 PM,Agmt54.pdf (729.00 KB),Agmt value,CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-NAWARANGAPUR - II,2025_CERWI_119501_35,Online Tender/09/ RWD-UKT /2025-26,Periodical Maintenance of L-10024 to Dangabahal Road from 0/00 to 1/565 km. under Umerkote Block for the year 2025-26 (SDBC),1.0,3156263.0,MS RAZA BOREWELLS PROP ASFAK AHMAD,INR,"2,034,309",1,3151130,AJAY MALLICK,27-Oct-2025 01:12 PM,Rejected-AOC,Disqualified in transparent lottery,31-Dec-2025 01:59 PM,Finance,All bidders are admitted for Technical Evaluation,Tilottama Pradhan,14-Nov-2025 07:42 PM,finance_557330.pdf,BOQ Comparative Chart,Executive Engineer,Internal,"Estimator,DAO-I,Executive Engineer",Gobinda Chandra Tudu,31-Dec-2025 01:42 PM,finsummary_557330.pdf (146.29 KB),Executive Engineer,Internal,"Estimator,DAO-I,Executive Engineer",Gobinda Chandra Tudu,25-Nov-2025 05:02 PM,techsummary_557330.pdf (85.48 KB),AOC,"6,000",0.0,Nil,Nil,No,"Executive Engineer, RW Division-II, Umerkote","O/o THE EXECUTIVE ENGINEER, RURAL WORKS DIVISION-II, NABARANGPUR, UMERKOTE",1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"Valid RC, PAN, GST, Caste, Affidavits and Other Documents as per DTCN","23,930",Yes,percentage,1.0%,Nil,Nil,22-Oct-2025 01:00 PM,29-Oct-2025 11:00 AM,22-Oct-2025 01:00 PM,28-Oct-2025 05:00 PM,22-Oct-2025 01:00 PM ,27-Oct-2025 01:00 PM ,22-Oct-2025 01:00 PM,28-Oct-2025 05:00 PM,CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-NAWARANGAPUR - II,Online Tender/09/ RWD-UKT /2025-26,2025_CERWI_119501_35,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Periodical Maintenance of L-10024 to Dangabahal Road from 0/00 to 1/565 km. under Umerkote Block for the year 2025-26 (SDBC),Periodical Maintenance of L-10024 to Dangabahal Road from 0/00 to 1/565 km. under Umerkote Block for the year 2025-26 (SDBC),Please refer Tender documents. ,NA ,"23,93,023",Civil Works - Roads,NA ,Tender,90.0,60.0,Umerkote,764073.0,NA ,NA ,NA ,"EE, RW Division-II, Nabarangpur, Umerkote",No ,No,AOC
,,,,,,,,,,,,,,,,2,3153143,ALEKHA CHANDRA MOHANTY,26-Oct-2025 03:11 PM,Rejected-AOC,Disqualified in transparent lottery,31-Dec-2025 01:59 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,3156706,BALABIRA PATRO,28-Oct-2025 04:25 PM,Rejected-AOC,Disqualified in transparent lottery,31-Dec-2025 01:59 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,3153547,BASUDEV SETHI,27-Oct-2025 12:04 PM,Rejected-AOC,Disqualified in transparent lottery,31-Dec-2025 01:59 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,3150741,CHINMAYA KUMAR NAYAK,25-Oct-2025 06:24 PM,Rejected-AOC,Disqualified in transparent lottery,31-Dec-2025 01:59 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6,3154519,DIGAMBAR MOHANTY,26-Oct-2025 07:46 PM,Rejected-AOC,Disqualified in transparent lottery,31-Dec-2025 01:59 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7,3152801,DILLIP KUMAR MANDAL,28-Oct-2025 12:03 AM,Rejected-AOC,Disqualified in transparent lottery,31-Dec-2025 01:59 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,8,3155085,GOBINDA GOUDA,26-Oct-2025 05:02 PM,Rejected-AOC,Disqualified in transparent lottery,31-Dec-2025 01:59 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,9,3152958,JAGANNATH DHALI,26-Oct-2025 08:37 AM,Rejected-AOC,Disqualified in transparent lottery,31-Dec-2025 01:59 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,10,3162196,JITENDRA KUMAR JENA,28-Oct-2025 10:32 AM,Rejected-AOC,Disqualified in transparent lottery,31-Dec-2025 01:59 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,11,3156634,JYOTSNA KUMARI PRADHAN,28-Oct-2025 02:53 PM,Rejected-AOC,Disqualified in transparent lottery,31-Dec-2025 01:59 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
