S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,3114789.0,PRITAM PARDIA,INR,"10,136,815","CE-BM, Tel Basin,Bhawanipatna||SE Balangir Irr Circle Balangir||EE Bolangir Irr Divn. Bolangir",2025_CEBMT_118203_2,BID IDENTIFICATION NO ACE BOIC 02/2025-26,Construction of Flood Protection Embankment on suktel left from Kuturla to Pudapadar R.D 00 m to 1.1 Km .,Technical,143 nos of bidders are opened,Krushna Chandra Behera,17-Nov-2025 11:00 AM,technical_553005.pdf,K C BEHERA,Internal,,Krushna Chandra Behera,13-Dec-2025 07:57 PM,finsummary_553005.pdf (1660.09 KB),K C BEHERA,Internal,,Krushna Chandra Behera,17-Nov-2025 11:22 AM,17-Nov-2025 11:30 AM,techsummary_553005.pdf (696.45 KB),Finance,143 nos of bidders are participated,Krushna Chandra Behera,13-Dec-2025 09:32 AM,finance_553005.pdf,BOQ Comparative Chart,13-Dec-2025,"INR 10,136,815",120.0,Krushna Chandra Behera,13-Dec-2025 08:10 PM,KUTURLATOPUDAPADAR.pdf (1660.00 KB),Sri Pritam Parida selected as L-1 bidder through transparent lottery process,1,3113891,ABHIJIT PANIGRAHI,07-Oct-2025 12:31 PM,Rejected-Finance,Rejected,13-Dec-2025 07:57 PM,AOC,"CE-BM, Tel Basin,Bhawanipatna||SE Balangir Irr Circle Balangir||EE Bolangir Irr Divn. Bolangir",BID IDENTIFICATION NO ACE BOIC 02/2025-26,2025_CEBMT_118203_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Construction of Flood Protection Embankment on suktel left from Kuturla to Pudapadar R.D 00 m to 1.1 Km .,Construction of Flood Protection Embankment on suktel left from Kuturla to Pudapadar R.D 00 m to 1.1 Km .,AS PER DTCN ,NA ,"1,19,24,000",Civil Works - Water Works,NA ,Tender,120.0,120.0,BOLANGIR,767001.0,NA ,NA ,NA ,"O/o the ACE, Balangir Irrigation Circle, Balangir",No ,No,1.0,ICICI BANK,"10,000",0.0,Nil,Nil,No,"ACE, Balangir Irrigation Circle, Balangir","O/o the ACE, Balangir Irrigation Circle, Balangir",1.0,Fee/PreQual/Technical,.pdf,"EMD, TPC, RC, GSTIN, PAN, AFFIDAVIT, NRC, CURRENT LITIGATION AND OTHER DOCUMENTS AS PER DTCN",19-Sep-2025 10:00 AM,09-Oct-2025 11:00 AM,19-Sep-2025 10:00 AM,08-Oct-2025 05:30 PM,19-Sep-2025 10:00 AM ,06-Oct-2025 05:00 PM ,19-Sep-2025 10:00 AM,08-Oct-2025 05:30 PM,17-Nov-2025 11:30 AM,"1,19,300",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3114136,ABHISEK PANIGRAHI,07-Oct-2025 01:35 PM,Rejected-Finance,Rejected,13-Dec-2025 07:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,2.0,Finance,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3106221,AKARSHAN JHA,02-Oct-2025 09:36 PM,Rejected-Finance,Rejected,13-Dec-2025 07:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3116489,ALOK KUMAR PANDA,08-Oct-2025 02:12 PM,Rejected-Finance,Rejected,13-Dec-2025 07:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3117058,AMAN BANSAL,08-Oct-2025 04:37 PM,Rejected-Finance,Rejected,13-Dec-2025 07:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3116169,AMAN KUMAR AGRAWAL,08-Oct-2025 01:01 PM,Rejected-Finance,Rejected,13-Dec-2025 07:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3103945,AMARENDRA NARAYAN SUAR,30-Sep-2025 08:38 PM,Rejected-Finance,Rejected,13-Dec-2025 07:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3116018,ANANTA SAHU,08-Oct-2025 12:40 PM,Rejected-Finance,Rejected,13-Dec-2025 07:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3102407,anil kumar mohanty,29-Sep-2025 11:24 AM,Rejected-Finance,Rejected,13-Dec-2025 07:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3113602,Anil Singhal,07-Oct-2025 09:58 AM,Rejected-Finance,Rejected,13-Dec-2025 07:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
