Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
S/R PWD Road (Jayantipur) Boribada for the year 2025-26,S/R PWD Road (Jayantipur) Boribada for the year 2025-26,Please refer Tender documents. ,NA ,"25,21,000",Civil Works - Roads,NA ,Tender,90.0,30.0,Berhampur,760010.0,NA ,NA ,NA ,"O/o the S.E R.W.D-II, Ganjam, Berhampur",No ,No,CE RW I||RWCIRCLE-BERHAMPUR||RWDIVISION-GANJAM - II,Online Tender/12/SERWD-II/2025-26,2025_CERWI_120211_15,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,"6,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Valid RC Copy Affidavit EMD Tender paper Cost PAN and GST Regi. as per DTCN,"Superintending Engineer RWD-II, GJM, BAM","O/o the Superintending Engineer Rural Works Division-II, Ganjam, Berhampur",28-Oct-2025 01:00 PM,04-Nov-2025 11:00 AM,28-Oct-2025 01:00 PM,03-Nov-2025 05:00 PM,28-Oct-2025 01:00 PM ,03-Nov-2025 12:00 PM ,28-Oct-2025 01:00 PM,03-Nov-2025 05:00 PM,"25,300",Yes,fixed,,Nil,Nil,1.0,Corrigendum,Other,,AOC,"S.E, R.W.D-II, Ganjam, Berhampur",Internal,"Divisional Accounts Officer, Junior Engineer Estimator",Sudipta Senapati,11-Dec-2025 02:18 PM,techsummary_559211.pdf (1793.99 KB),"S.E, R.W.D-II, Ganjam, Berhampur",Internal,"Divisional Accounts Officer, Junior Engineer Estimator",Sudipta Senapati,11-Dec-2025 02:23 PM,finsummary_559211.pdf (3241.73 KB),Finance,Tender will be finalized after downloaded Bid documents scrutinized.,Babina Sahu,11-Nov-2025 06:26 PM,finance_559211.pdf,BOQ Comparative Chart,11-Dec-2025,"INR 2,143,253",30.0,Sudipta Senapati,11-Dec-2025 02:32 PM,3JayantpurBoribadaWO.pdf (890.00 KB),Work Order,CE RW I||RWCIRCLE-BERHAMPUR||RWDIVISION-GANJAM - II,2025_CERWI_120211_15,Online Tender/12/SERWD-II/2025-26,S/R PWD Road (Jayantipur) Boribada for the year 2025-26,1.0,3177925.0,Siva Sankar Sahu,INR,"2,143,253",1,3171022,AMULYA NARAYAN NAYAK,01-Nov-2025 09:12 PM,Rejected-AOC,Unsuccessful Bidder,11-Dec-2025 02:32 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3177778,Badri Alekha Kanyari,03-Nov-2025 02:56 PM,Rejected-AOC,Unsuccessful Bidder,11-Dec-2025 02:32 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3174949,BALIA KUMAR PRADHAN,03-Nov-2025 09:42 AM,Rejected-AOC,Unsuccessful Bidder,11-Dec-2025 02:32 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3177299,DEBASISH KUMAR PADHI,03-Nov-2025 01:29 PM,Rejected-AOC,Unsuccessful Bidder,11-Dec-2025 02:32 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3177678,DEBASIS SAHU,03-Nov-2025 02:42 PM,Rejected-AOC,Unsuccessful Bidder,11-Dec-2025 02:32 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3171446,DHANU SAHU,01-Nov-2025 11:45 AM,Rejected-AOC,Unsuccessful Bidder,11-Dec-2025 02:32 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3174824,GOURI KUMAR PANIGRAHI,02-Nov-2025 05:25 PM,Rejected-AOC,Unsuccessful Bidder,11-Dec-2025 02:32 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3172103,Jeetendra Kumar Pradhan,01-Nov-2025 03:05 PM,Rejected-AOC,Unsuccessful Bidder,11-Dec-2025 02:32 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3171655,KALU CHARAN CHANDA,01-Nov-2025 04:02 PM,Rejected-AOC,Unsuccessful Bidder,11-Dec-2025 02:32 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3168946,MADAN GOUDA,31-Oct-2025 11:13 PM,Rejected-AOC,Unsuccessful Bidder,11-Dec-2025 02:32 PM,AOC
