Name,Address,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
Superintending Engineer,"RURAL WORKS DIVISION, SUNABEDA",1.0,ICICI BANK,"26,000",Yes,fixed,,Nil,Nil,"Kotiya to Madkar_Road_Retaining wall,Drain_4/000 to 5/000","Kotiya to Madkar_Road_Retaining wall,Drain_4/000 to 5/000",NA ,NA ,"25,91,910",Civil Works - Roads,NA ,Tender,90.0,60.0,Sunabeda,763001.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, SUNABEDA",No ,No,CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-SUNABEDA,SERWSBD ONLINE 02-2025-26,2025_CERWI_119270_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,10-Oct-2025 05:00 PM,23-Oct-2025 11:00 AM,10-Oct-2025 05:00 PM,22-Oct-2025 05:00 PM,10-Oct-2025 05:00 PM ,20-Oct-2025 05:00 PM ,10-Oct-2025 05:00 PM,22-Oct-2025 05:00 PM,"6,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Bid cost, EMD, Registration certificate, GST, PAN, Non relation certificate, others as per DTCN",AOC,CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-SUNABEDA,2025_CERWI_119270_1,SERWSBD ONLINE 02-2025-26,"Kotiya to Madkar_Road_Retaining wall,Drain_4/000 to 5/000",Superintending Engineer,Internal,,Avijit Barik,03-Nov-2025 05:48 PM,finsummary_555332.pdf (410.90 KB),Finance,Bid opening,Avijit Barik,03-Nov-2025 05:36 PM,finance_555332.pdf,BOQ Comparative Chart,1.0,3143024.0,PRAPHULLA MUDULI,INR,"2,203,382",12-Nov-2025,"INR 2,203,382",60.0,Avijit Barik,10-Dec-2025 01:53 PM,Wokotiya.pdf (980.00 KB),1,3140798,ASHOK KUMAR PRADHAN,21-Oct-2025 07:18 PM,Rejected-AOC,Not qualified,10-Dec-2025 01:53 PM,Superintending Engineer,Internal,,Avijit Barik,03-Nov-2025 05:41 PM,techsummary_555332.pdf (449.49 KB),AOC
,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Boq,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3127948,Balabhadra Khillo,14-Oct-2025 08:55 PM,Rejected-AOC,Not qualified,10-Dec-2025 01:53 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3138625,DEBENDRA BISOI,20-Oct-2025 05:44 PM,Rejected-AOC,Not qualified,10-Dec-2025 01:53 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3136716,LOKANATH JAYANTI,19-Oct-2025 09:04 PM,Rejected-AOC,Not qualified,10-Dec-2025 01:53 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3143024,PRAPHULLA MUDULI,22-Oct-2025 02:59 PM,Accepted-AOC,Qualified,10-Dec-2025 01:53 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3137257,RABINDRA PRANIGRAHI,21-Oct-2025 12:14 PM,Rejected-AOC,Not qualified,10-Dec-2025 01:53 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3139277,SASHMIREKHA BIDHAR,21-Oct-2025 10:45 PM,Rejected-AOC,Not qualified,10-Dec-2025 01:53 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3136943,SRIKANT RAUL,21-Oct-2025 08:03 PM,Rejected-AOC,Not qualified,10-Dec-2025 01:53 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3139368,SUNADHAR KHILLO,21-Oct-2025 12:13 PM,Rejected-AOC,Not qualified,10-Dec-2025 01:53 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3134603,TRIPATI PRASAD PANDA,22-Oct-2025 11:18 AM,Rejected-AOC,Not qualified,10-Dec-2025 01:53 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3135427,Tulsimani Rudi,19-Oct-2025 12:51 PM,Rejected-AOC,Not qualified,10-Dec-2025 01:53 PM,,,,,,,AOC
