Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Name,Address,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage
Additional Chief Engineer PH,Internal,"Additional Chief Engineer PH , DAO , Estimator , Sub-Division Assistant Executive Engineer PH",Prasanta Kumar Das,20-Nov-2025 01:28 PM,20-Nov-2025 03:00 PM,techsummary_555675.pdf (180.46 KB),1.0,3133879.0,Rashmi Metaliks Limited,INR,"21,194,784",PHEO||SEPH-CIRCLE-BERHAMPUR||EEPH-DIVN-CHHATRAPUR,2025_PHEO_119420_1,41/03/SPH(C)/ 2025 -26 dt. 8.10.2025,"Supply of ISI marked Centrifugally Cast (Spun) Ductile Iron Socket spigot (DI K-7 - K-9) pipes Procurement of 100mm to 350mm dia DI pipes in connection with water supply to Chatrapur, Chikiti Buguda NAC under State Plan (BASUDHA)",1,3142026,Electrosteel Castings Limited,29-Oct-2025 05:29 PM,Rejected-AOC,3rd lowest,05-Dec-2025 01:31 PM,Technical,5 (Five) Nos of Technically bid opened online,DEBADUTTA SAHU,04-Nov-2025 03:13 PM,technical_555675.pdf,Finance,4( Four) No Bidders opened online action taken shortly,Prasanta Kumar Das,21-Nov-2025 05:55 PM,finance_555675.pdf,BOQ Comparative Chart,05-Dec-2025,"INR 21,194,784",60.0,Prasanta Kumar Das,05-Dec-2025 01:31 PM,order.pdf (640.00 KB),The L1 Bidder Rashmi Metaliks,Additional Chief Engineer PH,Internal,"Additional Chief Engineer PH, Estimator, DAO",Prasanta Kumar Das,05-Dec-2025 01:15 PM,finsummary_555675.pdf (726.63 KB),AOC,13-Oct-2025 04:00 PM,04-Nov-2025 01:00 PM,13-Oct-2025 04:00 PM,30-Oct-2025 05:30 PM,13-Oct-2025 04:00 PM ,29-Oct-2025 05:30 PM ,13-Oct-2025 04:00 PM,30-Oct-2025 05:30 PM,20-Nov-2025 03:00 PM,1.0,Fee/PreQual/Technical,.pdf,"Cost of Tender Paper, EMD, PAN, GSTIN, Affidavits as per DTCN",Superintending Engineer P.H,"Superintending Engineer, P.H.Division, Bhanjanagar at Chatrapur, Near L.I.C.Colony, Chatrapur, Orissa -761020",1.0,ICICI BANK,"3,16,680",Yes,fixed,,Nil,Nil,"Supply of ISI marked Centrifugally Cast (Spun) Ductile Iron Socket spigot (DI K-7 - K-9) pipes Procurement of 100mm to 350mm dia DI pipes in connection with water supply to Chatrapur, Chikiti Buguda NAC under State Plan (BASUDHA)","Supply of ISI marked Centrifugally Cast (Spun) Ductile Iron Socket spigot (DI K-7 - K-9) pipes Procurement of 100mm to 350mm dia DI pipes in connection with water supply to Chatrapur, Chikiti Buguda NAC under State Plan (BASUDHA)",Please refer Tender documents. ,NA ,"3,16,68,000",Civil Works - Water Works,NA ,Tender,120.0,60.0,Chatrapur/Buguda/Chikiti,761020.0,NA ,NA ,NA ,Chatrapur,No ,No,"10,000",0.0,Nil,Nil,Yes,PHEO||SEPH-CIRCLE-BERHAMPUR||EEPH-DIVN-CHHATRAPUR,41/03/SPH(C)/ 2025 -26 dt. 8.10.2025,2025_PHEO_119420_1,Yes,National Competitive Bid,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,3rd Corrigendum,Date,,AOC
,,,,,,,,,,,,,,,,2,3127094,Jai Balaji Industries Limited,29-Oct-2025 02:45 PM,Rejected-AOC,2nd lowest,05-Dec-2025 01:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,"Certificates, Formats, Schedules and other documents if any as per DTCN",,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2nd Corigendum,Technical Bid,,AOC
,,,,,,,,,,,,,,,,3,3133879,Rashmi Metaliks Limited,30-Oct-2025 11:53 AM,Accepted-AOC,1st lowest,05-Dec-2025 01:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,3146183,Rungta Mines Limited,30-Oct-2025 03:09 PM,Not Admitted-Finance,Not qualified for AOC,21-Nov-2025 05:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,3145725,Tata Steel Limited,30-Oct-2025 05:22 PM,Rejected-AOC,4th lowest,05-Dec-2025 01:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
