Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage
Finance,12 nos of Bidders.,Subhrata Meher,16-Nov-2025 11:59 AM,finance_558546.pdf,BOQ Comparative Chart,1.0,3179782.0,RAJANI MAHAKUR,INR,"428,614",CE RW I||RWCIRCLE-BALANGIR||RWDIVISION-SONEPUR,2025_CERWI_120114_19,BI No.Tender Online SNPR-06 of 2025-26.,S/R to L076-NDPS road to Kudadera from ch. 0/000 to 2/540 Km.,1,3171766,DAMODAR MAHAKUR,06-Nov-2025 12:45 PM,Rejected-AOC,Rejected,22-Dec-2025 06:40 PM,22-Dec-2025,"INR 428,614",60.0,Subhrata Meher,22-Dec-2025 06:40 PM,AOC.pdf (479.00 KB),Work awarded in regular lottery system.,Er Subhrata Meher,Internal,,Subhrata Meher,22-Dec-2025 06:34 PM,techsummary_558546.pdf (329.56 KB),Er Subhrata Meher,Internal,,Subhrata Meher,22-Dec-2025 06:37 PM,finsummary_558546.pdf (329.56 KB),AOC,29-Oct-2025 05:00 PM,10-Nov-2025 11:00 AM,29-Oct-2025 05:00 PM,07-Nov-2025 05:00 PM,29-Oct-2025 05:00 PM ,06-Nov-2025 04:00 PM ,29-Oct-2025 05:00 PM,07-Nov-2025 05:00 PM,1.0,ICICI BANK,"Executive Engineer, R W Div., Sonepur","O/o the S E, R.W. Division, Sonepur","5,040",Yes,fixed,,Nil,Nil,"4,000",0.0,Nil,Nil,No,S/R to L076-NDPS road to Kudadera from ch. 0/000 to 2/540 Km.,Civil S/R Roads works,Please refer Tender documents. ,NA ,"5,04,000",Civil Works - Roads,NA ,Tender,90.0,60.0,Sonepur,767017.0,NA ,NA ,NA ,"O/o the S E, R.W. Division, Sonepur",No ,No,CE RW I||RWCIRCLE-BALANGIR||RWDIVISION-SONEPUR,BI No.Tender Online SNPR-06 of 2025-26.,2025_CERWI_120114_19,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,TENDER PAPER COST EMD PAN GST CERTIFICATE VALID CONTRACT LICENCE AFFIDAVIT AS PER DTCN ETC,AOC
,,,,,,,,,,,,,,,2,3181557,GAJENDRA BAGARTY,04-Nov-2025 05:33 PM,Rejected-AOC,Rejected,22-Dec-2025 06:40 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity (BOQ),AOC
,,,,,,,,,,,,,,,3,3194421,LAMBODAR BISWAL,07-Nov-2025 04:18 PM,Rejected-AOC,Rejected,22-Dec-2025 06:40 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,3176877,LAXMIKANTA MISHRA,06-Nov-2025 01:36 PM,Rejected-AOC,Rejected,22-Dec-2025 06:40 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,3184581,Lili Sahu,05-Nov-2025 03:06 PM,Rejected-AOC,Rejected,22-Dec-2025 06:40 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,3180543,MANJULATA NATH,04-Nov-2025 01:33 PM,Rejected-AOC,Rejected,22-Dec-2025 06:40 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,3170931,Namita Mishra,02-Nov-2025 09:59 PM,Rejected-AOC,Rejected,22-Dec-2025 06:40 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,3193390,Pratap Sahu,07-Nov-2025 01:08 PM,Rejected-AOC,Rejected,22-Dec-2025 06:40 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,3179782,RAJANI MAHAKUR,04-Nov-2025 12:20 PM,Accepted-AOC,Work awarded in regular lottery system.,22-Dec-2025 06:40 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,3190036,Rasmanjali Sa,06-Nov-2025 06:20 PM,Rejected-AOC,Rejected,22-Dec-2025 06:40 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,11,3175379,RATRU RANA,02-Nov-2025 08:24 PM,Rejected-AOC,Rejected,22-Dec-2025 06:40 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
