EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage
"13,100",Yes,fixed,,Nil,Nil,22-Aug-2025 06:00 PM,08-Sep-2025 11:00 AM,22-Aug-2025 06:00 PM,06-Sep-2025 05:00 PM,NA ,NA ,22-Aug-2025 06:00 PM,06-Sep-2025 05:00 PM,"Municipal Commissioner, RMC","Rourkela Municipal Corporation, Rourkela",Rourkela Municipal Corporation,MC/RMC/33/2025,2025_RMC_117214_9,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Registration Certificate, Affidavit, PAN, EMD, GST, Paper Cost and other documents as per DTCN","Development of parking space infront of Post Mortem building at RGH, Civil Township, Ward No. 10 under RMC, Rourkela",Works,Please refer Tender documents. ,NA ,"13,10,000",Civil Works - Others,NA ,Tender,90.0,45.0,Rourkela,769012.0,NA ,NA ,NA ,"Rourkela Municipal Corporation, Rourkela",No ,No,1.0,ICICI BANK,"6,000",Nil,Nil,No,AOC,Finance,EMD refund,Birendra Nanda,04-Nov-2025 12:28 PM,finance_550240.pdf,BOQ Comparative Chart,Commissioner,External,"Audit Officer, Executive Engineer, Superintending Engineer, Joint Commissioner",Birendra Nanda,04-Nov-2025 01:24 PM,techsummary_550240.pdf (5017.75 KB),1,3066069,ANIL BEHERA (S.C),06-Sep-2025 04:19 PM,Rejected-Technical,By The Tender Committee,04-Nov-2025 01:24 PM,12-Dec-2025,"INR 1,113,646.96",45.0,Manas Biswal,12-Dec-2025 12:51 PM,BID33.pdf (5018.00 KB),Awarded to Om Construction,1.0,3062472.0,M/S OM CONSTRUCTION,INR,"1,113,646.96",Rourkela Municipal Corporation,2025_RMC_117214_9,MC/RMC/33/2025,"Development of parking space infront of Post Mortem building at RGH, Civil Township, Ward No. 10 under RMC, Rourkela",Commissioner,External,"Audit Officer, Executive Engineer, Superintending Engineer, Joint Commissioner",Manas Biswal,12-Dec-2025 12:20 PM,finsummary_550240.pdf (5017.74 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,AOC,,,,,,,,,,,,,2,3059986,ARADHYA CONSTRUCTION,01-Sep-2025 07:03 PM,Rejected-Technical,By The Tender Committee,04-Nov-2025 01:24 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,3,3055268,ARATI TRIPATHY,29-Aug-2025 05:41 PM,Rejected-Technical,By The Tender Committee,04-Nov-2025 01:24 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,4,3054084,BRAJA MOHAN BEURA,29-Aug-2025 12:01 PM,Rejected-Technical,By The Tender Committee,04-Nov-2025 01:24 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,5,3060234,CHAKRA TANTY,01-Sep-2025 09:09 PM,Rejected-Technical,By The Tender Committee,04-Nov-2025 01:24 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,6,3050025,KAVYA CONSTRUCTION,26-Aug-2025 02:26 PM,Rejected-Technical,By The Tender Committee,04-Nov-2025 01:24 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,7,3062472,M/S OM CONSTRUCTION,03-Sep-2025 01:46 PM,Accepted-AOC,By The Tender Committee,12-Dec-2025 12:51 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,8,3065828,OWAL DEVELOPERS PROPRIETOR OF OORVI AGARWAL,06-Sep-2025 03:26 PM,Rejected-Technical,By The Tender Committee,04-Nov-2025 01:24 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,9,3058771,POLARIS ENTERPRISES,01-Sep-2025 12:25 PM,Rejected-Technical,By The Tender Committee,04-Nov-2025 01:24 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,10,3045934,PRAMOD KUMAR MOHANTY,31-Aug-2025 11:59 AM,Rejected-Technical,By The Tender Committee,04-Nov-2025 01:24 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
