S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
1.0,ICICI BANK,03-Jul-2025 09:00 AM,14-Jul-2025 11:00 AM,03-Jul-2025 09:00 AM,14-Jul-2025 09:00 AM,03-Jul-2025 09:00 AM ,11-Jul-2025 05:00 PM ,03-Jul-2025 09:00 AM,14-Jul-2025 09:00 AM,"Superintending Engineer , RWSS","Near Jarada Bunglow , Berhampur-760004","PWS to Jarada,Subarnapur and Abhayapur under Patrapur Block.","PWS to Jarada,Subarnapur and Abhayapur under Patrapur Block.",Please refer Tender documents. ,NA ,"36,84,000",Civil Works - Water Works,NA ,Tender,180.0,120.0,"PWS to Jarada,Subarnapur and Abhayapur",760004.0,NA ,NA ,NA ,"O/o Superintending Engineer , RWSS, Berhampur",No ,No,"36,840",Yes,percentage,1.0%,Nil,Nil,Rural Water Supply and Sanitation||RWSS Circle Berhampur||RWSS Division Berhampur,SERWSSBAM- 06(B) / 2025-26,2025_RWSS_115049_1,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,All Documents as per DTCN,"6,000",0.0,Nil,Nil,No,AOC,SE RWSS,Internal,AEE RWSS DAO RWSS AE RWSS,Bikash Kumar Pati,24-Dec-2025 02:35 PM,finsummary_544945.pdf (484.14 KB),Finance,Fifteen offers admited,Bikash Kumar Pati,18-Jul-2025 01:47 PM,,BOQ Comparative Chart,24-Dec-2025,"INR 3,683,154.35",120.0,Bikash Kumar Pati,24-Dec-2025 02:44 PM,jaoc.pdf (1625.00 KB),"PWS to Jarada,Subarnapur and Abhayapur under Patrapur Block",1,2996809,ABHAYA PRASAD SINGH DEO,11-Jul-2025 08:54 PM,Rejected-Finance,More than 15 percent as quoted amount,24-Dec-2025 02:35 PM,Rural Water Supply and Sanitation||RWSS Circle Berhampur||RWSS Division Berhampur,2025_RWSS_115049_1,SERWSSBAM- 06(B) / 2025-26,"PWS to Jarada,Subarnapur and Abhayapur under Patrapur Block.",1.0,2997926.0,SUDHIR KUMAR SABAT,INR,"313,150",SE RWSS,Internal,AE RWSS AEE RWSS DAO RWSS,Bikash Kumar Pati,16-Aug-2025 05:37 PM,techsummary_544945.pdf (799.01 KB),AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,AOC,,,,,,,,,,,,,,,,,,,,2,2997951,BANAMALI SETHI,13-Jul-2025 01:57 PM,Rejected-AOC,Loser,24-Dec-2025 02:44 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,3,2996746,Bhaskar Panigrahi,11-Jul-2025 07:52 PM,Rejected-Technical,Document not furnished,16-Aug-2025 05:37 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,4,2998055,Dasarathi Behera,13-Jul-2025 04:44 PM,Rejected-AOC,Loser,24-Dec-2025 02:44 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,5,2996683,DEEPAK RANJAN SAHU,12-Jul-2025 02:16 PM,Rejected-AOC,Loser,24-Dec-2025 02:44 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,6,2998076,DEEPAK SAHU,13-Jul-2025 05:07 PM,Rejected-AOC,Loser,24-Dec-2025 02:44 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,7,2997536,DURGA MADHABA SAHU,12-Jul-2025 08:35 PM,Rejected-AOC,Loser,24-Dec-2025 02:44 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,8,2997077,GAYATRI PRADHAN,12-Jul-2025 12:40 PM,Rejected-AOC,Loser,24-Dec-2025 02:44 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,9,2998023,JYOSHNA RANI SAHU,13-Jul-2025 03:55 PM,Rejected-AOC,Loser,24-Dec-2025 02:44 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,10,2998106,KANHA RANA,13-Jul-2025 05:48 PM,Rejected-AOC,Loser,24-Dec-2025 02:44 PM,,,,,,,,,,,,,,,,AOC
