Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage
Er Ramakanta Patra,Internal,Er.A.K.Hembram and Sri Vijayasingh Meena,Ramakanta Patra,02-Dec-2025 09:08 AM,techsummary_554517.pdf (241.80 KB),15-Dec-2025,"INR 1,951,617",120.0,Ramakanta Patra,16-Dec-2025 07:08 AM,Agreement.pdf (1097.00 KB),Owned the work through Transparent lottery held on 30.10.2025.,1,3127611,ARUP KUMAR HALDAR,14-Oct-2025 02:24 PM,Rejected-Finance,Unsuccessful in transparent lottery,06-Dec-2025 07:17 AM,1.0,3127565.0,Dipankar Kirtania,INR,"1,659,070",Finance,The tender has opened on 15.10.2025.,Ramakanta Patra,30-Nov-2025 09:27 PM,finance_554517.pdf,BOQ Comparative Chart,Er Ramakanta Patra,Internal,Er.A.K.Hembram and Vijayasingh Meena.,Ramakanta Patra,06-Dec-2025 07:17 AM,finsummary_554517.pdf (875.58 KB),"CCE Potteru Irr.Project,Balimela||CCE Potteru Irr.Project||Earth Dam Divn. Chitrakonda",2025_CCEBA_118894_8,SE-EDD-CKD-01/2025-26,"Repair and Renovation of Canal Syphon at RD 1.161 KM, RD 6.172 KM and RD 8.500 KM of L.M.C. for the year 2025-26.",AOC,03-Oct-2025 10:00 AM,15-Oct-2025 10:30 AM,03-Oct-2025 10:00 AM,14-Oct-2025 05:00 PM,03-Oct-2025 10:00 AM ,10-Oct-2025 05:00 PM ,03-Oct-2025 10:00 AM,14-Oct-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Cost, EMD, Contractor RC, GSTIN, PAN, Affidavit, NRC, Undertaking and any other documents as",1.0,ICICI BANK,"6,000",0.0,Nil,Nil,No,"19,600",Yes,fixed,,Nil,Nil,"CCE Potteru Irr.Project,Balimela||CCE Potteru Irr.Project||Earth Dam Divn. Chitrakonda",SE-EDD-CKD-01/2025-26,2025_CCEBA_118894_8,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"Repair and Renovation of Canal Syphon at RD 1.161 KM, RD 6.172 KM and RD 8.500 KM of L.M.C. for the year 2025-26.","Earth work, Sand filling, C.C.M-10, C.C.M-15, centering and shuttering, F and P with excavated materials, Earth work in ordinary soil and Earth work Excavation.",Please refer Tender documents. ,NA ,"19,51,617",Civil Works - Canal,NA ,Tender,90.0,120.0,Malkangiri,764045.0,NA ,NA ,NA ,CHITRAKONDA,No ,No,Superintending Engineer,"Earth Dam Division, Chitrakonda, Dist. Malkangiri, Odisha, Pin Code 764052.",AOC
,,,,,,,,,,,,,2,3117841,ATULYA KUMAR MISHRA,10-Oct-2025 10:56 PM,Rejected-Finance,Unsuccessful in transparent lottery,06-Dec-2025 07:17 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,.xls,BOQ,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,3,3127559,BADAL MAHAJAN,14-Oct-2025 01:29 PM,Rejected-Finance,Unsuccessful in transparent lottery,06-Dec-2025 07:17 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,4,3127071,Bhabani Sarkar,14-Oct-2025 03:08 PM,Rejected-Finance,Unsuccessful in transparent lottery,06-Dec-2025 07:17 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,5,3115534,BHARATI JODDAR,08-Oct-2025 10:34 AM,Rejected-Finance,Unsuccessful in transparent lottery,06-Dec-2025 07:17 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,6,3126458,BHIMA MADAKAMI,13-Oct-2025 08:06 PM,Rejected-Finance,Unsuccessful in transparent lottery,06-Dec-2025 07:17 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,7,3124956,BIBEK KUMAR DEURI,13-Oct-2025 11:29 PM,Rejected-Finance,Unsuccessful in transparent lottery,06-Dec-2025 07:17 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,8,3121263,BIKRAM MONDAL,12-Oct-2025 09:46 PM,Rejected-Finance,Unsuccessful in transparent lottery,06-Dec-2025 07:17 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,9,3126056,CHAMELI BISWAS,13-Oct-2025 08:54 PM,Rejected-Finance,Unsuccessful in transparent lottery,06-Dec-2025 07:17 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,10,3121085,CHAMPA RANI BISWAS,10-Oct-2025 09:12 AM,Rejected-Finance,Unsuccessful in transparent lottery,06-Dec-2025 07:17 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
