S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
1.0,ICICI BANK,16-Jul-2025 03:45 PM,25-Jul-2025 11:30 AM,16-Jul-2025 03:45 PM,24-Jul-2025 05:30 PM,NA ,NA ,16-Jul-2025 03:45 PM,24-Jul-2025 05:30 PM,S.E.BBSR RandB Divn No.3 Bhubaneswar,Infront of Nirman Soudha Unit 5 Bhubaneswar Dist Khordha Odisha,"6,000",0.0,Nil,Nil,No,"Spl.repair to 100ft. wide Master Plan Road from City Women College to Jagamara square, Bhubaneswar for the year 2025-26 Such as repair and restoration of road from Narula Sweets to The World Gym, Satabdi Nagar for 255.00mtr. length through road surfa","Spl.repair to 100ft. wide Master Plan Road from City Women College to Jagamara square, Bhubaneswar for the year 2025-26 Such as repair and restoration of road from Narula Sweets to The World Gym, Satabdi Nagar for 255.00mtr. length through road surfa",Pl refer DTCN1 ,NA ,"21,20,600",Civil Works - Roads,Road works ,Tender,90.0,30.0,Bhubaneswar,751001.0,NA ,NA ,NA ,O.O.S.E.BBSR RandB Divn No.3,No ,No,"21,206",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"On line proof copy of Tender cost and EMD, GSTIN, PAN, RC and Affidavit as per DTCN",EIC-CIVIL||SERNB-CIRCLE-CENTRAL||EERNB-DIVN-III-BBSR,eTCN-14 of 2025-26,2025_EICCL_115563_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,23-Dec-2025,"INR 1,802,680",30.0,Narendra Kumar Ghadei,23-Dec-2025 01:19 PM,CityWomenPragnya.pdf (1403.00 KB),Work awarded,1,3011071,ABINASH BISWAL,24-Jul-2025 04:35 PM,Rejected-Finance,Disqualified through transparent lottery,23-Dec-2025 01:02 PM,Sri N.K.Ghadai S.E.,Internal,Sri S.K.Mishra Sr.D.A.O Sri S.K.Beura AE Estimator,Narendra Kumar Ghadei,23-Dec-2025 12:51 PM,techsummary_546031.pdf (1403.17 KB),Sri N.K.Ghadai S.E.,Internal,Sri S.K.Mishra Sr.D.A.O Sri S.K.Beura AE Estimator,Narendra Kumar Ghadei,23-Dec-2025 01:02 PM,finsummary_546031.pdf (1403.17 KB),EIC-CIVIL||SERNB-CIRCLE-CENTRAL||EERNB-DIVN-III-BBSR,2025_EICCL_115563_1,eTCN-14 of 2025-26,"Spl.repair to 100ft. wide Master Plan Road from City Women College to Jagamara square, Bhubaneswar for the year 2025-26 Such as repair and restoration of road from Narula Sweets to The World Gym, Satabdi Nagar for 255.00mtr. length through road surfa",1.0,3011134.0,PRAGNYA PARAMITA PRIYADARSINI,INR,"1,802,680",Finance,Received,Narendra Kumar Ghadei,02-Aug-2025 03:25 PM,,BOQ Comparative Chart,AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,AOC,,,,,,,,2,3010537,Amita Chhotaray,24-Jul-2025 10:16 AM,Rejected-Finance,Disqualified through transparent lottery,23-Dec-2025 01:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,3002913,ASHI ENGINEERING PROP. SASANKA SEKHAR SENAPATI,21-Jul-2025 01:37 PM,Rejected-Finance,Disqualified through transparent lottery,23-Dec-2025 01:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,3011032,BABUL KUMAR PARIDA,24-Jul-2025 04:05 PM,Rejected-Finance,Disqualified through transparent lottery,23-Dec-2025 01:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,3010607,BALABHADRA ROUT,24-Jul-2025 11:04 AM,Rejected-Finance,Disqualified through transparent lottery,23-Dec-2025 01:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6,3010963,BALADEVJEW CONSTRUCTIONS PRIVATE LIMITED,24-Jul-2025 03:22 PM,Rejected-Finance,Disqualified through transparent lottery,23-Dec-2025 01:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,7,3010982,CHANDRAKANTA SETHI,24-Jul-2025 03:37 PM,Rejected-Finance,Disqualified through transparent lottery,23-Dec-2025 01:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,8,3010713,CHITTA RANJAN SAHOO,24-Jul-2025 02:59 PM,Rejected-Finance,Disqualified through transparent lottery,23-Dec-2025 01:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,9,3011079,CONSAGE ENGINEERING PRIVATE LIMITED,24-Jul-2025 04:30 PM,Rejected-Finance,Disqualified through transparent lottery,23-Dec-2025 01:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,10,3010819,DEBANSHEE INFRA AND ASSOCIATES,24-Jul-2025 01:45 PM,Rejected-Finance,Disqualified through transparent lottery,23-Dec-2025 01:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
