Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Finance,Twelve bidders participated. BOQ Comparative Chart is enclosed for reference. The Original documents of bidders to be verified.,Nanda Kishor Pal,16-Apr-2024 04:58 PM,finance_498447.pdf,BOQ Comparative Chart,1.0,2478948.0,CASTOL ENTERPRISES,INR,"3,189,133",Municipal Bodies||Cuttack Municipal Corporation,2024_ORULB_102220_1,MC(CMC)CTC_EL_No.12/2023-24,Supply and fixing of Decorative Lights in Smart Foot Path from Justice Chhak to MO Bus Stand Chhak at Mahanadi Vihar in Ward No. 47,Executive Engineer,Internal,Asst. Executive Engineer,Subas Chandra Sahoo,09-Dec-2025 12:28 PM,finsummary_498447.pdf (406.29 KB),Executive Engineer,Internal,Asst. Executive Engineer,Subas Chandra Sahoo,09-Dec-2025 12:24 PM,techsummary_498447.pdf (406.29 KB),1,2478948,CASTOL ENTERPRISES,16-Mar-2024 03:56 PM,Accepted-AOC,Accepted,09-Dec-2025 12:33 PM,09-Dec-2025,"INR 3,189,133",60.0,Subas Chandra Sahoo,09-Dec-2025 12:33 PM,2024_ORULB_102220_1.pdf (406.00 KB),Work Order,AOC,06-Mar-2024 03:00 PM,22-Mar-2024 11:00 AM,06-Mar-2024 03:00 PM,19-Mar-2024 05:00 PM,06-Mar-2024 03:00 PM ,19-Mar-2024 05:00 PM ,06-Mar-2024 03:00 PM,19-Mar-2024 05:00 PM,"7,080",0.0,Nil,Nil,No,"Executive Engineer, CD-I","At Bikash Bhawan, Jagannathlane Badambadi, Dist Cuttack, Pin-753012",1.0,Fee/PreQual/Technical/Finance,.pdf,"TENDER PAPER COST AND EMD ONLINE,VAT, PAN, EPF REGISTRATION AND GST-IN CERTIFICATE OTHER DOCUMENTS",Municipal Bodies||Cuttack Municipal Corporation,MC(CMC)CTC_EL_No.12/2023-24,2024_ORULB_102220_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,"37,600",Yes,fixed,,Nil,Nil,Supply and fixing of Decorative Lights in Smart Foot Path from Justice Chhak to MO Bus Stand Chhak at Mahanadi Vihar in Ward No. 47,Supply and fixing of Decorative Lights in Smart Foot Path from Justice Chhak to MO Bus Stand Chhak at Mahanadi Vihar in Ward No. 47,Please refer Tender documents. ,NA ,"37,51,500",Electrical Works,NA ,Tender,90.0,60.0,CMC,753012.0,NA ,NA ,NA ,"At Bikash Bhawan, Jagannathlane Badambadi",No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2478930,GLOBAL ENERGY,16-Mar-2024 03:40 PM,Rejected-AOC,Rejected,09-Dec-2025 12:33 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2480791,G-ON ENERGY CONTROLS,19-Mar-2024 01:02 PM,Rejected-AOC,Rejected,09-Dec-2025 12:33 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2480252,JAY HANUMAN ENTERPRISES,19-Mar-2024 03:30 PM,Rejected-AOC,Rejected,09-Dec-2025 12:33 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2480545,JBS ENTERPRISES,19-Mar-2024 02:55 PM,Rejected-AOC,Rejected,09-Dec-2025 12:33 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2479018,M/s. EASTERN ENGINEERING,16-Mar-2024 06:31 PM,Rejected-AOC,Rejected,09-Dec-2025 12:33 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2480538,M/S GANGA ELECTRIC,19-Mar-2024 04:40 PM,Rejected-AOC,Rejected,09-Dec-2025 12:33 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2480536,M/s.TULSHI ENTERPRISES,19-Mar-2024 03:45 PM,Rejected-AOC,Rejected,09-Dec-2025 12:33 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2480541,R.S. ENTERPRISE,19-Mar-2024 02:47 PM,Rejected-AOC,Rejected,09-Dec-2025 12:33 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2477481,SRD ENERGY TREE PVT LTD,14-Mar-2024 05:30 PM,Rejected-AOC,Rejected,09-Dec-2025 12:33 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2476340,SRI ASHWINEE KUMAR MOHANTY,13-Mar-2024 01:36 PM,Rejected-AOC,Rejected,09-Dec-2025 12:33 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
