Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Rourkela Municipal Corporation,2025_RMC_117214_6,MC/RMC/33/2025,"Construction of Drain and Cover Slab from Burla Leprocy basti end to Gokuli Naik house at Nandapada, Nayabazar Ward No. 33 under RMC, Rourkela.",Commissioner,External,"Audit Officer, Executive Engineer, Superintending Engineer, Joint Commissioner",Manas Biswal,12-Dec-2025 12:15 PM,finsummary_550233.pdf (5017.74 KB),1.0,3060264.0,CHAKRA TANTY,INR,"1,366,459.73",12-Dec-2025,"INR 1,366,459.73",60.0,Manas Biswal,12-Dec-2025 12:46 PM,BID33.pdf (5018.00 KB),Awarded to Chakra Tanty,Commissioner,External,"Audit Officer, Executive Engineer, Superintending Engineer, Joint Commissioner",Birendra Nanda,04-Nov-2025 01:05 PM,techsummary_550233.pdf (5017.75 KB),1,3066101,ANIL BEHERA (S.C),06-Sep-2025 04:36 PM,Rejected-Technical,By The Tender Committee,04-Nov-2025 01:05 PM,Finance,EMD refund,Birendra Nanda,04-Nov-2025 12:17 PM,finance_550233.pdf,BOQ Comparative Chart,AOC,22-Aug-2025 06:00 PM,08-Sep-2025 11:00 AM,22-Aug-2025 06:00 PM,06-Sep-2025 05:00 PM,NA ,NA ,22-Aug-2025 06:00 PM,06-Sep-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"Registration Certificate, Affidavit, PAN, EMD, GST, Paper Cost and other documents as per DTCN",1.0,ICICI BANK,Rourkela Municipal Corporation,MC/RMC/33/2025,2025_RMC_117214_6,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",Nil,Nil,No,"Construction of Drain and Cover Slab from Burla Leprocy basti end to Gokuli Naik house at Nandapada, Nayabazar Ward No. 33 under RMC, Rourkela.",Works,Please refer Tender documents. ,NA ,"16,07,000",Civil Works - Others,NA ,Tender,90.0,60.0,Rourkela,769012.0,NA ,NA ,NA ,"Rourkela Municipal Corporation, Rourkela",No ,No,"Municipal Commissioner, RMC","Rourkela Municipal Corporation, Rourkela","16,070",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3059962,ARADHYA CONSTRUCTION,01-Sep-2025 06:52 PM,Rejected-Technical,By The Tender Committee,04-Nov-2025 01:05 PM,,,,,,,AOC,,,,,,,,,,,.xls,BOQ,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3055252,ARATI TRIPATHY,29-Aug-2025 05:30 PM,Rejected-Technical,By The Tender Committee,04-Nov-2025 01:05 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3061691,BALARAM SAHOO,02-Sep-2025 07:25 PM,Rejected-Technical,By The Tender Committee,04-Nov-2025 01:05 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3064435,BIPRA CHARAN DHAL,05-Sep-2025 02:22 PM,Rejected-Technical,By The Tender Committee,04-Nov-2025 01:05 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3060264,CHAKRA TANTY,01-Sep-2025 09:28 PM,Accepted-AOC,By The Tender Committee,12-Dec-2025 12:46 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3064721,KARTIK DAS,05-Sep-2025 05:46 PM,Rejected-Technical,By The Tender Committee,04-Nov-2025 01:05 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3050034,KAVYA CONSTRUCTION,26-Aug-2025 02:33 PM,Rejected-Technical,By The Tender Committee,04-Nov-2025 01:05 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3062481,M/S OM CONSTRUCTION,03-Sep-2025 01:49 PM,Rejected-Technical,By The Tender Committee,04-Nov-2025 01:05 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3065783,PRABHAT KUMAR KABI,06-Sep-2025 01:58 PM,Rejected-Technical,By The Tender Committee,04-Nov-2025 01:05 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
