Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Registration Certificate GST PAN and Affidavit other document as per DTCN,"10,000",0.0,Nil,Nil,No,27-Jun-2025 10:00 AM,03-Jul-2025 11:00 AM,27-Jun-2025 10:00 AM,02-Jul-2025 05:00 PM,NA ,NA ,27-Jun-2025 10:00 AM,02-Jul-2025 05:00 PM,21-Jul-2025 11:00 AM,SE MI Division Keonjhar,SE MI Division Keonjhar,"CE,Minor Irrigation,BBSR||SE,Eastern Minor Irr.Circle,Keonjhar||EE M.I. Division Keonjhar",Bid ID No.01 SEMID (KJR/ 2025-2026),2025_CEMIB_114955_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,Construction of Sankarpur Check Dam over Aradei Nalla near village Sankarpur in Keonjhar Block of Keonjhar District under Mukhyamantri Adibandha Tiari Yojana (MATY) for the year 2025-2026,Construction of Sankarpur Check Dam over Aradei Nalla near village Sankarpur in Keonjhar Block of Keonjhar District under Mukhyamantri Adibandha Tiari Yojana (MATY) for the year 2025-2026,Construction of Sankarpur Check Dam over Aradei Nalla near village Sankarpur in Keonjhar Block of Keonjhar District under Mukhyamantri Adibandha Tiari Yojana (MATY) for the year 2025-2026 ,NA ,"93,99,000",Civil Works - Others,Check Dam ,Tender,90.0,330.0,SADAR,758001.0,NA ,NA ,NA ,SE MI Division Keonjhar,No ,No,1.0,ICICI BANK,"93,990",Yes,fixed,,Nil,Nil,AOC,"SE MI Division, Keonjhar",Internal,,Rashmi Rekha Chattar,10-Dec-2025 04:57 PM,finsummary_544644.pdf (583.19 KB),"CE,Minor Irrigation,BBSR||SE,Eastern Minor Irr.Circle,Keonjhar||EE M.I. Division Keonjhar",2025_CEMIB_114955_1,Bid ID No.01 SEMID (KJR/ 2025-2026),Construction of Sankarpur Check Dam over Aradei Nalla near village Sankarpur in Keonjhar Block of Keonjhar District under Mukhyamantri Adibandha Tiari Yojana (MATY) for the year 2025-2026,Technical,49 nos.,Rashmi Rekha Chattar,07-Jul-2025 12:56 PM,,1.0,2985088.0,SATYABRATA SAMAL,INR,"7,990,008.23",1,2986708,ABHILASH MOHANTY,02-Jul-2025 03:36 PM,Rejected-AOC,Disqualified,10-Dec-2025 05:03 PM,10-Dec-2025,"INR 7,990,008.23",330.0,Rashmi Rekha Chattar,10-Dec-2025 05:03 PM,Sankarpuar.pdf (583.00 KB),Finance,45 nos,Rashmi Rekha Chattar,10-Dec-2025 04:50 PM,,BOQ Comparative Chart,"SE MI Division, Keonjhar",Internal,,Rashmi Rekha Chattar,16-Jul-2025 05:10 PM,21-Jul-2025 11:00 AM,techsummary_544644.pdf (3327.09 KB),AOC
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2,2986660,ABHIRAM SAHU,02-Jul-2025 03:10 PM,Rejected-AOC,Disqualified,10-Dec-2025 05:03 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,3,2986562,AKS MINING INFRACON,02-Jul-2025 04:37 PM,Rejected-Technical,Affidavit not furnished for this work,16-Jul-2025 05:10 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,4,2986638,BHABEN KUMAR JENA,02-Jul-2025 02:56 PM,Rejected-AOC,Disqualified,10-Dec-2025 05:03 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,5,2986102,BHIMASEN SETHI,02-Jul-2025 11:50 AM,Rejected-AOC,Disqualified,10-Dec-2025 05:03 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,6,2985725,BHUYAN MAHAPRASAD,01-Jul-2025 06:50 PM,Rejected-AOC,Disqualified,10-Dec-2025 05:03 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,7,2986596,BIDHUBHUSAN SAHOO,02-Jul-2025 02:18 PM,Rejected-AOC,Disqualified,10-Dec-2025 05:03 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,8,2986335,BISWANATH SAHOO,02-Jul-2025 01:15 PM,Rejected-AOC,Disqualified,10-Dec-2025 05:03 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,9,2985436,BISWARANJAN MAHAKUL,01-Jul-2025 08:44 PM,Rejected-AOC,Disqualified,10-Dec-2025 05:03 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,10,2986290,CHINMAY KUMAR MOHANTY,02-Jul-2025 12:13 PM,Rejected-AOC,Disqualified,10-Dec-2025 05:03 PM,,,,,,,,,,,,,,,,,,,,AOC
