Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,S.No,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
Municipal Bodies||Balangir Municipality,2025_ORULB_118958_40,BLGRMPTY/08(01-41)/2025-26,"Improvement of Road from Saroj Bohidar res towards Binaya Sahu res, W.No.13",1.0,3129913.0,JYOTIRMAYEE BOHIDAR,INR,"1,691,479.68",1,3129913,JYOTIRMAYEE BOHIDAR,15-Oct-2025 06:28 PM,Accepted-AOC,L1,01-Dec-2025 07:43 PM,25-Nov-2025,"INR 1,691,479.68",90.0,Sanjay Kumar Mohanty,01-Dec-2025 07:43 PM,WO0820252640.pdf (848.00 KB),After approval of the tender Committee contractor Smt Jyoirmayee Bohidari is awarded the work. vide W/O No.6172 Dt.25.11.2025,Finance,2 Nos. of bidders have participated.,Sanjay Kumar Mohanty,25-Oct-2025 06:38 PM,,BOQ Comparative Chart,"SMT LIKA SAHU,CHAIRPERSON",Internal,"Chairperson,Executive Officer,Municipal Engineer, Asst.Engineer,Junior Engineer,Balangir Municipality",Sanjay Kumar Mohanty,17-Nov-2025 07:34 PM,finsummary_554748.pdf (194.26 KB),"SMT LIKA SAHU,CHAIRPERSON",Internal,"Chairperson,Executive Officer,Municipal Engineer, Asst.Engineer,Junior Engineer,Balangir Municipality",Sanjay Kumar Mohanty,17-Nov-2025 06:35 PM,techsummary_554748.pdf (445.35 KB),AOC,1,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.xls,Bill of Quantity,"Executive Officer, Balangir Municipality","Office of the Municipal Council, Balangir",Municipal Bodies||Balangir Municipality,BLGRMPTY/08(01-41)/2025-26,2025_ORULB_118958_40,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"16,917",Yes,percentage,1.0%,Nil,Nil,"Improvement of Road from Saroj Bohidar res towards Binaya Sahu res, W.No.13",Road Work,Please refer tender Documents  ,NA ,"16,91,651",Civil Works - Roads,NA ,Tender,120.0,90.0,Balangir,767001.0,NA ,NA ,NA ,"Office of the Municipal Council, Balangir",No ,No,"6,000",0.0,Nil,Nil,No,06-Oct-2025 11:00 AM,20-Oct-2025 11:00 AM,06-Oct-2025 11:00 AM,18-Oct-2025 05:00 PM,NA ,NA ,06-Oct-2025 11:00 AM,18-Oct-2025 05:00 PM,AOC
,,,,,,,,,2,3129988,SURYA PRAKASH MOHANTY,15-Oct-2025 07:21 PM,Rejected-Finance,other then L1 Bidder,17-Nov-2025 07:34 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,ICICI NEFT/RTGS,,,.pdf,"Online proof of tender paper cost, EMD,GSTIN,PAN,RC,Affidavit and any others documents as per DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
