S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage
1.0,3024846.0,MANAS KUMAR PARIDA,INR,"1,021,563","CCE RW Circle, Balasore",Internal,PA to CCE and AE Estimator,Durjyodhan Behera,11-Dec-2025 01:21 PM,finsummary_547817.pdf (426.94 KB),CE RW I||RWCIRCLE-BALASORE,2025_CERWI_116246_4,CCE-BLS-NCB-16 of 2025-26,Construction of PHC New Day Care Building at Betakata under Nilagiri Block in the District of Balasore for 2025-26.,Technical,21 numbers,Durjyodhan Behera,12-Aug-2025 12:36 PM,,Finance,20 numbers,Subhadra Behera,08-Oct-2025 12:02 PM,,BOQ Comparative Chart,"CCE RW Circle, Balasore",Internal,"PA to CCE and AE Estimator, R.W.Circle, Balasore",Saibalini Singh,03-Oct-2025 11:32 AM,06-Oct-2025 05:00 PM,techsummary_547817.pdf (918.64 KB),1,3026773,AMARJIT MAHAPATRA,07-Aug-2025 01:30 PM,Rejected-AOC,L1,14-Dec-2025 07:48 PM,14-Dec-2025,"INR 10,215,631",360.0,Durjyodhan Behera,14-Dec-2025 07:48 PM,BetakataW.pdf (1191.00 KB),Sri Manas Ku Parida is the 1st lowest selected through transparent lottery,AOC,"1,20,170",Yes,percentage,1.0%,Nil,Nil,Construction of PHC New Day Care Building at Betakata under Nilagiri Block in the District of Balasore for 2025-26.,Construction of PHC New Day Care Building at Betakata under Nilagiri Block in the District of Balasore for 2025-26.,Please refer to the DTCN ,NA ,"1,20,17,000",Civil Works - Buildings,NA ,Tender,90.0,360.0,Balasore,756001.0,NA ,NA ,NA ,"CCE, R.W.CIRCLE, BALASORE",No ,No,"10,000",0.0,Nil,Nil,No,1.0,ICICI BANK,CE RW I||RWCIRCLE-BALASORE,CCE-BLS-NCB-16 of 2025-26,2025_CERWI_116246_4,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,29-Jul-2025 06:00 PM,08-Aug-2025 11:00 AM,29-Jul-2025 06:00 PM,07-Aug-2025 05:00 PM,29-Jul-2025 06:00 PM ,06-Aug-2025 05:00 PM ,29-Jul-2025 06:00 PM,07-Aug-2025 05:00 PM,06-Oct-2025 05:00 PM,"CCE, R.W.CIRCLE, BALASORE","O/o the Chief Construction Engineer, Rural Works Circle, Balasore",1.0,Fee/PreQual/Technical,.pdf,"P.cost. EMD, R.C, PAN, GSTIN,Affidavit, etc.",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3021899,Bhabani Shankar Rout,04-Aug-2025 08:47 PM,Rejected-Technical,Invalid MOU,03-Oct-2025 11:32 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Similar nature of work, ATO, Proffit and Loss Statement, Work in Hand, Machineries, etc.",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3027050,Bhaskar Chandra Pradhan,07-Aug-2025 02:18 PM,Rejected-AOC,L1,14-Dec-2025 07:48 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other documents as per DTCN,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3027033,DINESH KUMAR BEHERA,07-Aug-2025 03:45 PM,Rejected-AOC,L1,14-Dec-2025 07:48 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BILL OF QUANTITY,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3026985,Dinesh Kumar Nayak,07-Aug-2025 03:05 PM,Rejected-AOC,L1,14-Dec-2025 07:48 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3026051,HARISANKAR MOHAPATRA,06-Aug-2025 07:33 PM,Rejected-AOC,L1,14-Dec-2025 07:48 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3025412,Kartick Chandra Sahani,06-Aug-2025 12:44 PM,Rejected-AOC,L1,14-Dec-2025 07:48 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3020443,KARUNAKAR BEHERA,01-Aug-2025 02:33 PM,Rejected-AOC,L1,14-Dec-2025 07:48 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3026286,LAXMINARAYAN CONSTRUCTION,06-Aug-2025 09:56 PM,Rejected-AOC,L1,14-Dec-2025 07:48 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3024846,MANAS KUMAR PARIDA,06-Aug-2025 12:52 PM,Accepted-AOC,L1 selected through transparent lottery,14-Dec-2025 07:48 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
