Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage
"6,000",0.0,Nil,Nil,No,"Executive Engineer, R.W.Division,Patnagarh","O/o the Superintending Engineer, R.W.D, Patnagarh",08-Nov-2025 06:00 PM,24-Nov-2025 11:00 AM,08-Nov-2025 06:00 PM,21-Nov-2025 05:00 PM,08-Nov-2025 06:00 PM ,20-Nov-2025 05:00 PM ,08-Nov-2025 06:00 PM,21-Nov-2025 05:00 PM,CE RW I||RWCIRCLE-BALANGIR||RW Division Patnagarh,EEPTNG-online-12/2025-26,2025_CERWI_120972_13,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"DD, EMD, R.C, PAN, GSTIN, AFFIDAVIT AND OTHER DOCUMENTS AS PER DTCN",Periodical Maintenance to Sunabahal to Muribahal for the year 2025-26,Periodical Maintenance to Sunabahal to Muribahal for the year 2025-26,Please refer Tender documents. ,NA ,"33,39,000",Civil Works - Roads,NA ,Tender,90.0,60.0,Patnagarh,767025.0,NA ,NA ,NA ,"O/o the Superintending Engineer, R.W.D, Patnagarh",No ,No,"33,390",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,AOC,Executive Engineer,Internal,"Executive Engineer, D.A.O, Estimator",Manik Kumbhar,31-Dec-2025 12:28 PM,techsummary_562946.pdf (2642.89 KB),Executive Engineer,Internal,"Executive Engineer, D.A.O, Estimator",Manik Kumbhar,31-Dec-2025 12:40 PM,finsummary_562946.pdf (2642.89 KB),Finance,33 nos bid opened,Manik Kumbhar,29-Nov-2025 01:29 PM,finance_562946.pdf,BOQ Comparative Chart,CE RW I||RWCIRCLE-BALANGIR||RW Division Patnagarh,2025_CERWI_120972_13,EEPTNG-online-12/2025-26,Periodical Maintenance to Sunabahal to Muribahal for the year 2025-26,1.0,3243222.0,DEBABRATA BRAHMA,INR,"2,838,442",1,3244050,AKASH KUMAR JAIN,21-Nov-2025 01:14 PM,Rejected-Finance,Unsuccessful bidder in transparent lottery system,31-Dec-2025 12:40 PM,31-Dec-2025,"INR 2,838,442",60.0,Manik Kumbhar,31-Dec-2025 12:48 PM,6429.pdf (1375.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3222187,CHANDINI BAI JAIN,19-Nov-2025 12:03 PM,Rejected-Finance,Unsuccessful bidder in transparent lottery system,31-Dec-2025 12:40 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3243222,DEBABRATA BRAHMA,21-Nov-2025 01:05 AM,Accepted-AOC,Successful bidder,31-Dec-2025 12:49 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3240969,DIPAK KUMAR AGRAWAL,20-Nov-2025 12:30 PM,Rejected-Finance,Unsuccessful bidder in transparent lottery system,31-Dec-2025 12:40 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3243144,GOPAL DAS SHARMA,21-Nov-2025 09:46 AM,Rejected-Finance,Unsuccessful bidder in transparent lottery system,31-Dec-2025 12:40 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3243694,JUBARAJ KUMBHAR,21-Nov-2025 12:32 PM,Rejected-Finance,Unsuccessful bidder in transparent lottery system,31-Dec-2025 12:40 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3239169,KALYANI SIPKA,20-Nov-2025 03:43 PM,Rejected-Finance,Unsuccessful bidder in transparent lottery system,31-Dec-2025 12:40 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3242477,KANHA AGRAWAL,20-Nov-2025 05:34 PM,Rejected-Finance,Unsuccessful bidder in transparent lottery system,31-Dec-2025 12:40 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3241909,KANHU KUMAR AGRAWAL,20-Nov-2025 03:30 PM,Rejected-Finance,Unsuccessful bidder in transparent lottery system,31-Dec-2025 12:40 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3225086,KL INFRAPROJECTS,15-Nov-2025 05:00 PM,Rejected-Finance,Unsuccessful bidder in transparent lottery system,31-Dec-2025 12:40 PM,,,,,,,AOC
