Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Finance,Total two bids have been opened for Financial Evaluation and both have been admitted,Janardan Panda,23-Dec-2025 06:04 PM,finance_570942.pdf,Special Secretary to Govt,Internal,,Goura Chandra Naik,23-Dec-2025 05:48 PM,23-Dec-2025 05:55 PM,techsummary_570942.pdf (180.74 KB),1,3323571,Maa Santoshi Travels and Home services,22-Dec-2025 07:34 PM,Rejected-Finance,2nd Lowest Bidder in all categories,23-Dec-2025 06:18 PM,01-Jan-2026,"INR 106,700",1095.0,Janardan Panda,29-Dec-2025 10:41 AM,28983.pdf (446.00 KB),The price given above is aggregated price,1.0,3314933.0,Swayam Sai Travels,INR,"106,700",Special Secretary to Govt,Internal,,Janardan Panda,23-Dec-2025 06:18 PM,finsummary_570942.pdf (181.27 KB),Technical,Total Two Bids are received and both are admitted,Goura Chandra Naik,23-Dec-2025 05:08 PM,technical_570942.pdf,Department of Agriculture and Farmers Empowerment,2025_DANFE_122925_1,27477/DAFE,Hiring of Private Vehicles on Monthly and Daily Basis (Tour),AOC,Department of Agriculture and Farmers Empowerment,27477/DAFE,2025_DANFE_122925_1,Yes,Open Tender,Empanelment,Services,2.0,No,No,Online,No,No,No,1,ICICI BANK,11-Dec-2025 12:30 PM,23-Dec-2025 03:30 PM,11-Dec-2025 12:30 PM,23-Dec-2025 01:00 PM,NA ,NA ,11-Dec-2025 12:30 PM,23-Dec-2025 01:00 PM,23-Dec-2025 05:55 PM,Hiring of Private Vehicles on Monthly and Daily Basis (Tour),Hiring of Private Vehicles on Monthly and Daily Basis (Tour),Please refer Tender documents. ,NA ,,Miscellaneous Services,NA ,Tender,30.0,1095.0,Bhubaneswar,751001.0,NA ,NA ,NA ,"3rd Floor, Krushi Bhavan",No ,No,1,Fee/PreQual/Technical,.pdf,Technical Bid,"Deputy Secretary to Government, DAFE","3rd Floor, Krushi Bhavan, Bhubaneswar-751001",0.0,Nil,Nil,No,"5,000",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,2,3314933,Swayam Sai Travels,19-Dec-2025 01:48 PM,Accepted-AOC,The Awarded Value is aggregated price,29-Dec-2025 10:41 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.pdf,Financial Bid,,,,,,,,,,,,,AOC
