S.No,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,3rd corrigendum,Date,,"5,99,000",Yes,fixed,,Nil,Nil,"10,000",0.0,Nil,Nil,No,1.0,ICICI BANK,Chief Construction Engineer,"Rural Works Circle, Sunabeda-1, Near Jagannath Temple, PIN-763001, Dist-Koraput",18-Feb-2025 06:55 PM,13-Mar-2025 11:00 AM,18-Feb-2025 06:55 PM,12-Mar-2025 05:00 PM,18-Feb-2025 06:55 PM ,11-Mar-2025 02:00 PM ,18-Feb-2025 06:55 PM,12-Mar-2025 05:00 PM,28-Apr-2025 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,"Bid Cost, EMD, RC,PAN, GST, Affidavit regarding correctness, No relation certificate",Improvement of Kangaripada - Jalahanjar road under MMSY-Improvement of Existing RD Road in the Districts of Koraput for the year 2024-25.,Improvement of Kangaripada - Jalahanjar road under MMSY-Improvement of Existing RD Road in the Districts of Koraput for the year 2024-25.,N.A. ,NA ,"5,98,09,000",Civil Works - Roads,NA ,Tender,90.0,272.0,SUNABEDA,763001.0,NA ,NA ,NA ,"Chief Construction Engineer, R.W.Circle, Sunabeda",No ,No,CE RW I||RWCIRCLE-SUNABEDA,CCERWCSBD Online - 18/2024-25,2025_CERWI_110486_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,AOC,09-Dec-2025,"INR 59,808,501.53",272.0,Rinku Nahak,09-Dec-2025 08:38 PM,AOCKANGARIPADA.pdf (644.00 KB),Award of contract to Sri Goura Chandra Acharya through transparency lottery system.,1,2849992,BATU PRAVEEN KUMAR,10-Mar-2025 11:01 PM,Rejected-AOC,REJECT,09-Dec-2025 08:38 PM,"Chief Construction Engineer, R.W. Circle, Sunabeda",Internal,,Prabhakara Behera,23-Apr-2025 12:13 PM,28-Apr-2025 11:00 AM,techsummary_529683.pdf (1947.24 KB),Finance,cs,Rinku Nahak,09-Dec-2025 08:22 PM,finance_529683.pdf,BOQ Comparative Chart,CE RW I||RWCIRCLE-SUNABEDA,2025_CERWI_110486_1,CCERWCSBD Online - 18/2024-25,Improvement of Kangaripada - Jalahanjar road under MMSY-Improvement of Existing RD Road in the Districts of Koraput for the year 2024-25.,Technical,BIDDERS NAME,Prabhakara Behera,26-Mar-2025 08:33 PM,technical_529683.pdf,"Chief Construction Engineer, R.W. Circle, Sunabeda",Internal,"Superintending Engineer, DAO, Estimator of Rural Works Division, Sunabeda Estimator R.W. Circle Sunabeda",Rinku Nahak,09-Dec-2025 08:31 PM,finsummary_529683.pdf (688.11 KB),1.0,2848191.0,GOURA CHANDRA ACHARYA,INR,"50,843,207.15",AOC
2.0,corrigendum-4,Technical Bid,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,.pdf,"Annual Turn over certificate from CA, Similar nature of Work Certificate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,2,2852129,CHANDAN KUMAR BISOI,12-Mar-2025 02:27 PM,Rejected-AOC,REJECT,09-Dec-2025 08:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machineries and other documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,2845396,CHANDAN SINGH,08-Mar-2025 08:20 AM,Rejected-AOC,REJECT,09-Dec-2025 08:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,2843977,CHETAN BISOI,04-Mar-2025 12:58 PM,Rejected-AOC,REJECT,09-Dec-2025 08:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,2848191,GOURA CHANDRA ACHARYA,11-Mar-2025 10:50 PM,Accepted-AOC,Award of contract to Sri Goura Chandra Acharya through transparency lottery system.,09-Dec-2025 08:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6,2851415,JAMI RAVISANKAR,12-Mar-2025 10:08 AM,Rejected-AOC,REJECT,09-Dec-2025 08:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,7,2846892,KALI PRASAD MISHRA,10-Mar-2025 10:50 AM,Rejected-AOC,REJECT,09-Dec-2025 08:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,8,2851515,MOHANLAL AGRAWAL,12-Mar-2025 04:31 PM,Rejected-AOC,REJECT,09-Dec-2025 08:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,9,2849824,M/s SANTOSH SATAPATHY,11-Mar-2025 08:32 PM,Rejected-AOC,REJECT,09-Dec-2025 08:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,10,2848691,NARAYAN BISOI,10-Mar-2025 08:40 PM,Rejected-AOC,REJECT,09-Dec-2025 08:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,11,2844809,SURENDRA KUMAR MAHAKUDA,06-Mar-2025 05:37 PM,Rejected-AOC,REJECT,09-Dec-2025 08:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,12,2850021,V BHASKAR RAO,12-Mar-2025 02:18 PM,Rejected-AOC,REJECT,09-Dec-2025 08:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
