Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Finance,L1 Bidder will finalised after scrutiny of all documents,ASHWINI KUMAR DAS,29-Dec-2025 03:58 PM,,BOQ Comparative Chart,1.0,2968641.0,Hemanta Prusty,INR,"762,797",Municipal Bodies||Dhenkanal Municipality,2025_ORULB_114269_7,DKL MPLTY/02/2025-26,Construction of Drain Rasmirekha Panigrahi res to Kanak Durga Mandir backside in ward no. 07.,CHAIRPERSON,Internal,"JE,AEE,ME,EO,AE",ASHWINI KUMAR DAS,29-Dec-2025 04:10 PM,finsummary_542428.pdf (341.94 KB),CHAIRPERSON,Internal,"JE,AEE,EO,AE,ME",ASHWINI KUMAR DAS,29-Dec-2025 04:01 PM,techsummary_542428.pdf (341.94 KB),29-Dec-2025,"INR 762,797",45.0,ASHWINI KUMAR DAS,29-Dec-2025 04:15 PM,AOCJUNE2507.pdf (241.00 KB),1,2968000,Ahalya Rout,15-Jun-2025 11:36 PM,Rejected-Finance,UNSUCESSFUL IN LOTTERY,29-Dec-2025 04:10 PM,AOC,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,NIT,Municipal Bodies||Dhenkanal Municipality,DKL MPLTY/02/2025-26,2025_ORULB_114269_7,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"7,630",Yes,fixed,,Nil,Nil,Executive Officer,Dhenkanal Municipality,"4,000",0.0,Nil,Nil,No,07-Jun-2025 11:00 AM,17-Jun-2025 09:00 AM,07-Jun-2025 11:00 AM,16-Jun-2025 05:00 PM,NA ,NA ,07-Jun-2025 11:00 AM,16-Jun-2025 05:00 PM,Construction of Drain Rasmirekha Panigrahi res to Kanak Durga Mandir backside in ward no. 07.,AS PER DTCN,Please refer Tender documents. ,NA ,"7,62,818",Civil Works - Others,NA ,Tender,120.0,45.0,DHENKANAL MUNICIPALITY AREA,759001.0,NA ,NA ,NA ,DHENKANAL MUNICIPALITY,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2958617,Aruna Kumar Dalei,10-Jun-2025 10:37 AM,Rejected-Finance,UNSUCESSFUL IN LOTTERY,29-Dec-2025 04:10 PM,AOC,2.0,ICICI NEFT/RTGS,,,.pdf,DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2966957,Bishal Pattnaik,14-Jun-2025 08:16 PM,Rejected-Finance,UNSUCESSFUL IN LOTTERY,29-Dec-2025 04:10 PM,AOC,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2967090,Biswabashinee Mohanty,15-Jun-2025 12:07 AM,Rejected-Finance,UNSUCESSFUL IN LOTTERY,29-Dec-2025 04:10 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2965009,BISWAJIT MANSINGH,14-Jun-2025 06:16 PM,Rejected-Finance,UNSUCESSFUL IN LOTTERY,29-Dec-2025 04:10 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2967939,DILLIP KUMAR JENA,15-Jun-2025 10:17 PM,Rejected-Finance,UNSUCESSFUL IN LOTTERY,29-Dec-2025 04:10 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2968641,Hemanta Prusty,16-Jun-2025 12:57 PM,Accepted-AOC,SUCESSFUL IN LOTTERY,29-Dec-2025 04:15 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2967409,JYOTIRMAYEE PRIYADARSHINI MOHANTY,15-Jun-2025 12:48 PM,Rejected-Finance,UNSUCESSFUL IN LOTTERY,29-Dec-2025 04:10 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2967316,Parag Mohanty,15-Jun-2025 12:02 PM,Rejected-Finance,UNSUCESSFUL IN LOTTERY,29-Dec-2025 04:10 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2962627,PRITI PADMA PATRA,12-Jun-2025 11:17 PM,Rejected-Finance,UNSUCESSFUL IN LOTTERY,29-Dec-2025 04:10 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
