S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No.1,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,3132323.0,BEDA PRAKASH MISHRA,INR,"4,322,738",Technical,Tender Opening,Jay Prakash Soren,15-Nov-2025 06:27 PM,technical_555170.pdf,CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-NAWARANGAPUR,2025_CERWI_119154_1,EERWNGP Online 06 2025 26,"S/R to Maidalpur to Aunli Road such as SDBC, Berm Filling at Ch 0/000 to 4/000 km in Papadahandi Block",Executive Engineer,Internal,"Estimator,DAO,EE",Shiba Sankar Mohanta,12-Dec-2025 03:46 PM,finsummary_555170.pdf (979.16 KB),Executive Engineer,Internal,"Estimator,DAO,EE",Jay Prakash Soren,20-Nov-2025 09:27 AM,21-Nov-2025 04:00 PM,techsummary_555170.pdf (362.58 KB),Finance,Financial bid opening,Shiba Sankar Mohanta,12-Dec-2025 12:46 PM,finance_555170.pdf,BOQ Comparative Chart,1,3133185,AJAY MALLICK,17-Oct-2025 08:30 PM,Rejected-AOC,Disqualified in transparent lottery,19-Dec-2025 05:59 PM,19-Dec-2025,"INR 5,084,976",60.0,Jay Prakash Soren,19-Dec-2025 05:58 PM,maidalpur.pdf (175.00 KB),AOC,1.0,Fee/PreQual/Technical,.pdf,License PAN Card GSTIN Affidavit and as per DTCN,"S/R to Maidalpur to Aunli Road such as SDBC, Berm Filling at Ch 0/000 to 4/000 km in Papadahandi Block","S/R to Maidalpur to Aunli Road such as SDBC, Berm Filling at Ch 0/000 to 4/000 km in Papadahandi Block",Please refer to Tender documents ,NA ,"50,84,976",Civil Works - Roads,NA ,Tender,90.0,60.0,Papadahandi,764071.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, NAWARANGPUR",No ,No,1.0,date modification,Date,,CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-NAWARANGAPUR,EERWNGP Online 06 2025 26,2025_CERWI_119154_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"50,850",Yes,percentage,1.0%,Nil,Nil,Executive Engineer,"RURAL WORKS DIVISION-I, NAWARANGPUR",1.0,ICICI BANK,"10,000",0.0,Nil,Nil,No,10-Oct-2025 10:00 AM,22-Oct-2025 11:00 AM,10-Oct-2025 10:00 AM,20-Oct-2025 03:00 PM,10-Oct-2025 10:00 AM ,20-Oct-2025 03:00 PM ,10-Oct-2025 10:00 AM,20-Oct-2025 03:00 PM,21-Nov-2025 04:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3133444,AJBAL BHATRA,17-Oct-2025 11:15 PM,Rejected-AOC,Disqualified in transparent lottery,19-Dec-2025 05:59 PM,,,,,,,AOC,,,.pdf,Required machinery as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3136291,AMIT KUMAR PADHY,19-Oct-2025 05:45 PM,Rejected-AOC,Disqualified in transparent lottery,19-Dec-2025 05:59 PM,,,,,,,AOC,2.0,Finance,.xls,Boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3136622,BANAMALI BISOI,19-Oct-2025 10:41 PM,Rejected-AOC,Disqualified in transparent lottery,19-Dec-2025 05:59 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3132323,BEDA PRAKASH MISHRA,17-Oct-2025 12:37 PM,Accepted-AOC,Awarded of Contract,19-Dec-2025 05:59 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3137726,BISHNU PRASAD MOHAPATRA,20-Oct-2025 12:55 PM,Rejected-AOC,Disqualified in transparent lottery,19-Dec-2025 05:59 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3130592,B OMKAR,16-Oct-2025 10:43 AM,Rejected-AOC,Disqualified in transparent lottery,19-Dec-2025 05:59 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3132623,BUDURAM NAYAK,17-Oct-2025 03:26 PM,Rejected-AOC,Disqualified in transparent lottery,19-Dec-2025 05:59 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3135295,Ganesh Patra,19-Oct-2025 11:27 AM,Rejected-AOC,Disqualified in transparent lottery,19-Dec-2025 05:59 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3128068,Geeta Rani Patro,15-Oct-2025 10:49 AM,Rejected-AOC,Disqualified in transparent lottery,19-Dec-2025 05:59 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3134257,HITESH KUMAR SHARMA,19-Oct-2025 06:42 PM,Rejected-AOC,Disqualified in transparent lottery,19-Dec-2025 05:59 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3134689,J. Raja,18-Oct-2025 03:22 PM,Rejected-AOC,Disqualified in transparent lottery,19-Dec-2025 05:59 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,3130728,KHIRASINDHU HARIJAN,16-Oct-2025 11:45 AM,Rejected-AOC,Disqualified in transparent lottery,19-Dec-2025 05:59 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,3131154,MAHAMMAD JAFFAR KADRIYA,17-Oct-2025 09:33 PM,Rejected-AOC,Disqualified in transparent lottery,19-Dec-2025 05:59 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3129879,MAHENDRA KUMAR BISOYI,17-Oct-2025 02:54 PM,Rejected-AOC,Disqualified in transparent lottery,19-Dec-2025 05:59 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,3130097,MANI KUMAR DALAI,17-Oct-2025 09:04 PM,Rejected-AOC,Disqualified in transparent lottery,19-Dec-2025 05:59 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,3137196,MANISA JENA,20-Oct-2025 03:02 AM,Rejected-AOC,Disqualified in transparent lottery,19-Dec-2025 05:59 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,3131371,MANOJ KUMAR AGRAWAL,16-Oct-2025 05:47 PM,Rejected-AOC,Disqualified in transparent lottery,19-Dec-2025 05:59 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,3135556,MOHAMMAD MOIN,19-Oct-2025 12:42 PM,Rejected-AOC,Disqualified in transparent lottery,19-Dec-2025 05:59 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,3133706,M/s Rameswar Mohapatra,18-Oct-2025 01:13 PM,Rejected-AOC,Disqualified in transparent lottery,19-Dec-2025 05:59 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,3137079,MS RAZA BOREWELLS PROP ASFAK AHMAD,20-Oct-2025 01:05 PM,Rejected-AOC,Disqualified in transparent lottery,19-Dec-2025 05:59 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
