S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No.1,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,2486924.0,GVV CONSTRUCTIONS PRIVATE LIMITED,INR,"665,442,155",Technical,The Technical bid documents of the above bidders have been downloaded successfully from website,Ramakanta Mohapatra,12-Apr-2024 02:22 PM,technical_497016.pdf,"CE-BM,BSB Basin,Laxmiposi",2024_CEBML_101920_1,"50/ 23-24 of CEBM, SBB, Laxmiposi","A. Construction of Rupsa Distributary including all minor and sub minor from RD 2930M to RD 7950 M with all structure , C.C Lining and service road .",Smt Anu Garg,External,"Er CS Padhi, Er. BK Samal, Er. L Gouda, Er CR Bhuyan, Mr. N R Panda, A Mahanti, M Dash",Chitta Ranjan Bhuyan,25-Aug-2025 05:57 PM,finsummary_497016.pdf (2497.48 KB),Smt Anu Garg Additional Chief Secretary to Govt DOWR,External,Er L Gouda Er C S Padhi Mr. N R Panda MR M Das Mr B Mallick Er B K Samal Er R K Mohapatra,Ramakanta Mohapatra,01-Nov-2024 12:29 PM,01-Nov-2024 12:45 PM,techsummary_497016.pdf (3399.89 KB),Finance,The financial bid documents of the above bidders have been downloaded successfully from website.,Ramakanta Mohapatra,02-Nov-2024 05:21 PM,finance_497016.pdf,BOQ Comparative Chart,01-Nov-2025,"INR 665,442,155",913.0,Chitta Ranjan Bhuyan,19-Dec-2025 05:11 PM,RupsaRD2930mtoRD7950m.pdf (1196.00 KB),"The work is awarded to M/s GVV Construction PVT LTD vide Letter No. 4648/WE dt.15.10.25 of SE, BCD, Laxmiposi.",1,2486924,GVV CONSTRUCTIONS PRIVATE LIMITED,27-Mar-2024 03:03 PM,Accepted-AOC,Awarded,19-Dec-2025 05:12 PM,AOC,1.0,Corrigendum No.3,Date,,1.0,Fee/PreQual/Technical,.pdf,"EMD, GST, PAN, Contractors R.C., Affidavit, no relationship with Department","A. Construction of Rupsa Distributary including all minor and sub minor from RD 2930M to RD 7950 M with all structure , C.C Lining and service road .","A. Construction of Rupsa Distributary including all minor and sub minor from RD 2930M to RD 7950 M with all structure , C.C Lining and service road .",As per Technical bid  ,NA ,"78,27,81,031",Civil Works - Canal,NA ,Tender,90.0,913.0,Betnoti Block,757025.0,"Office of the CE and BM, S and B Basin, Laxmiposi ","Office of the CE and BM, S and B Basin, Laxmiposi ",12-Mar-2024 11:30 AM ,"Office of the CE and BM, S and B Basin, Laxmiposi",No ,No,"78,28,000",Yes,fixed,,"SE,Baisinga Canal Division,Laxmiposi","SE,Baisinga Canal Division,Laxmiposi","CE and BM, S and B Basin, Laxmiposi","Office of the CE and BM, S and B Basin, Laxmiposi",1.0,ICICI BANK,"10,000",0.0,"SE,Baisinga Canal Division,Laxmiposi","SE,Baisinga Canal Division,Laxmiposi",No,28-Feb-2024 04:30 PM,03-Apr-2024 11:00 AM,28-Feb-2024 04:30 PM,27-Mar-2024 05:00 PM,28-Feb-2024 04:30 PM ,09-Mar-2024 05:00 PM ,28-Feb-2024 04:45 PM,27-Mar-2024 05:00 PM,01-Nov-2024 12:45 PM,"CE-BM,BSB Basin,Laxmiposi","50/ 23-24 of CEBM, SBB, Laxmiposi",2024_CEBML_101920_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Both(Online/Offline),No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2487279,LCC PROJECTS PRIVATE LIMITED,27-Mar-2024 04:30 PM,Rejected-Technical,"As per approval of Technical bid Lr No.27865 dt.09.10.2024 of Govt of Odisha, DoWR",01-Nov-2024 12:29 PM,AOC,2.0,Corrigendum No.1,Fee,,,,.pdf,Any other documents as per DTCN.,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2485203,LORDS INFRACON PRIVATE LIMITED,27-Mar-2024 06:06 AM,Rejected-Technical,"As per approval of Technical bid Lr No.27865 dt.09.10.2024 of Govt of Odisha, DoWR",01-Nov-2024 12:29 PM,AOC,3.0,Corrigendum No.2,Other,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2476671,MACKINTOSH BURN LIMITED,22-Mar-2024 07:44 PM,Rejected-Technical,"As per approval of Technical bid Lr No.27865 dt.09.10.2024 of Govt of Odisha, DoWR",01-Nov-2024 12:29 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2484787,MEHUL GEO PROJECTS LLP,27-Mar-2024 04:42 PM,Rejected-Technical,"As per approval of Technical bid Lr No.27865 dt.09.10.2024 of Govt of Odisha, DoWR",01-Nov-2024 12:29 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2472814,M/S BMT Profile,18-Mar-2024 11:22 AM,Rejected-Finance,As per approval of financial bid,25-Aug-2025 05:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2484693,M S H M CONSTRUCTION,25-Mar-2024 05:53 PM,Rejected-Finance,As per approval of financial bid,25-Aug-2025 05:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2485696,SARALA PROJECT WORKS PVT. LTD.,27-Mar-2024 04:40 PM,Rejected-Technical,"As per approval of Technical bid Lr No.27865 dt.09.10.2024 of Govt of Odisha, DoWR",01-Nov-2024 12:29 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2484933,SHIVAJYOTI CONPRO PVT. LTD.,27-Mar-2024 01:41 PM,Rejected-Finance,As per approval of financial bid,25-Aug-2025 05:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2486691,VELJI RATNA SORATHIA INFRA PVT. LTD,27-Mar-2024 02:13 PM,Rejected-Finance,As per approval of financial bid,25-Aug-2025 05:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
