S.No,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"RC, PAN, GSTIN, AFFIDAVIT, EMD, PAPER COST, NO RELATION CERTIFICATE AND OTHER DOCUMENTS AS PER DTCN",Orissa Lift Irrigation Corporation||LI Western Circle Bhawanipatna||LI Division Bolangir,OLIC-BLGR-02/2025-26,2025_OLIC_120040_7,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,27-Oct-2025 11:00 AM,04-Nov-2025 11:00 AM,27-Oct-2025 11:00 AM,03-Nov-2025 05:00 PM,27-Oct-2025 11:00 AM ,01-Nov-2025 05:00 PM ,27-Oct-2025 11:00 AM,03-Nov-2025 05:00 PM,"11,800",0.0,Nil,Nil,No,"1,25,900",Yes,percentage,1.0%,Nil,Nil,"Installation and energisation of Bhuanpada-IV, Kendupadar-V and Pendimunda-VIII L.I.Projects under Gudvella Block","Installation and energisation of Bhuanpada-IV, Kendupadar-V and Pendimunda-VIII L.I.Projects under Gudvella Block",Please refer Tender documents. ,NA ,"1,25,89,963",Civil Works - Lift Irrigation Schemes,NA ,Tender,90.0,120.0,BALANGIR,767002.0,NA ,NA ,NA ,"O/O. the E.E., L.I. Division, Balangir",No ,No,"E.E., L.I. Division, Balangir","O/o the E.E., L.I. Division, Balangir",AOC,1,3168501,ABANI PRAKASH MISHRA,30-Oct-2025 06:25 PM,Rejected-Finance,Unsuccess on Lottery System,27-Dec-2025 11:24 PM,27-Dec-2025,"INR 12,589,963.13",120.0,APARNA MISHRA,27-Dec-2025 11:29 PM,7.pdf (1199.00 KB),Success on Lottery System,EE,Internal,EE and others,APARNA MISHRA,27-Dec-2025 11:24 PM,finsummary_558140.pdf (204.39 KB),Finance,26 Nos. Bidders participated,APARNA MISHRA,26-Dec-2025 09:19 AM,,BOQ Comparative Chart,EE,Internal,EE and others,APARNA MISHRA,27-Dec-2025 11:17 PM,techsummary_558140.pdf (204.39 KB),1.0,3178263.0,MRUTYUNJAYA ROUT,INR,"10,702,728",Orissa Lift Irrigation Corporation||LI Western Circle Bhawanipatna||LI Division Bolangir,2025_OLIC_120040_7,OLIC-BLGR-02/2025-26,"Installation and energisation of Bhuanpada-IV, Kendupadar-V and Pendimunda-VIII L.I.Projects under Gudvella Block",AOC
2.0,ICICI NEFT/RTGS,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,3169580,ABHINANDAN PANDA,02-Nov-2025 11:20 AM,Not Admitted-Fee/PreQual/Technical/Finance,Others-Rejected due to the joint venture made for Kalahandi district,26-Dec-2025 09:19 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,3169880,Arihant Electricals and Engineers,02-Nov-2025 07:27 PM,Rejected-Finance,Unsuccess on Lottery System,27-Dec-2025 11:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,3171050,BIKASH KUMAR JAIN,02-Nov-2025 09:13 PM,Rejected-Finance,Unsuccess on Lottery System,27-Dec-2025 11:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,3173892,GITANJALI PADHAN,02-Nov-2025 01:16 PM,Rejected-Finance,Unsuccess on Lottery System,27-Dec-2025 11:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,3175474,Govind das sharma,03-Nov-2025 02:47 PM,Rejected-Finance,Unsuccess on Lottery System,27-Dec-2025 11:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,3168843,HAWAMA MEMON,01-Nov-2025 09:35 AM,Rejected-Finance,Unsuccess on Lottery System,27-Dec-2025 11:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,3167291,KAPIL KUMAR JAIN,31-Oct-2025 08:29 PM,Rejected-Finance,Unsuccess on Lottery System,27-Dec-2025 11:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,3169471,KARAN JAIN,01-Nov-2025 01:38 PM,Not Admitted-Fee/PreQual/Technical/Finance,Others-Rejected as confirmed from M/s. S.K.Engineering regarding genuineness of joint ventures I,26-Dec-2025 09:19 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,3158032,KUBER CONSTRUCTION CO,30-Oct-2025 05:46 PM,Rejected-Finance,Unsuccess on Lottery System,27-Dec-2025 11:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,11,3178263,MRUTYUNJAYA ROUT,03-Nov-2025 04:56 PM,Accepted-AOC,Success on Lottery System,27-Dec-2025 11:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,12,3169436,M/S DILIP KUMAR SAHOO,03-Nov-2025 01:39 PM,Rejected-Finance,Unsuccess on Lottery System,27-Dec-2025 11:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
