S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,ICICI BANK,"6,000",0.0,Nil,Nil,No,24-Oct-2025 09:00 AM,31-Oct-2025 09:00 AM,24-Oct-2025 09:00 AM,30-Oct-2025 09:00 AM,24-Oct-2025 09:00 AM ,30-Oct-2025 09:00 AM ,24-Oct-2025 09:00 AM,30-Oct-2025 09:00 AM,"35,420",Yes,fixed,,Nil,Nil,CE RW I||RW-CIRCLE-SUNDARGARH||RW-Division-Sundargarh II,Online-EERKL-09 of 2025-26,2025_CERWI_119936_32,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Affidavit, PAN Card, GSTN, Registration Certificate and other documents as per DTCN.",Repair to Bridge over Chhinda Nallahat on Dandapani to Jarkama road for the year 2025-26,Repair to Bridge over Chhinda Nallahat on Dandapani to Jarkama road for the year 2025-26,Please refer Tender documents. ,NA ,"35,41,656",Civil Works - Roads,NA ,Tender,90.0,30.0,ROURKELA,769004.0,NA ,NA ,NA ,"Office of the Executive Engineer,RW Division,Rourk",No ,No,"Ececutive Engineer, RW Division,Rourkela","Office of the Executive Engineer,RW Division,Rourk",AOC,EE/ DAO/ Estimator,Internal,EE/ DAO/ Estimator,Dasharathi Sethy,20-Dec-2025 06:31 PM,techsummary_557879.pdf (259.59 KB),EE/ DAO/ Estimator,Internal,EE/ DAO/ Estimator,Dasharathi Sethy,20-Dec-2025 06:33 PM,finsummary_557879.pdf (259.59 KB),Finance,3 Bidders Applied,Dasharathi Sethy,20-Dec-2025 06:29 PM,,BOQ Comparative Chart,20-Dec-2025,"INR 3,010,762",30.0,Dasharathi Sethy,20-Dec-2025 06:38 PM,42.pdf (260.00 KB),Awarded Cost,1,3160645,AMIT KUMAR KESHARI,27-Oct-2025 06:08 PM,Accepted-AOC,Awarded,20-Dec-2025 06:38 PM,CE RW I||RW-CIRCLE-SUNDARGARH||RW-Division-Sundargarh II,2025_CERWI_119936_32,Online-EERKL-09 of 2025-26,Repair to Bridge over Chhinda Nallahat on Dandapani to Jarkama road for the year 2025-26,1.0,3160645.0,AMIT KUMAR KESHARI,INR,"3,010,762",AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,2,3163130,GOPAL TOPPO,29-Oct-2025 11:40 AM,Rejected-AOC,Rejected by the Committee,20-Dec-2025 06:38 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,3,3165265,RAHUL KESHRI,29-Oct-2025 09:28 AM,Rejected-AOC,Rejected by the Committee,20-Dec-2025 06:38 PM,,,,,,,,,,AOC
