S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage
1.0,3133118.0,KAILASH CHANDRA PANDA,INR,"6,843,455.14",Executive Engineer Kandhamal Irrigation Division Phulbani,Internal,,Kuturu Kisan,07-Nov-2025 07:45 PM,finsummary_553486.pdf (1834.21 KB),"CE-BM, Tel Basin,Bhawanipatna||SE Balangir Irr Circle Balangir||EE Kandhamal Irr Division Phulbani",2025_CEBMT_118346_1,"EE,KID-03/2025-26",Improvement to Right Main Canal Road in between RD 00M to RD 2600M of Pillasalki Irrigation Project under Kandhamal Irrigation Division Phulbani.,Technical,All 55 Nos Bid Admitted and all 55 Nos Bid Submitted,Kuturu Kisan,22-Oct-2025 12:57 PM,,Finance,Out of 54 No Bidders All 54 No Bidders have Qualified to enter into the lottery system having Quoted 14.99 percent less than the tender amount,Kuturu Kisan,07-Nov-2025 08:47 AM,finance_553486.pdf,BOQ Comparative Chart,Executive Engineer Kandhamal Irrigation Division Phulbani,Internal,,Kuturu Kisan,01-Nov-2025 04:30 PM,01-Nov-2025 04:40 PM,techsummary_553486.pdf (1884.89 KB),21-Nov-2025,"INR 6,843,455.14",120.0,Kuturu Kisan,01-Dec-2025 08:40 PM,AOCKailash.pdf (1370.00 KB),1,3134071,ANIL KUMAR PRADHAN,18-Oct-2025 12:22 PM,Rejected-AOC,Rejected,01-Dec-2025 08:42 PM,AOC,1.0,ICICI BANK,04-Oct-2025 10:00 AM,20-Oct-2025 11:00 AM,04-Oct-2025 10:00 AM,18-Oct-2025 05:30 PM,04-Oct-2025 10:00 AM ,11-Oct-2025 05:30 PM ,04-Oct-2025 10:00 AM,18-Oct-2025 05:30 PM,01-Nov-2025 04:40 PM,"10,000",0.0,Nil,Nil,No,"80,502",Yes,fixed,,Nil,Nil,"Executive Engineer, KID Phulbani","O/o the Executive Engineer, Kandhamal Irrigation Division Phulbani",Improvement to Right Main Canal Road in between RD 00M to RD 2600M of Pillasalki Irrigation Project under Kandhamal Irrigation Division Phulbani.,Improvement to Right Main Canal Road in between RD 00M to RD 2600M of Pillasalki Irrigation Project under Kandhamal Irrigation Division Phulbani.,Please refer Tender documents. ,NA ,"80,50,177",Civil Works - Roads,NA ,Tender,90.0,120.0,Phulbani,762001.0,NA ,NA ,NA ,"O/o the EE,KID Phulbani",No ,No,"CE-BM, Tel Basin,Bhawanipatna||SE Balangir Irr Circle Balangir||EE Kandhamal Irr Division Phulbani","EE,KID-03/2025-26",2025_CEBMT_118346_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"Tender Cost, GST, PAN, Contractor RC, NRC, Affidavits",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3133859,ARUPANANDA MAHAPATRA,18-Oct-2025 11:06 AM,Rejected-AOC,Rejected,01-Dec-2025 08:42 PM,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3132356,Ashok Kumar Behera,17-Oct-2025 02:33 PM,Rejected-AOC,Rejected,01-Dec-2025 08:42 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3128054,ASMIT KUMAR PADHY,14-Oct-2025 05:25 PM,Rejected-AOC,Rejected,01-Dec-2025 08:42 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3122913,ASUTOSH BHATTA,11-Oct-2025 12:27 AM,Rejected-AOC,Rejected,01-Dec-2025 08:42 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3133635,BIPLAB KESHARI SWAIN,18-Oct-2025 02:13 AM,Rejected-AOC,Rejected,01-Dec-2025 08:42 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3133644,Biren Kumar Pradhan,18-Oct-2025 02:23 AM,Rejected-AOC,Rejected,01-Dec-2025 08:42 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3134077,BISWAJEET PATTANAYAK,18-Oct-2025 12:15 PM,Rejected-AOC,Rejected,01-Dec-2025 08:42 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3133654,BISWAJIT PRADHAN,18-Oct-2025 02:34 AM,Rejected-AOC,Rejected,01-Dec-2025 08:42 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3130799,BISWAJIT SAHU,16-Oct-2025 12:16 PM,Rejected-AOC,Rejected,01-Dec-2025 08:42 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
