S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage
1.0,3123051.0,PRAMOD KUMAR DASH,INR,"214,295",Finance,Tender will be finalized after downloaded Bid documents scrutinized,Sudipta Senapati,02-Dec-2025 06:39 PM,finance_554642.pdf,BOQ Comparative Chart,"S.E, R.W.D-II, Ganjam, Berhampur",Internal,"Divisional Accounts Officer, Junior Engineer Estimator",Sudipta Senapati,04-Dec-2025 04:32 PM,finsummary_554642.pdf (2271.97 KB),CE RW I||RWCIRCLE-BERHAMPUR||RWDIVISION-GANJAM - II,2025_CERWI_118954_1,online07SERWDII2526,SR to E type Qtr Building at RW Sub division Hinjili,"S.E, R.W.D-II, Ganjam, Berhampur",Internal,"Divisional Accounts Officer, Junior Engineer Estimator",Sudipta Senapati,04-Dec-2025 04:27 PM,techsummary_554642.pdf (1026.21 KB),1,3125220,BAIJAYANTI SWAIN,14-Oct-2025 10:14 AM,Rejected-AOC,Unsuccessful Bidder,04-Dec-2025 04:36 PM,04-Dec-2025,"INR 214,295",30.0,Sudipta Senapati,04-Dec-2025 04:36 PM,3EtypeqtrHinjiliWO.pdf (858.00 KB),Work Order,AOC,CE RW I||RWCIRCLE-BERHAMPUR||RWDIVISION-GANJAM - II,online07SERWDII2526,2025_CERWI_118954_1,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,04-Oct-2025 01:00 PM,14-Oct-2025 05:00 PM,04-Oct-2025 01:00 PM,14-Oct-2025 04:00 PM,04-Oct-2025 01:00 PM ,13-Oct-2025 05:00 PM ,04-Oct-2025 01:00 PM,14-Oct-2025 04:00 PM,"2,600",Yes,fixed,,Nil,Nil,"Superintending Engineer RWD-II, GJM, BAM","O/o the Superintending Engineer Rural Works Division-II, Ganjam, Berhampur","2,000",0.0,Nil,Nil,No,SR to E type Qtr Building at RW Sub division Hinjili,SR to E type Qtr Building at RW Sub division Hinjili,NA ,NA ,"2,52,082",Civil Works - Buildings,NA ,Tender,90.0,30.0,Berhampur,760012.0,NA ,NA ,NA ,"O/o the S.E R.W.D-II, Ganjam, Berhampur",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Affidavit GSTIN PAN RC boq and other papers as per DTCN,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3121147,BIGHNESWAR PADHY,09-Oct-2025 10:41 PM,Rejected-AOC,Unsuccessful Bidder,04-Dec-2025 04:36 PM,,,,,,,,AOC,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Boq,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3124141,BINOD KUMAR PADHEE,12-Oct-2025 12:56 PM,Rejected-AOC,Unsuccessful Bidder,04-Dec-2025 04:36 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3125693,JYOSHNA RANI SAHU,13-Oct-2025 01:37 PM,Rejected-AOC,Unsuccessful Bidder,04-Dec-2025 04:36 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3127506,MANTU BEHERA,14-Oct-2025 12:39 PM,Rejected-AOC,Unsuccessful Bidder,04-Dec-2025 04:36 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3123659,PANDABA PRADHAN,11-Oct-2025 07:39 PM,Rejected-AOC,Unsuccessful Bidder,04-Dec-2025 04:36 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3121779,Pradeep Kumar Sahu,10-Oct-2025 12:35 PM,Rejected-AOC,Unsuccessful Bidder,04-Dec-2025 04:36 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3122666,Prafulla Chandra Sahu,10-Oct-2025 06:37 PM,Rejected-AOC,Unsuccessful Bidder,04-Dec-2025 04:36 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3123051,PRAMOD KUMAR DASH,11-Oct-2025 01:31 PM,Accepted-AOC,Successful Bidder in Lottery,04-Dec-2025 04:36 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3127488,Ranjan Swain,14-Oct-2025 12:33 PM,Rejected-AOC,Unsuccessful Bidder,04-Dec-2025 04:36 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
