EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
"3,36,009",Yes,percentage,1.0%,Nil,Nil,C.C.E.R.W. Circle Cuttack,C.C.E.R.W. Circle Cuttack,1.0,Fee/PreQual/Technical,.pdf,"Tender Paper Cost, EMD, GSTIN, RC, PAN, Registration Certificate, Labor License, No Relationship",CE RW I||RWCIRCLE-CUTTACK,Tender Online RWC-18-25,2025_CERWI_118175_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,18-Sep-2025 11:30 AM,25-Sep-2025 11:30 AM,18-Sep-2025 11:30 AM,24-Sep-2025 05:00 PM,18-Sep-2025 11:30 AM ,24-Sep-2025 02:00 PM ,18-Sep-2025 11:30 AM,24-Sep-2025 05:00 PM,10-Oct-2025 05:30 PM,1.0,ICICI BANK,Construction of road from Ratapat to Dasarathipur Ratapat PWD road Sarala sahi to Dudhiabereni road in the dist of Cuttack for the year 2025-26,Construction of road from Ratapat to Dasarathipur Ratapat PWD road Sarala sahi to Dudhiabereni road in the dist of Cuttack for the year 2025-26,Please refer Tender documents. ,NA ,"3,36,00,945",Civil Works - Roads,NA ,Tender,90.0,270.0,Cuttack,753004.0,NA ,NA ,NA ,C.C.E.R.W. Circle Cuttack,No ,No,"10,000",0.0,Nil,Nil,No,AOC,C.C.E.R.W.Circle Cuttack,Internal,"EERW Division-II,Jspur DAO RW Division-II, Cuttack PA to CCE",Usharani Behera,12-Dec-2025 01:27 PM,finsummary_552935.pdf (394.72 KB),Technical,2 nos,Ajay Kumar Behera,25-Sep-2025 03:36 PM,,CE RW I||RWCIRCLE-CUTTACK,2025_CERWI_118175_1,Tender Online RWC-18-25,Construction of road from Ratapat to Dasarathipur Ratapat PWD road Sarala sahi to Dudhiabereni road in the dist of Cuttack for the year 2025-26,1.0,3096893.0,MATRUDATTA DAS,INR,"35,264,192",1.0,3096893.0,MATRUDATTA DAS,23-Sep-2025 08:00 PM,Accepted-AOC,Agmt drawn,12-Dec-2025 01:29 PM,12-Dec-2025,"INR 35,264,192",270.0,Usharani Behera,12-Dec-2025 01:29 PM,agmtd.pdf (197.00 KB),Agmt drawn,Finance,total 2 nos document downloaded,Usharani Behera,25-Oct-2025 12:58 PM,,BOQ Comparative Chart,C.C.E.R.W.Circle Cuttack,Internal,EE RW Division-II Cuttack DAO RW Division Cuttack PA to CCE,Ajay Kumar Behera,09-Oct-2025 01:41 PM,10-Oct-2025 05:30 PM,techsummary_552935.pdf (290.28 KB),AOC
,,,,,,,,,,.pdf,"Affidavit of Correctness Certificate undertaking duly filled, all affidavits",,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2.0,3098471.0,SUBHASHKUMAR S JENA,24-Sep-2025 01:16 PM,Rejected-Finance,Unsucessful bidder,12-Dec-2025 01:27 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,.pdf,"A.T.O from CA, Similar Nature of Work Experience Certificate, Work in Hand checklist machineries as",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
