Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Repair and restoration of road from Housing board colony to Vyasanagar Public school in ward No 16,Repair and restoration of road from Housing board colony to Vyasanagar Public school in ward No 16,Please refer Tender documents. ,NA ,"3,14,027",Civil Works - Others,NA ,Tender,30.0,30.0,VYASANAGAR MUNICIPALITY,755019.0,NA ,NA ,NA ,EXECUTIVE OFFICER CHAMMBER VYASANAGAR MUNICIPALITY,No ,No,1.0,ICICI BANK,15-Sep-2025 10:00 AM,03-Oct-2025 11:00 AM,15-Sep-2025 10:00 AM,26-Sep-2025 05:00 PM,NA ,NA ,15-Sep-2025 10:00 AM,26-Sep-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,"3,140",Yes,fixed,,Nil,Nil,EXECUTIVE OFFICER,vyasanagar Municipality,Municipal Bodies||Vyasanagar Municipality,2/VNM/2025-26,2025_ORULB_117995_69,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"2,000",0.0,Nil,Nil,No,AOC,Eo,Internal,"me,je,accountant",Manas Ranjan Sahoo,20-Dec-2025 12:27 PM,techsummary_552434.pdf (407.65 KB),Eo,Internal,"me,je,accountant",Manas Ranjan Sahoo,20-Dec-2025 12:31 PM,finsummary_552434.pdf (407.65 KB),Finance,ok,Manas Ranjan Sahoo,20-Dec-2025 12:24 PM,finance_552434.pdf,BOQ Comparative Chart,1.0,3100920.0,SAROJ KUMAR NAYAK,INR,"313,982.97",Municipal Bodies||Vyasanagar Municipality,2025_ORULB_117995_69,2/VNM/2025-26,Repair and restoration of road from Housing board colony to Vyasanagar Public school in ward No 16,1.0,3099408.0,M/S NARAYAN OJHA,24-Sep-2025 08:51 PM,Rejected-Finance,due to l2,20-Dec-2025 12:31 PM,20-Dec-2025,"INR 313,982.97",30.0,Manas Ranjan Sahoo,20-Dec-2025 12:35 PM,workod.pdf (355.00 KB),due to l1,AOC
,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,.pdf,NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3100920.0,SAROJ KUMAR NAYAK,26-Sep-2025 01:21 PM,Accepted-AOC,due to l1,20-Dec-2025 12:35 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
