Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.2,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Finance,15nos bids received,Mohammed Shahbaz,22-Aug-2025 05:22 PM,,BOQ Comparative Chart,1.0,Revocation,Revocation,22-Aug-2025 05:09 PM,116114_12_T.pdf ,1000.06,Technical Opening,07-Dec-2025,"INR 2,622,931",30.0,Mohammed Shahbaz,07-Dec-2025 05:49 PM,116114_12_A.pdf (395.00 KB),The agency has been finalised on transparent lottery system and the date of commencement may be treated as 18.09.2025 to complete the work by 17.10.2025 in all respect,1,3026701,AKS MINING INFRACON,08-Aug-2025 12:45 PM,Rejected-Technical,Disqualified due to non submission of Schedule-A in proper format,22-Aug-2025 05:26 PM,EIC-CIVIL||SERNB-CIRCLE-CUTTACK||EERNB-DIVN-CUTTACK,2025_EICCL_116114_12,SE CTC (RandB)-22 of 2025-26,"S/R to Cuttack City Internal Road from OMP Squre to Biju Pattnaik Chhak via Howrah Motor Chhak, Cuttack for the year 2025-26 (such as Providing BM and SDBC in patches)(1600.00mtr)",1.0,3028558.0,Suroja Kumar Pradhan,INR,"2,622,931",Er Md Shahbaz SE,Internal,Er Nirupama Sahoo AE Estr Er Amiya Ranjan Sinha EE(OSD) Mr N Srinibas Sr DAO,Mohammed Shahbaz,22-Aug-2025 05:26 PM,techsummary_547482.pdf (1015.48 KB),Er. Md Shahbaz SE,Internal,Er Nirupama Sahoo AE Estr Er Amiya Ranjan Sinha EE(OSD) Mr N Srinibash Sr DAO,Mohammed Shahbaz,07-Dec-2025 05:45 PM,finsummary_547482.pdf (971.03 KB),AOC,25-Jul-2025 05:00 PM,11-Aug-2025 11:00 AM,25-Jul-2025 05:00 PM,08-Aug-2025 05:00 PM,NA ,NA ,25-Jul-2025 05:00 PM,08-Aug-2025 05:00 PM,"30,900",Yes,fixed,,Nil,Nil,"S/R to Cuttack City Internal Road from OMP Squre to Biju Pattnaik Chhak via Howrah Motor Chhak, Cuttack for the year 2025-26 (such as Providing BM and SDBC in patches)(1600.00mtr)",Road work,As per DTCN ,NA ,"30,85,438",Civil Works - Roads,NA ,Tender,90.0,30.0,Cuttack,753001.0,NA ,NA ,NA ,O/O SE Cuttack RandB Division No.I Cuttack,No ,No,SE Cuttack RandB Division No.I,O/O SE Cuttack RandB Division No.I Cuttack,1.0,Fee/PreQual/Technical/Finance,.pdf,"Regd Certificate, GSTIN, PAN, Affidavit and other mandatory documents as per DTCN",1.0,ICICI BANK,EIC-CIVIL||SERNB-CIRCLE-CUTTACK||EERNB-DIVN-CUTTACK,SE CTC (RandB)-22 of 2025-26,2025_EICCL_116114_12,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,2,3022204,AMITABH SWAIN,03-Aug-2025 12:56 PM,Rejected-AOC,Rejected,07-Dec-2025 05:49 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantities,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,3,3020425,AMIYA SAMANTRAY,07-Aug-2025 12:50 PM,Rejected-AOC,Rejected,07-Dec-2025 05:49 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,4,3028777,BIJAY KUMAR PARIDA,08-Aug-2025 04:46 PM,Rejected-AOC,Rejected,07-Dec-2025 05:49 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,5,3023774,Ganesh Chandra Swain,04-Aug-2025 09:10 PM,Rejected-AOC,Rejected,07-Dec-2025 05:49 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,6,3027792,"GANGADHAR PRADHAN,PROP.-PRADHAN GENERAL SUPPLIER",07-Aug-2025 09:38 PM,Rejected-AOC,Rejected,07-Dec-2025 05:49 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,7,3026481,ITISHREE MOHANTY,06-Aug-2025 11:49 PM,Rejected-AOC,Rejected,07-Dec-2025 05:49 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,8,3027702,"MANAS KUMAR PRADHAN,PROP.-MAA HINGULA STONE SUPPLIER",07-Aug-2025 08:19 PM,Rejected-AOC,Rejected,07-Dec-2025 05:49 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,9,3027807,PRATIKSHYA PRIYADARSINI ROUT,07-Aug-2025 10:06 PM,Rejected-Technical,Disqualified due to non submission of Schedule-F in format,22-Aug-2025 05:26 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,10,3028586,SAMIR PRASAD SETHI,08-Aug-2025 02:47 PM,Rejected-AOC,Rejected,07-Dec-2025 05:49 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
