Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Corrigendum Title,Corrigendum Type,View,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
"CE,Minor Irrigation,BBSR||SEKBKMIC-BHAWANIPATNA||KALAHANDI",SE MID BPT 05/2025-26 (Double Cover),2025_CEMIB_121579_6,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"License, GSTIN, PAN, Affidavit, EMDs, Paper cost, no relation certificate etc as per DTCN","50,300",Yes,fixed,,Nil,Nil,20-Nov-2025 11:30 AM,01-Dec-2025 11:00 AM,20-Nov-2025 11:30 AM,29-Nov-2025 05:30 PM,20-Nov-2025 11:30 AM ,28-Nov-2025 05:00 PM ,20-Nov-2025 11:30 AM,29-Nov-2025 05:30 PM,05-Dec-2025 11:00 AM,"10,000",0.0,Nil,Nil,No,1.0,ICICI BANK,Sl 10 Construction of Bandhei Check Dam (KA-12-0136) over Local nalla near village Thapen in Narla Block of Kalahandi District under MATY Scheme for the year 2025-26,Construction of Bandhei Check Dam (KA-12-0136) over Local nalla near village Thapen in Narla Block of Kalahandi District under MATY Scheme for the year 2025-26,Please refer Tender documents. ,NA ,"50,26,304",Civil Works - Others,Check Dam ,Tender,90.0,180.0,Narla,766100.0,NA ,NA ,NA ,"O/o the SE, M.I. Division, Kalahandi, Bhawanipatna",No ,No,1.0,2nd Corrigendum,Date,,"SE, M.I. Division, Kalahandi, Bhawanipatna","O/o the SE, M.I. Division, Kalahandi, Bhawanipatna",AOC,Er Saroj Sha,Internal,"Lal Krishna Basta, DAO and Nituza Panna, AE (Estr.) are the committee member",SAROJ SHA,07-Dec-2025 07:24 PM,finsummary_565720.pdf (1214.93 KB),"CE,Minor Irrigation,BBSR||SEKBKMIC-BHAWANIPATNA||KALAHANDI",2025_CEMIB_121579_6,SE MID BPT 05/2025-26 (Double Cover),Sl 10 Construction of Bandhei Check Dam (KA-12-0136) over Local nalla near village Thapen in Narla Block of Kalahandi District under MATY Scheme for the year 2025-26,Technical,all bides are open time,NITUZA PANNA,03-Dec-2025 11:24 AM,technical_565720.pdf,1.0,3261668.0,MANIKYA JYOTI PANDA,INR,"4,272,860.85",16-Dec-2025,"INR 4,272,860.85",180.0,SAROJ SHA,20-Dec-2025 07:01 PM,10BandeiManjkya.pdf (271.00 KB),Manikyajyoti Panda is the Lottery winner AOC issued to him,1,3261843,ABHIJEET MANDAL,28-Nov-2025 08:32 AM,Rejected-AOC,Rejected by Lottery,20-Dec-2025 07:01 PM,Finance,all bids are open time,NITUZA PANNA,06-Dec-2025 01:30 PM,finance_565720.pdf,BOQ Comparative Chart,Er Saroj Sha,Internal,"Lal Krishna Basta, DAO and Nituza Panna, AE (Estr.) are the committee member",SAROJ SHA,04-Dec-2025 05:52 PM,05-Dec-2025 11:00 AM,techsummary_565720.pdf (690.49 KB),AOC
,,,,,,,,,,,,,,,,.pdf,Valid Mobile No and Email address Experience Certificate if any and Other documents as per DTCN,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,2.0,1st Corrigendum,Other,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3257342,ABHIMANYU NAIK,29-Nov-2025 06:46 AM,Rejected-AOC,Rejected by Lottery,20-Dec-2025 07:01 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3265025,ABHINANDAN PANDA,29-Nov-2025 10:07 AM,Rejected-AOC,Rejected by Lottery,20-Dec-2025 07:01 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3261090,ADITYA KUMAR PANDA,29-Nov-2025 08:15 AM,Rejected-AOC,Rejected by Lottery,20-Dec-2025 07:01 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3262424,AJAYA KUMAR BOHIDAR,28-Nov-2025 10:35 PM,Rejected-AOC,Rejected by Lottery,20-Dec-2025 07:01 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3265102,AJAY SUNANI,29-Nov-2025 03:05 AM,Rejected-AOC,Rejected by Lottery,20-Dec-2025 07:01 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3264759,ANIL KUMAR KEDIA,29-Nov-2025 07:09 AM,Rejected-AOC,Rejected by Lottery,20-Dec-2025 07:01 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3264352,ANJAN KUMAR BEHERA,29-Nov-2025 04:07 PM,Rejected-AOC,Rejected by Lottery,20-Dec-2025 07:01 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3258979,ANKIT KUMAR AGRAWAL,29-Nov-2025 12:20 AM,Rejected-AOC,Rejected by Lottery,20-Dec-2025 07:01 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3265416,Anup Kumar Pradhan,29-Nov-2025 08:19 AM,Rejected-AOC,Rejected by Lottery,20-Dec-2025 07:01 PM,,,,,,,,,,,,,,AOC
