S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Stage
1.0,3167237.0,Bigyan Ranjan Swain,INR,"1,700,875",Finance,ok,Nilakantha Kisan,13-Nov-2025 11:18 AM,finance_557139.pdf,BOQ Comparative Chart,Nimar Charan Panda,Internal,,Nilakantha Kisan,18-Dec-2025 04:40 PM,finsummary_557139.pdf (257.44 KB),Municipal Bodies||Belpahar Municipal Council,2025_ORULB_119779_3,EO/BPHM/03/25-26,Construction of Mission Shakti Gruha in Ward No.18,Nimai Charan Panda,Internal,,Nilakantha Kisan,13-Nov-2025 11:25 AM,techsummary_557139.pdf (256.55 KB),18-Dec-2025,"INR 1,401,963",150.0,Nilakantha Kisan,18-Dec-2025 04:46 PM,3.pdf (1891.00 KB),1,3169138,BIBHUTI PRASAD RANA,31-Oct-2025 10:19 AM,Rejected-Finance,L2,18-Dec-2025 04:40 PM,AOC,20-Oct-2025 10:00 AM,01-Nov-2025 11:00 AM,20-Oct-2025 10:00 AM,31-Oct-2025 05:00 PM,NA ,NA ,20-Oct-2025 10:00 AM,31-Oct-2025 05:00 PM,"6,000",0.0,Nil,Nil,No,"Executive Officer,Belpahar Municipality",At/Po-Belpahar Dist-Jharsuguda Odisha-768218,Construction of Mission Shakti Gruha in Ward No.18,Construction of Mission Shakti Gruha in Ward No.18,Please refer Tender documents. ,NA ,"20,00,000",Civil Works - Buildings,NA ,Tender,90.0,150.0,Belpahar Municipality,768218.0,NA ,NA ,NA ,Belpahar Municipality Office,No ,No,"20,000",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,Scanned copies of required documents as per DTCN,Municipal Bodies||Belpahar Municipal Council,EO/BPHM/03/25-26,2025_ORULB_119779_3,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3167237,Bigyan Ranjan Swain,31-Oct-2025 11:40 AM,Accepted-AOC,Tender finalised through transparent lottery system drawn among L1 bidders and winner of lottery,18-Dec-2025 04:46 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copies of online deposit receipt of EMD and cost of bid documents,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3145868,Chandan Kumar Bhol,23-Oct-2025 03:19 PM,Rejected-AOC,Not win the lottery,18-Dec-2025 04:46 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3166114,J. Rajendra Dora,29-Oct-2025 04:13 PM,Rejected-AOC,Not win the lottery,18-Dec-2025 04:46 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3169689,lalu kishan,31-Oct-2025 01:48 PM,Rejected-Finance,L3,18-Dec-2025 04:40 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3169117,M/S SASWAT ENTERPRISES,31-Oct-2025 09:37 AM,Rejected-AOC,Not win the lottery,18-Dec-2025 04:46 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3169121,PRIYANSHI CONSTRUCTION PROP PRAMOD KUMAR KHUNTIA,31-Oct-2025 02:04 PM,Rejected-AOC,Not win the lottery,18-Dec-2025 04:46 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3162475,RAMESH CHHACHAN,29-Oct-2025 10:52 AM,Rejected-Finance,L4,18-Dec-2025 04:40 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3169958,RANJIT KUMAR BISWAL,31-Oct-2025 03:41 PM,Rejected-AOC,Not win the lottery,18-Dec-2025 04:46 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3168791,SIDDHI VINAYAK CONSTRUCTIONS PROP-MANASI SAHU,30-Oct-2025 11:10 PM,Rejected-Finance,L5,18-Dec-2025 04:40 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
