Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
Orissa Lift Irrigation Corporation||LI Southern Circle Berhampur||LI Division Boudh,OLIC-BOUDH-16/2025-26/4256 DT-26.09.2025,2025_OLIC_119626_34,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"7,080",0.0,Nil,Nil,No,INSTALLATION AND ENERGISATION OF BADBAHAL-I LIFT IRRIGATION PROJECT UNDER KANTAMAL BLOCK IN BOUDH DISTRICT UNDER BKVY-RIDF,INSTALLATION AND ENERGISATION OF BADBAHAL-I LIFT IRRIGATION PROJECT UNDER KANTAMAL BLOCK IN BOUDH DISTRICT UNDER BKVY-RIDF,Please Tender Document DTCN ,NA ,"33,21,027",Civil Works - Lift Irrigation Schemes,River Lift ,Tender,365.0,120.0,BOUDH,762014.0,NA ,NA ,NA ,OFFICE OF EXECUTIVE ENGINEER L.I. DIVISION BOUDH,No ,No,EXECUTIVE ENGINEER L.I. DIVISION BOUDH,OFFICE OF EXECUTIVE ENGINEER L.I. DIVISION BOUDH,1.0,Fee/PreQual/Technical/Finance,.pdf,"TENDER COST, EMD, GST, PAN AND ALL OTHER DOCUMENTS AS PER DTCN","33,210",Yes,fixed,,Nil,Nil,20-Oct-2025 11:00 AM,30-Oct-2025 11:00 AM,20-Oct-2025 11:00 AM,29-Oct-2025 05:00 PM,20-Oct-2025 11:00 AM ,27-Oct-2025 05:00 PM ,20-Oct-2025 11:00 AM,29-Oct-2025 05:00 PM,1.0,ICICI BANK,AOC,"Executive Engineer,L.I.Division, Boudh",Internal,"Estimator, L.I. Division, Boudh, Assistant Accountant, L.I. Division, Boudh",Satya Narayan Rana,29-Dec-2025 11:25 AM,finsummary_556817.pdf (420.17 KB),Orissa Lift Irrigation Corporation||LI Southern Circle Berhampur||LI Division Boudh,2025_OLIC_119626_34,OLIC-BOUDH-16/2025-26/4256 DT-26.09.2025,INSTALLATION AND ENERGISATION OF BADBAHAL-I LIFT IRRIGATION PROJECT UNDER KANTAMAL BLOCK IN BOUDH DISTRICT UNDER BKVY-RIDF,1.0,3165996.0,M/s SHIVOM ELECTRICALS AND ENGINEERING,INR,"2,823,205.05",Finance,Seventeen nos of bidders have participated,Satya Narayan Rana,18-Nov-2025 01:09 PM,,BOQ Comparative Chart,1,3165889,ABAKASH KUDEI,29-Oct-2025 01:31 PM,Rejected-AOC,Reject,29-Dec-2025 11:31 AM,29-Dec-2025,"INR 3,331,382",120.0,Satya Narayan Rana,29-Dec-2025 11:31 AM,Package34.pdf (1127.00 KB),Awarded,"Executive Engineer,L.I.Division, Boudh",Internal,"Estimator, L.I. Division, Boudh, Assistant Accountant, L.I. Division, Boudh",Satya Narayan Rana,28-Dec-2025 12:14 PM,techsummary_556817.pdf (337.50 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,,,,2,3152135,ANTARYAMEE SAI,29-Oct-2025 09:12 AM,Rejected-AOC,Reject,29-Dec-2025 11:31 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,3157825,Dinesh kumar karna,29-Oct-2025 07:32 AM,Rejected-AOC,Reject,29-Dec-2025 11:31 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,3161121,MOHAMMED SALMAN,29-Oct-2025 05:32 AM,Rejected-AOC,Reject,29-Dec-2025 11:31 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,3162685,M/S SAI ELECTRICALS,28-Oct-2025 01:08 PM,Rejected-Finance,Rejected due to L2 Bidder,29-Dec-2025 11:25 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,3165996,M/s SHIVOM ELECTRICALS AND ENGINEERING,29-Oct-2025 04:39 PM,Accepted-AOC,Accept,29-Dec-2025 11:31 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,3154480,MS Shree Shyam and Co,27-Oct-2025 02:13 PM,Rejected-AOC,Reject,29-Dec-2025 11:31 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,3149768,RADHAKANTA MAHALIK,29-Oct-2025 12:55 AM,Rejected-AOC,Reject,29-Dec-2025 11:31 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,3164752,RENUKA HOTA,29-Oct-2025 02:43 AM,Rejected-AOC,Reject,29-Dec-2025 11:31 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,3163405,SAMBHU PRASAD AGRAWALLA,29-Oct-2025 02:06 AM,Rejected-AOC,Reject,29-Dec-2025 11:31 AM,,,,,,,,,,,,,,AOC
