Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
17-Oct-2025 10:00 AM,28-Oct-2025 11:30 AM,17-Oct-2025 10:00 AM,27-Oct-2025 05:00 PM,17-Oct-2025 10:00 AM ,27-Oct-2025 11:00 AM ,17-Oct-2025 10:00 AM,27-Oct-2025 05:00 PM,"6,000",0.0,Nil,Nil,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"RC,PAN,GST,NRC,AFFIDAVIT AND OTHER DOCUMENTS AS PER DTCN",CE RW I||RWCIRCLE-BHAWANIPATNA||RW Division Khariar,RWKHR02/2025-26,2025_CERWI_119580_27,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"14,291",Yes,percentage,1.0%,Nil,Nil,SUPERITENDING ENGINEER,O/O THE SERWD KHARIAR,Sr to Road from SH-16 Road to Anchalpur such as RCC slab culvert (1x2x2) and R.Wall in the district of Nuapada,Sr to Road from SH-16 Road to Anchalpur such as RCC slab culvert (1x2x2) and R.Wall in the district of Nuapada,Please refer Tender documents. ,NA ,"14,29,101",Civil Works - Roads,NA ,Tender,90.0,30.0,KHARIAR,766107.0,NA ,NA ,NA ,O/O THE SERWD KHARIAR,No ,No,AOC,Financial Evaluation,Internal,"SE, DAO, Estimator",Biswajit Rayaguru,27-Nov-2025 02:31 PM,finsummary_556566.pdf (554.72 KB),Technical Evaluation,Internal,"SE, DAO, Estimator",Biswajit Rayaguru,27-Nov-2025 02:26 PM,techsummary_556566.pdf (558.83 KB),1,3150658,ABHISHEK SARAF,25-Oct-2025 06:38 PM,Rejected-AOC,UNSUCESSFUL,20-Dec-2025 04:36 PM,CE RW I||RWCIRCLE-BHAWANIPATNA||RW Division Khariar,2025_CERWI_119580_27,RWKHR02/2025-26,Sr to Road from SH-16 Road to Anchalpur such as RCC slab culvert (1x2x2) and R.Wall in the district of Nuapada,1.0,3135609.0,RAJESWARI SINGHBABU,INR,"1,214,879",10-Dec-2025,"INR 1,214,879",30.0,Biswajit Rayaguru,20-Dec-2025 04:36 PM,26.pdf (936.00 KB),AOC,Finance,opening,Josef Tudu,20-Nov-2025 11:26 AM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,2,3147498,Achutanand Mund,24-Oct-2025 09:39 AM,Rejected-AOC,UNSUCESSFUL,20-Dec-2025 04:36 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,3,3158185,ALOK KABIR,27-Oct-2025 04:12 PM,Rejected-AOC,UNSUCESSFUL,20-Dec-2025 04:36 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,4,3158967,ANJANA MAHANA,27-Oct-2025 01:31 PM,Rejected-AOC,UNSUCESSFUL,20-Dec-2025 04:36 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,5,3160268,ASHISH KUMAR AGRAWAL,27-Oct-2025 04:57 PM,Rejected-AOC,UNSUCESSFUL,20-Dec-2025 04:36 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,6,3155763,BASANTA KUMAR DANDSENA,26-Oct-2025 07:37 PM,Rejected-AOC,UNSUCESSFUL,20-Dec-2025 04:36 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,7,3148978,BIBHUTI BHUSHAN BEHERA,24-Oct-2025 04:32 PM,Rejected-AOC,UNSUCESSFUL,20-Dec-2025 04:36 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,8,3156258,DHIBAR DHARUA,27-Oct-2025 04:55 PM,Rejected-AOC,UNSUCESSFUL,20-Dec-2025 04:36 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,9,3138778,DUSILA SAHU,20-Oct-2025 08:29 PM,Rejected-AOC,UNSUCESSFUL,20-Dec-2025 04:36 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,10,3149629,Gunabanta Behera,24-Oct-2025 08:02 PM,Rejected-AOC,UNSUCESSFUL,20-Dec-2025 04:36 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
