Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage
Housing and Urban Development Department||State Urban Development Agency,2025_HUDD_112576_1,005/SUDA_Package_2,Engineering_firm_Pkg_2,1.0,2901701.0,BLG Construction Services P Limited,INR,"49,320,000",Director_Municipal_Administration,Internal,,Rasanta Kumar Naik,03-Jun-2025 04:28 PM,04-Jun-2025 12:00 PM,techsummary_536913.pdf (218.12 KB),19-Dec-2025,"INR 49,320,000",730.0,Rasanta Kumar Naik,18-Dec-2025 05:19 PM,AOC_2.pdf (337.00 KB),Director Municipal Administration,Internal,,Rasanta Kumar Naik,18-Dec-2025 05:03 PM,finsummary_536913.pdf (1636.89 KB),Finance,Tender Opened,Rasanta Kumar Naik,04-Jun-2025 01:28 PM,,BOQ Comparative Chart,1,2901701,BLG Construction Services P Limited,15-May-2025 06:22 PM,Accepted-AOC,After Both Technical and Finance Evaluation BLG Construction Services is the Successful Bidder,18-Dec-2025 05:20 PM,Technical,Technical Bid Opened,Rajendra Kumar Ray Mohapatra,16-May-2025 04:26 PM,,AOC,1.0,Date_Corrigendum,Date,,1.0,ICICI BANK,Engineering_firm_Pkg_2,Engineering_consultancy_firms_agencies_for_providing_Engineering_Service_to_115_ULBs_of_Odisha_Pkg_2,Please refer Tender Document ,NA ,,Consultancy Services,NA ,Tender,120.0,730.0,SUDA_DISTRICT_ULB,751014.0,Virtual Mode at SUDA ,Virtual Mode ,22-Apr-2025 03:00 PM ,SUDA_Bhubaneswar (ONLINE),No ,No,17-Apr-2025 03:00 PM,16-May-2025 04:00 PM,17-Apr-2025 03:00 PM,16-May-2025 11:00 AM,17-Apr-2025 03:00 PM ,22-Apr-2025 11:00 AM ,27-Apr-2025 11:00 AM,16-May-2025 11:00 AM,04-Jun-2025 12:00 PM,"5,000",SUDA,Bhubaneswar,Yes,Administrative Officer SUDA,PLOT_NO_172_VIVEKANANDA_MARG_NEAR_BHUBANESWAR_MUNICIPAL_CORPORATION_OFFICE_BHUBANESWAR_751014,"5,00,000",Yes,fixed,,SUDA,Bhubaneswar,Housing and Urban Development Department||State Urban Development Agency,005/SUDA_Package_2,2025_HUDD_112576_1,Yes,Open Tender,Lump-sum,Services,2.0,No,No,Both(Online/Offline),No,No,No,1.0,Fee/PreQual/Technical,.pdf,Engineering_consultancy_firms_agencies_for_providing_Engineering_Service_to_115_ULBs_of_Odisha_Pkg_2,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2908873,Choice Consultancy Services Private Limited,16-May-2025 10:50 AM,Not Admitted-Finance,Others-Successful Bidder for package 1,04-Jun-2025 01:28 PM,,,,,,AOC,2.0,Technical_Corrigendum,Technical Bid,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Engineering_consultancy_firms_agencies_for_providing_Engineering_Service_to_115_ULBs_of_Odisha_Pkg_2,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2920142,WAPCOS LIMITED,16-May-2025 10:21 AM,Rejected-AOC,After Both Technical and Finance Evaluation BLG Construction Services is the Successful Bidder,18-Dec-2025 05:20 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
