S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
1.0,ICICI BANK,20-Sep-2025 11:00 AM,04-Oct-2025 11:00 AM,20-Sep-2025 11:00 AM,03-Oct-2025 05:00 PM,NA ,NA ,20-Sep-2025 11:00 AM,03-Oct-2025 05:00 PM,CE AND BM IK BASIN BARINIPUT JEYPORE||Upper Kolab Project Bariniput||Upper Kolab Irrigation Division Borigumma,SEUKID-02/2025-26 (SL14),2025_UPIDB_118234_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Affidavit, GST Registration Certificate, GSTIN, PAN and Contractor RC, No Relation Certificate, etc.",Repair of CD No-12 at RD 7.247 km and CD No.13 at RD 7.917km including providing concrete lining of Batasana Distributary.,CANAL STRUCTURAL WORK,AS PER DTCN ,NA ,"8,45,435",Civil Works - Canal,NA ,Tender,90.0,60.0,BORIGUMMA,764056.0,NA ,NA ,NA ,"Office of the SE UKIDIVN, Borigumma,Dist-Koraput",No ,No,"8,500",Yes,fixed,,Nil,Nil,"4,000",Nil,Nil,No,"SE UKIDIVN, Borigumma,Dist-Koraput","Office of the Superintending Engineer, U.K.I.Division,Borigumma, Dist- Koraput, PIN 764056",AOC,1,3106645,AKASH BISSOI,03-Oct-2025 12:06 PM,Rejected-Finance,Disqualified in transparent lottery system.,06-Nov-2025 10:18 PM,10-Nov-2025,"INR 845,435",60.0,Narendra Kumar Sitha,27-Dec-2025 11:19 AM,WO14.pdf (227.00 KB),Work Order,"SE,UKID,Borigumma",Internal,"Divisional Accountant, Estimator",Narendra Kumar Sitha,17-Oct-2025 02:14 PM,techsummary_553053.pdf (220.30 KB),"SE,UKID,Borigumma",Internal,"Divisional Accountant, Estimator",Narendra Kumar Sitha,06-Nov-2025 10:18 PM,finsummary_553053.pdf (248.70 KB),CE AND BM IK BASIN BARINIPUT JEYPORE||Upper Kolab Project Bariniput||Upper Kolab Irrigation Division Borigumma,2025_UPIDB_118234_1,SEUKID-02/2025-26 (SL14),Repair of CD No-12 at RD 7.247 km and CD No.13 at RD 7.917km including providing concrete lining of Batasana Distributary.,1.0,3104405.0,RAJKUMAR SATNAMI,INR,"718,704",Finance,Bid opening summary,Narendra Kumar Sitha,15-Oct-2025 10:02 PM,finance_553053.pdf,BOQ Comparative Chart,AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Tender cost, EMD, undertaking, Check list, and any other documents as per DTCN.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,3100065,ANANDA MAHAPATRA,26-Sep-2025 06:26 PM,Rejected-Finance,Disqualified in transparent lottery system.,06-Nov-2025 10:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,3106176,ANUPAMA PANDA,02-Oct-2025 08:52 PM,Rejected-Finance,Disqualified in transparent lottery system.,06-Nov-2025 10:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,3103292,ARJUN GONDA,30-Sep-2025 04:07 PM,Rejected-Finance,Disqualified in transparent lottery system.,06-Nov-2025 10:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,3107700,BIJAYA KUMAR MADALA,03-Oct-2025 04:35 PM,Rejected-Finance,Disqualified in transparent lottery system.,06-Nov-2025 10:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,3106945,BIKASH PATNAIK,03-Oct-2025 01:04 PM,Rejected-Finance,Disqualified in transparent lottery system.,06-Nov-2025 10:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,3104888,DEBA RANJAN PATRA,01-Oct-2025 07:24 PM,Rejected-Finance,Disqualified in transparent lottery system.,06-Nov-2025 10:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,3103203,DINESH PATNAIK,30-Sep-2025 10:13 AM,Rejected-Finance,Disqualified in transparent lottery system.,06-Nov-2025 10:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,3105080,DURYADHAN MALI,01-Oct-2025 10:29 PM,Rejected-Finance,Disqualified in transparent lottery system.,06-Nov-2025 10:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,3107528,JANHABI BISOI,03-Oct-2025 04:09 PM,Rejected-Finance,Disqualified in transparent lottery system.,06-Nov-2025 10:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
