Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Commissioner,External,"Audit Officer, Executive Engineer, Superintending Engineer, Joint Commissioner",Birendra Nanda,04-Nov-2025 01:32 PM,techsummary_550241.pdf (5017.75 KB),Rourkela Municipal Corporation,2025_RMC_117214_10,MC/RMC/33/2025,"Renovation and Construction of Drain from LCR 17 to LCR 24 Phase I, Chhend, Ward No. 15 under RMC, Rourkela.",1.0,3064445.0,CHIDA ORAM,INR,"1,102,425.51",1,3066089,ANIL BEHERA (S.C),06-Sep-2025 04:27 PM,Rejected-Technical,By The Tender Committee,04-Nov-2025 01:32 PM,12-Dec-2025,"INR 1,102,425.51",45.0,Manas Biswal,12-Dec-2025 12:54 PM,BID33.pdf (5018.00 KB),Awarded to Chida Oram,Finance,EMD refund,Birendra Nanda,04-Nov-2025 12:31 PM,finance_550241.pdf,BOQ Comparative Chart,Commissioner,External,"Audit Officer, Executive Engineer, Superintending Engineer, Joint Commissioner",Manas Biswal,12-Dec-2025 12:22 PM,finsummary_550241.pdf (5017.74 KB),AOC,"12,970",Yes,fixed,,Nil,Nil,"Municipal Commissioner, RMC","Rourkela Municipal Corporation, Rourkela","6,000",Nil,Nil,No,1.0,ICICI BANK,"Renovation and Construction of Drain from LCR 17 to LCR 24 Phase I, Chhend, Ward No. 15 under RMC, Rourkela.",Works,Please refer Tender documents. ,NA ,"12,97,000",Civil Works - Others,NA ,Tender,90.0,45.0,Rourkela,769012.0,NA ,NA ,NA ,"Rourkela Municipal Corporation, Rourkela",No ,No,22-Aug-2025 06:00 PM,08-Sep-2025 11:00 AM,22-Aug-2025 06:00 PM,06-Sep-2025 05:00 PM,NA ,NA ,22-Aug-2025 06:00 PM,06-Sep-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"Registration Certificate, Affidavit, PAN, EMD, GST, Paper Cost and other documents as per DTCN",Rourkela Municipal Corporation,MC/RMC/33/2025,2025_RMC_117214_10,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,2,3059996,ARADHYA CONSTRUCTION,01-Sep-2025 07:08 PM,Rejected-Technical,By The Tender Committee,04-Nov-2025 01:32 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,3055276,ARATI TRIPATHY,29-Aug-2025 05:47 PM,Rejected-Technical,By The Tender Committee,04-Nov-2025 01:32 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,3059093,BABULI CHANDRA PAIKARAY,01-Sep-2025 01:56 PM,Rejected-Technical,By The Tender Committee,04-Nov-2025 01:32 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,3054061,BRAJA MOHAN BEURA,29-Aug-2025 11:57 AM,Rejected-Technical,By The Tender Committee,04-Nov-2025 01:32 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,3060172,CHAKRA TANTY,01-Sep-2025 08:54 PM,Rejected-Technical,By The Tender Committee,04-Nov-2025 01:32 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,3064445,CHIDA ORAM,05-Sep-2025 02:31 PM,Accepted-AOC,By The Tender Committee,12-Dec-2025 12:54 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,3050018,KAVYA CONSTRUCTION,26-Aug-2025 02:21 PM,Rejected-Technical,By The Tender Committee,04-Nov-2025 01:32 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,3064421,MITRA SEKHAR PARIDA,05-Sep-2025 02:13 PM,Rejected-Technical,By The Tender Committee,04-Nov-2025 01:32 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,3064456,MS KANHA CONSTRUCTION,05-Sep-2025 02:41 PM,Rejected-Technical,By The Tender Committee,04-Nov-2025 01:32 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
