Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Finance,bidders are participated successfully.,JUGAL TAKRI,06-Dec-2025 12:30 PM,finance_554869.pdf,BOQ Comparative Chart,1.0,3141110.0,MS INSTTA POWER,INR,"2,740,920",Orissa Lift Irrigation Corporation||LI KORAPUT||LI Division Koraput,2025_OLIC_119009_17,03/2025-26,Installation and Energisation of Surali - XIII L.I.Project under Kotpad Block of Koraput District,Executive Engineer,Internal,"Executive Engineer, Divisional Accountant, Estimator",JUGAL TAKRI,06-Dec-2025 05:55 PM,finsummary_554869.pdf (204.08 KB),Executive Engineer,Internal,"Executive Engineer, Divisional Accountant, Estimator",JUGAL TAKRI,06-Dec-2025 01:05 PM,techsummary_554869.pdf (204.08 KB),08-Dec-2025,"INR 2,322,813",90.0,JUGAL TAKRI,08-Dec-2025 03:47 PM,AOCsummary.pdf (40.00 KB),Awarded,1,3145624,ARUN KUMAR MAHALIK,23-Oct-2025 02:06 PM,Rejected-AOC,Awarded,08-Dec-2025 03:47 PM,AOC,13-Oct-2025 10:00 AM,24-Oct-2025 11:00 AM,13-Oct-2025 10:00 AM,23-Oct-2025 05:00 PM,NA ,NA ,13-Oct-2025 10:00 AM,23-Oct-2025 05:00 PM,E E L I Division Koraput,E E L I Division Koraput,Orissa Lift Irrigation Corporation||LI KORAPUT||LI Division Koraput,03/2025-26,2025_OLIC_119009_17,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Detail Tender Call notice, PAN ,GST, Civil and Electrical Contractors Licence, Labour Licence,Experi",1.0,ICICI BANK,"7,080",0.0,Nil,Nil,No,"27,324",No,percentage,1.0%,Nil,Nil,Installation and Energisation of Surali - XIII L.I.Project under Kotpad Block of Koraput District,Installation and Energisation of Surali - XIII L.I.Project under Kotpad Block of Koraput District,Please refer Tender documents. ,NA ,"27,32,400",Civil Works - Lift Irrigation Schemes,NA ,Tender,270.0,90.0,Koraput,764020.0,NA ,NA ,NA ,Koraput,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3143865,BADAL PATTNAIK,22-Oct-2025 08:25 PM,Rejected-AOC,Awarded,08-Dec-2025 03:47 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3135059,CHANDAN NAYAK,20-Oct-2025 12:32 PM,Rejected-AOC,Awarded,08-Dec-2025 03:47 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3146040,HEMANT KUMAR NAYAK,23-Oct-2025 04:27 PM,Rejected-AOC,Awarded,08-Dec-2025 03:47 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3144675,IRFAN KHAN,23-Oct-2025 02:43 PM,Rejected-AOC,Awarded,08-Dec-2025 03:47 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3132486,M/S ENGINEERS ENTERPRISES,17-Oct-2025 02:19 PM,Rejected-AOC,Awarded,08-Dec-2025 03:47 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3141110,MS INSTTA POWER,23-Oct-2025 10:01 AM,Accepted-AOC,Awarded,08-Dec-2025 03:47 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3143890,M/S. MAA DURGA ENGINEERING ASSOCIATES,22-Oct-2025 07:47 PM,Rejected-AOC,Awarded,08-Dec-2025 03:47 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3136824,M/S MAHAMAYEE ENTERPRISES,21-Oct-2025 11:06 AM,Rejected-AOC,Awarded,08-Dec-2025 03:47 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3136509,M/S. PADHI ELECTRICALS,21-Oct-2025 12:34 PM,Rejected-AOC,Awarded,08-Dec-2025 03:47 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3143665,M/S U.S. QUALITY ENGINEERING WORKS,22-Oct-2025 07:27 PM,Rejected-AOC,Awarded,08-Dec-2025 03:47 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3144624,PRASANTA KUMAR PANIGRAHY,23-Oct-2025 03:47 PM,Rejected-AOC,Awarded,08-Dec-2025 03:47 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,3143742,RASHMITA NAYAK,23-Oct-2025 12:00 PM,Rejected-AOC,Awarded,08-Dec-2025 03:47 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,3137653,SHREE JAGANNATH SOLAR AND ELECTRICAL INFRATECH,23-Oct-2025 12:24 PM,Rejected-AOC,Awarded,08-Dec-2025 03:47 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3146061,SUBHAM ELECTRICALS,23-Oct-2025 04:06 PM,Rejected-AOC,Awarded,08-Dec-2025 03:47 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,3145693,SWAPNESWAR NAYAK,23-Oct-2025 02:22 PM,Rejected-AOC,Awarded,08-Dec-2025 03:47 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
