S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,3132973.0,M/S SHANTI POWER AND CONSTRUCTION,INR,"5,625,586",Finance,bidders are participated successfully.,JUGAL TAKRI,06-Dec-2025 12:21 PM,finance_554864.pdf,BOQ Comparative Chart,Executive Engineer,Internal,"Executive Engineer, Divisional Accountant, Estimator",JUGAL TAKRI,06-Dec-2025 05:43 PM,finsummary_554864.pdf (204.08 KB),Orissa Lift Irrigation Corporation||LI KORAPUT||LI Division Koraput,2025_OLIC_119009_13,03/2025-26,Installation and Energisation of Kadambjhola and Parja Barikanta L.I.Project under Dasmantpur Block of Koraput District,Executive Engineer,Internal,"Executive Engineer, Divisional Accountant, Estimator",JUGAL TAKRI,06-Dec-2025 01:14 PM,techsummary_554864.pdf (204.08 KB),1,3146169,ANUP POWER INFRASTRUCTURE,23-Oct-2025 04:32 PM,Rejected-AOC,Awarded,08-Dec-2025 03:57 PM,08-Dec-2025,"INR 4,767,446",90.0,JUGAL TAKRI,08-Dec-2025 03:57 PM,AOCsummary.pdf (40.00 KB),Awarded,AOC,13-Oct-2025 10:00 AM,24-Oct-2025 11:00 AM,13-Oct-2025 10:00 AM,23-Oct-2025 05:00 PM,NA ,NA ,13-Oct-2025 10:00 AM,23-Oct-2025 05:00 PM,Installation and Energisation of Kadambjhola and Parja Barikanta L.I.Project under Dasmantpur Block of Koraput District,Installation and Energisation of Kadambjhola and Parja Barikanta L.I.Project under Dasmantpur Block of Koraput District,Please refer Tender documents. ,NA ,"56,08,100",Civil Works - Lift Irrigation Schemes,NA ,Tender,270.0,90.0,Koraput,764020.0,NA ,NA ,NA ,Koraput,No ,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"Detail Tender Call notice, PAN ,GST, Civil and Electrical Contractors Licence, Labour Licence,Experi","56,081",No,percentage,1.0%,Nil,Nil,Orissa Lift Irrigation Corporation||LI KORAPUT||LI Division Koraput,03/2025-26,2025_OLIC_119009_13,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,E E L I Division Koraput,E E L I Division Koraput,"11,800",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3139723,BADAL PATTNAIK,22-Oct-2025 08:15 PM,Rejected-AOC,Awarded,08-Dec-2025 03:57 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3135068,CHANDAN NAYAK,20-Oct-2025 12:22 PM,Rejected-AOC,Awarded,08-Dec-2025 03:57 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3139233,MANOJ KUMAR PANDA,21-Oct-2025 11:36 AM,Rejected-AOC,Awarded,08-Dec-2025 03:57 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3132518,M/S ENGINEERS ENTERPRISES,17-Oct-2025 02:29 PM,Rejected-AOC,Awarded,08-Dec-2025 03:57 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3136793,M/S MAHAMAYEE ENTERPRISES,21-Oct-2025 10:57 AM,Rejected-AOC,Awarded,08-Dec-2025 03:57 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3136456,M/S. PADHI ELECTRICALS,21-Oct-2025 12:22 PM,Rejected-AOC,Awarded,08-Dec-2025 03:57 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3132973,M/S SHANTI POWER AND CONSTRUCTION,18-Oct-2025 05:09 PM,Accepted-AOC,Awarded,08-Dec-2025 03:57 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3143547,M/S U.S. QUALITY ENGINEERING WORKS,22-Oct-2025 06:59 PM,Rejected-AOC,Awarded,08-Dec-2025 03:57 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3143709,Sambit Kumar Dash,23-Oct-2025 11:08 AM,Rejected-AOC,Awarded,08-Dec-2025 03:57 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
