S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,3165545.0,DHIREN KUMAR MAHARANA,INR,"9,290,913.25",Odisha Cooperative Tasar and Silk Federation LTD,2025_SERIF_119607_1,VI-09(09)/SERIFED/2025-26/1288,Construction of reeling cum training hall packaging of Basunga Patta office and Godown at SPTUC Nuapata Cuttack,Technical,Total two nos. of bidders have participated in sucessfully,Laxman Behera,01-Nov-2025 11:48 AM,,"Managing Director, SERIFED",Internal,"Secretary SERIFED, Assistant Engineer, Accounts I/C SERIFED, Junior Engineer SERIFED, Office Assistant (C)",Laxman Behera,12-Dec-2025 05:14 PM,finsummary_556446.pdf (756.04 KB),"Managing Director, SERIFED",Internal,"Secretary SERIFED, Assistant Engineer, Accounts I/C SERIFED, Junior Engineer SERIFED, Office Assistant (C)",Laxman Behera,07-Nov-2025 12:14 PM,07-Nov-2025 03:30 PM,techsummary_556446.pdf (639.55 KB),Finance,Total two nos. of bidders have participated in financial bid,Laxman Behera,07-Nov-2025 04:14 PM,,BOQ Comparative Chart,1.0,3165545.0,DHIREN KUMAR MAHARANA,31-Oct-2025 04:48 PM,Accepted-AOC,L1 1st Lowest Rate Quoted,12-Dec-2025 05:18 PM,12-Dec-2025,"INR 9,290,913.25",210.0,Laxman Behera,12-Dec-2025 05:18 PM,aocreelinghall.pdf (643.00 KB),L1 1st Lowest Rate Quoted,AOC,17-Oct-2025 10:00 AM,01-Nov-2025 11:30 AM,17-Oct-2025 10:00 AM,31-Oct-2025 05:00 PM,NA ,NA ,17-Oct-2025 10:00 AM,31-Oct-2025 05:00 PM,07-Nov-2025 03:30 PM,Odisha Cooperative Tasar and Silk Federation LTD,VI-09(09)/SERIFED/2025-26/1288,2025_SERIF_119607_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Construction of reeling cum training hall packaging of Basunga Patta office and Godown at SPTUC Nuapata Cuttack,Construction of reeling cum training hall packaging of Basunga Patta office and Godown at SPTUC Nuapata Cuttack,Please refer Tender documents. ,NA ,,Civil Works - Buildings,NA ,Tender,90.0,210.0,Nuapatna Cuttack,754035.0,"SERIFED, Bhubaneswar ","Office of the Managing Director, SERIFED, Saheed Nagar, Bhubaneswar-751007 ",23-Oct-2025 03:00 PM ,"SERIFED, Bhubaneswar",No ,No,"96,690",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"RC, GSTIN, AFFIDAVIT, PAN, GST AND IT RETURN","Managing Director, SERIFED","Office of the Managing Director, SERIFED, Saheed Nagar, Bhubaneswar-751007",1.0,ICICI BANK,"11,800",Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3154642.0,M/s SHIVOM ELECTRICALS AND ENGINEERING,26-Oct-2025 03:54 PM,Rejected-AOC,L2 2nd Lowest Rate Quoted,12-Dec-2025 05:18 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,All other documents as per DTCN and Tender Criterion,,,2.0,ICICI NEFT/RTGS,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BILL OF QUANTITY,,,,,,,,,AOC
