Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Finance,13 Nos Bidders Participated,Umesh Chandra Sethi,31-May-2025 10:17 AM,,BOQ Comparative Chart,CE AND BM MBBS CHANDIKOLE||EASTERN CIRCLE II CHANDIKOLE||Kendrapara Irr Div Kendrapara,2025_KIRRD_113584_11,e-Procurement Notice No.KID-01 of 2025-26,"KID-12 Renovation including bed clearance of Disty.no.5, Maradpur Minor, Gualsing Minor, Tarapur Minor, Nankar Mahara, Disty.no.3 and its R-1 and L-1 Minor.",1.0,2932182.0,MURALIDHAR SAHOO,INR,"514,874",1,2939458,BIJAYA KUMAR PARIDA,29-May-2025 10:08 AM,Rejected-Finance,Not won in the transparent Lottery,04-Jul-2025 09:46 PM,22-Sep-2025,"INR 514,874",90.0,Umesh Chandra Sethi,09-Dec-2025 06:00 PM,WorkOrderKID12of25_26.pdf (484.00 KB),The work has been awarded to Sri MURALIDHAR SAHOO,Kendrapara Irrigation Division,Internal,"Kendrapara, DAO Kendrapara Division, Kendrapara, Estimator, Kendrapara Irrigation Division, Kendrapara",Umesh Chandra Sethi,04-Jul-2025 09:41 PM,techsummary_540015.pdf (289.52 KB),Kendrapara Irrigation Division,Internal,"Kendrapara, DAO Kendrapara Division, Kendrapara, Estimator, Kendrapara Irrigation Division, Kendrapara",Umesh Chandra Sethi,04-Jul-2025 09:46 PM,finsummary_540015.pdf (430.56 KB),AOC,"KID-12 Renovation including bed clearance of Disty.no.5, Maradpur Minor, Gualsing Minor, Tarapur Minor, Nankar Mahara, Disty.no.3 and its R-1 and L-1 Minor.","Renovation including bed clearance of Disty.no.5, Maradpur Minor, Gualsing Minor, Tarapur Minor, Nankar Mahara, Disty.no.3 and its R-1 and L-1 Minor.",Please refer Tender documents. ,NA ,"6,05,663",Civil Works - Others,NA ,Tender,90.0,90.0,Kendrapara,754211.0,NA ,NA ,NA ,"S.E, Kendrapara Irrigation Division, Kendrapara",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Contractor R.C, PAN, GSTIN, Affidavits, NRC, undertaking and any other documents as per SBD/DTCN","4,000",Nil,Nil,No,1.0,ICICI BANK,"S.E, Kendrapara Irrigation Division, Kendrapara","S.E, Kendrapara Irrigation Division, Kendrapara-754211",CE AND BM MBBS CHANDIKOLE||EASTERN CIRCLE II CHANDIKOLE||Kendrapara Irr Div Kendrapara,e-Procurement Notice No.KID-01 of 2025-26,2025_KIRRD_113584_11,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,19-May-2025 10:00 AM,30-May-2025 11:00 AM,19-May-2025 10:00 AM,29-May-2025 05:00 PM,19-May-2025 10:00 AM ,28-May-2025 05:00 PM ,19-May-2025 10:00 AM,29-May-2025 05:00 PM,"6,100",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,2,2929611,KESHAB CHANDRA SAHOO,23-May-2025 08:52 PM,Rejected-Finance,Not won in the transparent Lottery,04-Jul-2025 09:46 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,2939889,MANOJ KUMAR KAR,29-May-2025 03:58 PM,Rejected-Finance,Not won in the transparent Lottery,04-Jul-2025 09:46 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,2932182,MURALIDHAR SAHOO,25-May-2025 09:09 PM,Accepted-AOC,Selected in the Lottery,09-Dec-2025 06:00 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,2934161,PRADEEP KUMAR MOHANTY,27-May-2025 11:42 AM,Rejected-Finance,Not won in the transparent Lottery,04-Jul-2025 09:46 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,2928027,PUJA MISHRA,22-May-2025 02:16 AM,Rejected-Finance,Not won in the transparent Lottery,04-Jul-2025 09:46 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,2939246,SARADA PRASAD SETHI,29-May-2025 02:58 PM,Rejected-Finance,Not won in the transparent Lottery,04-Jul-2025 09:46 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,2932653,SILU KUMAR SETHI,28-May-2025 02:31 PM,Rejected-Finance,Not won in the transparent Lottery,04-Jul-2025 09:46 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,2938943,SOUMYA RANJAN OJHA,28-May-2025 07:30 PM,Rejected-Finance,Not won in the transparent Lottery,04-Jul-2025 09:46 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,2938995,SUSANTA KUMAR BEHURA,28-May-2025 09:47 PM,Rejected-Finance,Not won in the transparent Lottery,04-Jul-2025 09:46 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
