EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
"1,27,107",Yes,percentage,1.0%,Nil,Nil,"Construction of Road from NH6 near Silvermoon Hotel towards Rathi Plant, Ward No.-02 (BT Road)","Construction of Road from NH6 near Silvermoon Hotel towards Rathi Plant, Ward No.-02 (BT Road)",Please refer Tender documents. ,NA ,"1,27,10,728",Civil Works - Roads,NA ,Tender,120.0,120.0,SAMBALPUR MUNICIPAL CORPORATION,768006.0,NA ,NA ,NA ,SAMBALPUR MUNICIPAL CORPORATION,No ,No,1.0,Fee/PreQual/Technical,.pdf,"Contractor license, Tender Fees, EMD, GST, PAN, Affidavits, Appendix etc. as per DTCN",1.0,ICICI BANK,Municipal Bodies||Sambalpur Municipal Corporation,16/SMC_SBP/2025-26,2025_ORULB_115035_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Corrigendum to Tender Call Notice No. 7353/SMC /Engg/Dt. 08.07.2025,Other,,11-Jul-2025 11:00 AM,29-Jul-2025 11:00 AM,11-Jul-2025 11:00 AM,28-Jul-2025 05:00 PM,NA ,NA ,11-Jul-2025 11:00 AM,28-Jul-2025 05:00 PM,16-Oct-2025 04:35 PM,"10,000",0.0,Nil,Nil,No,"COMMISSIONER, SMC","SAMBALPUR MUNICIPAL CORPORATION, DURGAPALI, SAMBALPUR, 768006",AOC,Municipal Bodies||Sambalpur Municipal Corporation,2025_ORULB_115035_1,16/SMC_SBP/2025-26,"Construction of Road from NH6 near Silvermoon Hotel towards Rathi Plant, Ward No.-02 (BT Road)",Technical,TECHNICAL BID OPENED,Vedbhushan .,29-Jul-2025 11:59 AM,technical_545621.pdf,"Siddheshwar Baliram Bondar,IAS",Internal,"DEE,EE,AO,DC,COMMISSIONER,SMC",Rehan Khatri,06-Dec-2025 10:00 AM,finsummary_545621.pdf (730.04 KB),1.0,3013126.0,md feroz khan,INR,"12,710,727.93",06-Dec-2025,"INR 12,710,727.93",120.0,Rehan Khatri,06-Dec-2025 10:03 AM,16SMC1.pdf (730.00 KB),SUCCESSFUL,1,3015197,AMREEN BANU,28-Jul-2025 03:28 PM,Rejected-Finance,unsuccessful,06-Dec-2025 10:00 AM,"Siddheshwar Baliram Bondar,IAS",Internal,"DEE,EE,AO,DC,COMMISSIONER,SMC",PADMINI MEHER,16-Oct-2025 04:31 PM,16-Oct-2025 04:35 PM,techsummary_545621.pdf (749.10 KB),Finance,FINANCIAL BID OPENED,Dhananjaya Panda,16-Oct-2025 04:55 PM,finance_545621.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Experience Certificate, Tools and Machinery documents as per DTCN",2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3005340,BAIDYANATH DHAR,23-Jul-2025 10:55 PM,Rejected-Finance,unsuccessful,06-Dec-2025 10:00 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,bill of quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3013126,md feroz khan,28-Jul-2025 02:42 PM,Accepted-AOC,SUCCESSFUL,06-Dec-2025 10:03 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3013151,M.J.CONSTRUCTION,27-Jul-2025 08:09 PM,Rejected-Finance,unsuccessful,06-Dec-2025 10:00 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3012924,MOHAMMED TANWEER,26-Jul-2025 08:16 PM,Rejected-Finance,unsuccessful,06-Dec-2025 10:00 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3013565,MUKESH KUMAR,27-Jul-2025 04:01 PM,Rejected-Finance,unsuccessful,06-Dec-2025 10:00 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3012340,NABIN KUMAR MISHRA,26-Jul-2025 10:29 PM,Rejected-Finance,unsuccessful,06-Dec-2025 10:00 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3015133,NIKHIL SARDA,28-Jul-2025 02:55 PM,Rejected-Finance,unsuccessful,06-Dec-2025 10:00 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3012713,PRAVEEN AGRAWAL,27-Jul-2025 12:01 AM,Rejected-Finance,unsuccessful,06-Dec-2025 10:00 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3013155,RUDRAMANI PODHA,27-Jul-2025 06:19 PM,Rejected-Finance,unsuccessful,06-Dec-2025 10:00 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3012764,Satya Narayan Sahoo,28-Jul-2025 01:19 PM,Rejected-Finance,unsuccessful,06-Dec-2025 10:00 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3013960,SRIKANTA BISWAL,28-Jul-2025 03:46 PM,Rejected-Finance,unsuccessful,06-Dec-2025 10:00 AM,,,,,,,,,,,,,,AOC
