Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Finance,10 no. bidders participated,Satya Prakash Tripathy,16-Aug-2025 11:52 AM,,BOQ Comparative Chart,17-Dec-2025,"INR 1,295,615.99",90.0,Satya Prakash Tripathy,17-Dec-2025 11:52 AM,AOC.pdf (150.00 KB),Date of agreement 23.10.2025 Date of completion 23.12.2025,1.0,3019208.0,Saroj Kumar Sen,INR,"1,101,403",Municipal Bodies||Angul Municipality,2025_ORULB_115727_29,EO/AGLM-06/2025-26,Construction of road from PWD road to Sai temple in ward No.10,1,3018835,Asish Kumar Mohury,30-Jul-2025 11:34 PM,Rejected-AOC,Lottery looser,17-Dec-2025 11:52 AM,"Akshya Kumar Samant, Chairperson",Internal,"Sri Akshya Kumar Samant,Chairperson,Angul Municipality,Sri Satya Prakash Tripathy, E.O.,Angul Municipality,Sri Harihar Naik,ATO, Angul,Sri Asit Kumar Nayak, M.E,Angul Municipality",Satya Prakash Tripathy,04-Dec-2025 12:00 PM,techsummary_546632.pdf (672.10 KB),"Akshya Kumar Samant, Chairperson",Internal,"Sri Akshya Kumar Samant,Chairperson,Angul Municipality,Sri Satya Prakash Tripathy, E.O.,Angul Municipality,Sri Harihar Naik,ATO, Angul,Sri Asit Kumar Nayak, M.E,Angul Municipality",Satya Prakash Tripathy,15-Dec-2025 11:34 AM,finsummary_546632.pdf (678.54 KB),AOC,Construction of road from PWD road to Sai temple in ward No.10,Construction of road from PWD road to Sai temple in ward No.10,Please refer Tender documents. ,NA ,"12,95,616",Civil Works - Others,NA ,Tender,90.0,90.0,Angul,759122.0,NA ,NA ,NA ,"O/O Executive Officer, Angul Municipality",No ,No,Executive Officer,"O/O Executive Officer, Angul Municipality",1.0,Fee/PreQual/Technical/Finance,.pdf,"Paper cost, EMD online, RC, GSTIN,PAN,Affidavit and other document as per DTCN","6,000",0.0,Nil,Nil,No,21-Jul-2025 10:00 AM,02-Aug-2025 11:00 AM,21-Jul-2025 10:00 AM,01-Aug-2025 05:00 PM,NA ,NA ,21-Jul-2025 10:00 AM,01-Aug-2025 05:00 PM,Municipal Bodies||Angul Municipality,EO/AGLM-06/2025-26,2025_ORULB_115727_29,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,"13,000",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,2,3013077,BIDYADHAR SAHU,26-Jul-2025 10:55 PM,Rejected-AOC,Lottery looser,17-Dec-2025 11:52 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,3,3015497,BISWAJIT PANDA,30-Jul-2025 05:22 PM,Rejected-AOC,Lottery looser,17-Dec-2025 11:52 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,4,3018766,DEBASISH MAJHI,30-Jul-2025 09:16 PM,Rejected-AOC,Lottery looser,17-Dec-2025 11:52 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,5,3018954,DIBYA RANJAN PRADHAN,31-Jul-2025 11:56 AM,Rejected-AOC,Lottery looser,17-Dec-2025 11:52 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,6,3019955,NILAKANTHA SAHU,01-Aug-2025 07:52 AM,Rejected-AOC,Lottery looser,17-Dec-2025 11:52 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,7,3020248,OMM CONSTRUCTION PROP AMAR NAIK (SC),01-Aug-2025 12:45 PM,Rejected-AOC,Lottery looser,17-Dec-2025 11:52 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,8,3019152,PRASANTA KUMAR SAHU,31-Jul-2025 01:08 PM,Rejected-AOC,Lottery looser,17-Dec-2025 11:52 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,9,3019751,SAGARIKA MOHAPATRA,01-Aug-2025 12:57 AM,Rejected-AOC,Lottery looser,17-Dec-2025 11:52 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,10,3019931,SAROJ KUMAR NAIK,01-Aug-2025 08:49 AM,Rejected-AOC,Lottery looser,17-Dec-2025 11:52 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,11,3019208,Saroj Kumar Sen,31-Jul-2025 01:34 PM,Accepted-AOC,Lottery winner,17-Dec-2025 11:52 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
