Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
29-Dec-2025,"INR 6,776,018",120.0,SURJYA NARAYANA PANIGRAHI,29-Dec-2025 08:55 PM,20KatariRoad.pdf (637.00 KB),AOC,1.0,3217270.0,SUSANTA KUMAR PADHIARY,INR,"6,776,018","CE,Minor Irrigation,BBSR||Phulbani Minor Irrigation Circle Phulbani||MI Division Kandhamal",2025_CEMIB_120739_20,BID IDENTIFICATION NO-09/2025-26,Improvements to service Road to Katari MIP in K.Nuagaon Block of Kandhamal district under CAPEX for the year 2025-26,1,3211834,AJIT MALLICK,11-Nov-2025 01:16 PM,Rejected-AOC,Not qualified,29-Dec-2025 08:55 PM,Technical,Bid opening summary,SURJYA NARAYANA PANIGRAHI,23-Nov-2025 06:56 PM,technical_561643.pdf,"Superintending Engineer,",Internal,"Divisional Accounts Officer, AEE Estimator, AEE, MISD, Phulbani, AEE,MISD, G.Udayagiri and AEE, MISD, Balliguda",SURJYA NARAYANA PANIGRAHI,29-Dec-2025 08:49 PM,finsummary_561643.pdf (1050.43 KB),Finance,Bid opening summary,SURJYA NARAYANA PANIGRAHI,26-Dec-2025 07:23 PM,finance_561643.pdf,BOQ Comparative Chart,"Superintending Engineer,",Internal,"Divisional Accounts Officer, AEE Estimator, AEE, MISD, Phulbani, AEE,MISD, G.Udayagiri and AEE, MISD, Balliguda",SURJYA NARAYANA PANIGRAHI,23-Nov-2025 08:30 PM,24-Nov-2025 09:00 AM,techsummary_561643.pdf (1050.43 KB),AOC,S.E. MI Divn. Kandhamal,"O/o the S.E. MI Divn. Kandhamal, Phulbani",1.0,Fee/PreQual/Technical,.pdf,"Only Valid CDMS, GST, PAN, Reg certificate, No relation, Affidavits and no other documents.","79,800",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,"CE,Minor Irrigation,BBSR||Phulbani Minor Irrigation Circle Phulbani||MI Division Kandhamal",BID IDENTIFICATION NO-09/2025-26,2025_CEMIB_120739_20,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,Improvements to service Road to Katari MIP in K.Nuagaon Block of Kandhamal district under CAPEX for the year 2025-26,Improvements to service Road to Katari MIP in K.Nuagaon Block of Kandhamal district under CAPEX for the year 2025-26,Please refer Tender documents. ,NA ,"79,71,000",Civil Works - Others,Repair of MIP ,Tender,90.0,120.0,Phulbani,762001.0,NA ,NA ,NA ,O/o the S.E. MI Divn. Kandhamal,No ,No,"10,000",0.0,Nil,Nil,No,04-Nov-2025 10:00 AM,13-Nov-2025 11:00 AM,04-Nov-2025 10:00 AM,12-Nov-2025 05:30 PM,NA ,NA ,04-Nov-2025 10:00 AM,12-Nov-2025 05:30 PM,24-Nov-2025 09:00 AM,AOC
,,,,,,,,,,,,,,,,2,3214944,ANIL KUMAR PRADHAN,12-Nov-2025 09:12 AM,Rejected-AOC,Not qualified,29-Dec-2025 08:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,2.0,Finance,.xls,Bill of quantity,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,3212817,ARUPANANDA MAHAPATRA,11-Nov-2025 01:41 PM,Rejected-AOC,Not qualified,29-Dec-2025 08:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,3217088,DEBASIS GOUDA,12-Nov-2025 01:57 PM,Rejected-AOC,Not qualified,29-Dec-2025 08:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,3212647,DEBASISH MOHANTY,12-Nov-2025 12:45 PM,Rejected-AOC,Not qualified,29-Dec-2025 08:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6,3213907,HARIHARA BEHERA,12-Nov-2025 12:21 PM,Rejected-AOC,Not qualified,29-Dec-2025 08:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7,3216894,Kartikeswar Sahu,12-Nov-2025 02:35 PM,Rejected-AOC,Not qualified,29-Dec-2025 08:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,8,3202051,MANOJ KUMAR DALEI,09-Nov-2025 10:56 PM,Rejected-AOC,Not qualified,29-Dec-2025 08:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,9,3200973,M/S KANYAKA PARAMESWARI ASSOCIATES,09-Nov-2025 12:27 PM,Rejected-AOC,Not qualified,29-Dec-2025 08:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,10,3217365,Narasingha Behera,12-Nov-2025 02:19 PM,Rejected-AOC,Not qualified,29-Dec-2025 08:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,11,3210065,PRABINA KUMAR SAHOO,10-Nov-2025 09:54 PM,Rejected-AOC,Not qualified,29-Dec-2025 08:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,12,3217368,PURNENDU NAYAK,12-Nov-2025 02:34 PM,Rejected-AOC,Not qualified,29-Dec-2025 08:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,13,3218193,RAMADEVI MAHAKUDA,12-Nov-2025 04:46 PM,Rejected-AOC,Not qualified,29-Dec-2025 08:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,14,3216947,RANJITA PARIDA,12-Nov-2025 01:09 PM,Rejected-AOC,Not qualified,29-Dec-2025 08:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,15,3216681,SANGRAM KISHORE PANI,12-Nov-2025 01:11 PM,Rejected-AOC,Not qualified,29-Dec-2025 08:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,16,3217937,SHIBA PRASAD PATRA,12-Nov-2025 03:56 PM,Rejected-AOC,Not qualified,29-Dec-2025 08:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
