Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Finance,"25Nos Bidder are participate, Tender Under Scrutiny.",Somanath Tripathy,15-Sep-2025 04:44 PM,finance_551282.pdf,BOQ Comparative Chart,1.0,3067613.0,R SUNIL REDDY,INR,"569,323",EIC-CIVIL||SERNB-CIRCLE-BERHAMPUR||EERNB-DIVN-GANJAM I,2025_EICCL_117579_46,SE RandB Divn No.I-BAM-05/2025-26,"S/R to Randha-Markandi via Tulu Road such as bush cutting, painting to road side trees and berm repair from Ch 0/00 km to 10/00 km for the year 2025-26.",1,3070327,ANIL KUMAR MAHARANA,08-Sep-2025 08:29 PM,Rejected-AOC,Reject in Lottery,01-Dec-2025 04:08 PM,01-Dec-2025,"INR 569,323",30.0,Somanath Tripathy,01-Dec-2025 04:06 PM,446.pdf (1901.00 KB),Contract awarded to Sri/Smt R. Sunil Reddy,"Superintending Engineer Ganjam (R and B) Division No.I, Berhampur",Internal,Sr. DAO and A.E.E Estimator,Somanath Tripathy,01-Dec-2025 03:42 PM,techsummary_551282.pdf (1901.23 KB),"Superintending Engineer Ganjam (R and B) Division No.I, Berhampur",Internal,Sr. DAO and A.E.E Estimator,Somanath Tripathy,01-Dec-2025 03:50 PM,finsummary_551282.pdf (1901.22 KB),AOC,"S/R to Randha-Markandi via Tulu Road such as bush cutting, painting to road side trees and berm repair from Ch 0/00 km to 10/00 km for the year 2025-26.","S/R to Randha-Markandi via Tulu Road such as bush cutting, painting to road side trees and berm repair from Ch 0/00 km to 10/00 km for the year 2025-26.",Please refer Tender documents. ,NA ,"6,69,713",Civil Works - Roads,NA ,Tender,90.0,30.0,Berhampur,760005.0,NA ,NA ,NA ,SE R and B Division No I Berhampur,No ,No,"6,700",Yes,fixed,,Nil,Nil,SE R and B Division No I Berhampur,SE R and B Division No I Berhampur,03-Sep-2025 05:15 PM,10-Sep-2025 11:30 AM,03-Sep-2025 05:15 PM,09-Sep-2025 04:00 PM,03-Sep-2025 05:15 PM ,09-Sep-2025 04:00 PM ,03-Sep-2025 05:15 PM,09-Sep-2025 04:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Cost EMD(Online) RC,PAN, GSTIN, Affidavit Other Documents and Forms as per DTCN.",1.0,period of completion,Other,,"4,000",0.0,Nil,Nil,No,1.0,ICICI BANK,EIC-CIVIL||SERNB-CIRCLE-BERHAMPUR||EERNB-DIVN-GANJAM I,SE RandB Divn No.I-BAM-05/2025-26,2025_EICCL_117579_46,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,2,3071972,ASISH KUMAR NAYAK,09-Sep-2025 02:37 PM,Rejected-AOC,Reject in Lottery,01-Dec-2025 04:08 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,3070616,Aswini Kumar Dalai,09-Sep-2025 10:30 AM,Rejected-AOC,Reject in Lottery,01-Dec-2025 04:08 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,3071232,BAPI SAHU,09-Sep-2025 01:22 PM,Rejected-AOC,Reject in Lottery,01-Dec-2025 04:08 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,3070666,BIGHNESWAR PADHY,09-Sep-2025 01:10 AM,Rejected-AOC,Reject in Lottery,01-Dec-2025 04:08 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,3070621,BIKASH RANJAN MOHANTY,09-Sep-2025 01:37 AM,Rejected-AOC,Reject in Lottery,01-Dec-2025 04:08 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,3067123,B RAKESH PATRA,08-Sep-2025 05:56 PM,Rejected-AOC,Reject in Lottery,01-Dec-2025 04:08 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,3071348,GAGAN KUMAR SAHU,09-Sep-2025 02:19 PM,Rejected-AOC,Reject in Lottery,01-Dec-2025 04:08 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,3071471,GOUR CHANDRA SAHU,09-Sep-2025 01:59 PM,Rejected-AOC,Reject in Lottery,01-Dec-2025 04:08 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,3066604,HARI KRUSHNA GOUDA,07-Sep-2025 12:57 AM,Rejected-AOC,Reject in Lottery,01-Dec-2025 04:08 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
