Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
PHEO||SEPH-CIRCLE-CUTTACK||PH Division Angul,2025_PHEO_118407_1,20 OF 2025-26,Procurement and installation of 125 DG Set at Hemasurapada Pump House at Angul under Annual Action Plan 2025-26,1.0,3100894.0,GSP POWER PROJECTS RETAIL DIVISION,INR,"1,874,308","Er Prasanta Behera, SEPH",Internal,"Er Prasanta Behera, Superintending Engineer, P.H. Division, Angul, Kapilendra Behera, Sr. D.A.O., Er. Rajkishore Bhumij, E.E. Estimator",Prasanta Behera,29-Nov-2025 11:49 AM,techsummary_553458.pdf (1386.99 KB),08-Dec-2025,"INR 1,874,308",60.0,Prasanta Behera,16-Dec-2025 07:41 AM,7731.pdf (694.00 KB),Finance,The validity of tenders depends on the result of scrutiny of the scanned documents submitted by the tenderers online.,Prasanta Behera,04-Oct-2025 11:49 AM,,BOQ Comparative Chart,"Er Prasanta Behera, SEPH",Internal,"Er Prasanta Behera, Superintending Engineer, P.H. Division, Angul, Kapilendra Behera, Sr.D.A.O., Er. Rajkishore Bhumij, E.E. Estimator",Prasanta Behera,29-Nov-2025 11:53 AM,finsummary_553458.pdf (404.07 KB),1,3105020,ABC CONSTRUCTIONS,01-Oct-2025 09:22 PM,Rejected-AOC,Transparent lottery not win,16-Dec-2025 07:41 AM,AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Paper Cost, EMD, Valid Regd. Certificate, GST, PAN, Affidavit, work Experience other",PHEO||SEPH-CIRCLE-CUTTACK||PH Division Angul,20 OF 2025-26,2025_PHEO_118407_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,SUPERINTENDING ENGINEER PH DIVISION ANGUL,ANGUL PH DIVISION ANGUL PH No 06764296431,24-Sep-2025 11:00 AM,04-Oct-2025 11:00 AM,24-Sep-2025 11:00 AM,03-Oct-2025 05:00 PM,NA ,NA ,24-Sep-2025 11:00 AM,03-Oct-2025 05:00 PM,"6,000",0.0,Nil,Nil,No,1.0,ICICI BANK,Procurement and installation of 125 DG Set at Hemasurapada Pump House at Angul under Annual Action Plan 2025-26,Procurement and installation of 125 DG Set at Hemasurapada Pump House at Angul under Annual Action Plan 2025-26,Please refer Tender documents. ,NA ,"22,05,000",Civil Works - Water Works,NA ,Tender,90.0,60.0,ANGUL,759122.0,NA ,NA ,NA ,ANGUL,No ,No,"22,050",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3103690,ANIL KUMAR SAHU,02-Oct-2025 12:07 AM,Rejected-AOC,Transparent lottery not win,16-Dec-2025 07:41 AM,AOC,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3100894,GSP POWER PROJECTS RETAIL DIVISION,26-Sep-2025 06:48 PM,Accepted-AOC,Acceptance by transparent lottery,16-Dec-2025 07:41 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3107226,RM ENTERPRISES,03-Oct-2025 03:00 PM,Rejected-AOC,Transparent lottery not win,16-Dec-2025 07:41 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
