EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
"10,970",Yes,percentage,1.0%,Nil,Nil,Municipal Bodies||Gunupur Municipal Council,GUN-MUN-69/2024-25,2025_ORULB_111921_24,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,26-Mar-2025 11:00 AM,09-Apr-2025 11:00 AM,26-Mar-2025 11:00 AM,08-Apr-2025 05:00 PM,NA ,NA ,26-Mar-2025 11:00 AM,08-Apr-2025 05:00 PM,EXECUTIVE OFFICER GUNUPUR MUNICIPALITY,EXECUTIVE OFFICER GUNUPUR MUNICIPALITY,CONSTRUCTION OF ROAD AND DRAIN OPPOSITE OF RAGHUNATH NAGAR LANE-1 IN WARD NO.18.,CONSTRUCTIN OF ROAD AND DRAIN,Please refer Tender documents. ,NA ,"10,97,000",Civil Works - Others,NA ,Tender,90.0,90.0,GUNUPUR MUNICIPALITY,765022.0,NA ,NA ,NA ,GUNUPUR MUNICPALITY OFFICE,No ,No,1.0,ICICI BANK,"6,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,AS PER DTCN,AOC,Chairperson Gunupur Municipality,Internal,"Chairperson Gunupur Municipality, Executive Officer Gunupur Municipality, Municipal Engineer Gunupur Municipality and other members",Santosha Kumar Naik,08-Jun-2025 08:35 PM,finsummary_534377.pdf (3030.88 KB),Chairperson Gunupur Municipality,Internal,"Chairperson Gunupur Municipality, Executive Officer Gunupur Municipality, Municipal Engineer Gunupur Municipality and other members",Santosha Kumar Naik,08-Jun-2025 08:31 PM,techsummary_534377.pdf (3400.19 KB),08-Jun-2025,"INR 929,796",90.0,Santosha Kumar Naik,28-Dec-2025 06:55 PM,24.pdf (3631.00 KB),Municipal Bodies||Gunupur Municipal Council,2025_ORULB_111921_24,GUN-MUN-69/2024-25,CONSTRUCTION OF ROAD AND DRAIN OPPOSITE OF RAGHUNATH NAGAR LANE-1 IN WARD NO.18.,1.0,2877436.0,RAKESH KUMAR PATRO,INR,"932,696",1,2877300,CHINNARI VENKATA KRISHNA RAO,07-Apr-2025 10:08 AM,Rejected-Finance,Disqualified in the transparent lottery process,08-Jun-2025 08:35 PM,Finance,all bids admitted,Dandapati Yudhistir,30-Apr-2025 09:38 PM,finance_534377.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,.xls,BILL OF QUANITY,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2879002,PRASANT KUMAR MISHRA,08-Apr-2025 02:04 PM,Rejected-Finance,Disqualified in the transparent lottery process,08-Jun-2025 08:35 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2877436,RAKESH KUMAR PATRO,06-Apr-2025 07:47 PM,Accepted-AOC,L1 in the transparent lottery process,28-Dec-2025 06:55 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2873780,RAMA CHANDRA PANDA,31-Mar-2025 04:43 PM,Rejected-Finance,Disqualified in the transparent lottery process,08-Jun-2025 08:35 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2870392,WAIRUMPI SABAR,08-Apr-2025 04:13 PM,Rejected-Finance,Disqualified in the transparent lottery process,08-Jun-2025 08:35 PM,,,,,,,AOC
