S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,3024425.0,PRAMITA BEHERA,INR,"3,676,306.851",Finance,OK,Sunanda Kisan,07-Aug-2025 11:38 AM,,BOQ Comparative Chart,Executive Engineer,Internal,"EE,DAO,AEE Estimator ,AE Estimator",Kumarmani Kishan,10-Dec-2025 07:02 PM,finsummary_547116.pdf (192.45 KB),CE RW I||RWCIRCLE-SAMBALPUR||RWDIVISION-BARGARH,2025_CERWI_115991_1,ONLINE-BGH-04,Construction of staff quarter and boundary wall at Govt Ayurvedic dispensary Building at Tentiltikira,Executive Engineer,Internal,"EE,DAO,EE Estimator, AE Estimator",Kumarmani Kishan,10-Dec-2025 06:51 PM,techsummary_547116.pdf (192.45 KB),10-Dec-2025,"INR 3,676,306.851",120.0,Kumarmani Kishan,10-Dec-2025 07:08 PM,Tenteltikra.pdf (407.00 KB),1,3024243,BIKASH CHANDRA NAIK,05-Aug-2025 11:35 AM,Rejected-Finance,Unsuccessful Bidder in Lottery Process,10-Dec-2025 07:02 PM,AOC,Executive Engineer,"RURAL WORKS DIVISION, BARAGARH",24-Jul-2025 11:00 AM,06-Aug-2025 11:00 AM,24-Jul-2025 11:00 AM,05-Aug-2025 05:00 PM,24-Jul-2025 11:00 AM ,05-Aug-2025 04:00 PM ,24-Jul-2025 11:00 AM,05-Aug-2025 05:00 PM,"6,000",0.0,Nil,Nil,No,Construction of staff quarter and boundary wall at Govt Ayurvedic dispensary Building at Tentiltikira,Construction of staff quarter and boundary wall at Govt Ayurvedic dispensary Building at Tentiltikira,NA ,NA ,"43,24,558",Civil Works - Buildings,NA ,Tender,90.0,120.0,Bargarh,768028.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, BARAGARH",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Registration Certificate, PAN Card, Valid GSTIN, Affidavit, No Relation Certificate As per DTCN",1.0,ICICI BANK,"43,246",Yes,percentage,1.0%,Nil,Nil,CE RW I||RWCIRCLE-SAMBALPUR||RWDIVISION-BARGARH,ONLINE-BGH-04,2025_CERWI_115991_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3024608,BINDIA KAR,05-Aug-2025 03:21 PM,Rejected-Finance,Unsuccessful Bidder in Lottery Process,10-Dec-2025 07:02 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Boq,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3011758,BULU KUMAR DASH,25-Jul-2025 01:24 PM,Rejected-Finance,Unsuccessful Bidder in Lottery Process,10-Dec-2025 07:02 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3024125,BYOMAKESH SAHU,05-Aug-2025 03:49 PM,Rejected-Finance,Unsuccessful Bidder in Lottery Process,10-Dec-2025 07:02 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3024349,DEBANAND DASH,05-Aug-2025 12:09 PM,Rejected-Finance,Unsuccessful Bidder in Lottery Process,10-Dec-2025 07:02 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3023768,KAMAL LOCHAN NAIK,04-Aug-2025 08:04 PM,Rejected-Finance,Unsuccessful Bidder in Lottery Process,10-Dec-2025 07:02 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3020253,KRUSHNA KUMBHAR,02-Aug-2025 12:29 PM,Rejected-Finance,Unsuccessful Bidder in Lottery Process,10-Dec-2025 07:02 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3021809,MAHESH KUMAR SETH,02-Aug-2025 06:29 PM,Rejected-Finance,Unsuccessful Bidder in Lottery Process,10-Dec-2025 07:02 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3024404,NIROJ KUMAR MEHER,05-Aug-2025 12:41 PM,Rejected-Finance,Unsuccessful Bidder in Lottery Process,10-Dec-2025 07:02 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3024425,PRAMITA BEHERA,05-Aug-2025 04:05 PM,Accepted-AOC,Successful Bidder,10-Dec-2025 07:08 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
