Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage
Finance,ok,Nilamadhab Nag,14-Nov-2025 04:24 PM,,BOQ Comparative Chart,30-Dec-2025,"INR 508,580.39",30.0,Nilamadhab Nag,30-Dec-2025 01:19 PM,3323.pdf (420.00 KB),Work Order Issued,Municipal Bodies||Kuchinda NAC,2025_ORULB_120592_17,KCDA/NAC-5/2025-26,Construction of Bathing ghat at river Veden in Ward No-10,1.0,3215843.0,Sushanta Kumar Dwibedy,INR,"508,580.39",1,3210584,AMIT AGRAWAL,11-Nov-2025 02:06 AM,Rejected-AOC,Rejected,30-Dec-2025 01:19 PM,Pradyut Kumar Mohantay,Internal,"B K Sa,N Nag,Manaranjan Suna",Nilamadhab Nag,29-Dec-2025 01:29 PM,techsummary_561183.pdf (664.63 KB),Pradyut Kumar Mohanty,Internal,"B K Sa,N Nag,Manaranjan Suna",Nilamadhab Nag,29-Dec-2025 03:42 PM,finsummary_561183.pdf (664.63 KB),AOC,"4,000",0.0,Nil,Nil,No,1.0,ICICI BANK,Construction of Bathing ghat at river Veden in Ward No-10,Construction of Bathing ghat at river Veden in Ward No-10,Please refer Tender documents. ,NA ,"5,08,580",Civil Works - Others,NA ,Tender,90.0,30.0,Ward No-10 NAC Kuchinda,768222.0,NA ,NA ,NA ,OFFICE OF THE NAC KUCHINDA,No ,No,Municipal Bodies||Kuchinda NAC,KCDA/NAC-5/2025-26,2025_ORULB_120592_17,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"EXECUTIVE OFFICER,NAC KUCHINDA","AT/PO-KUCHINDA,DIST-SAMBALPUR",03-Nov-2025 10:00 AM,14-Nov-2025 10:00 AM,03-Nov-2025 10:00 AM,13-Nov-2025 05:30 PM,03-Nov-2025 10:00 AM ,13-Nov-2025 05:30 PM ,03-Nov-2025 10:00 AM,13-Nov-2025 05:30 PM,"5,086",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,AOC
,,,,,,,,,,,,,,,,,,,,,,2,3219943,ANANTA NARAYAN BEHERA,13-Nov-2025 08:18 AM,Rejected-AOC,Rejected,30-Dec-2025 01:19 PM,,,,,,,,,,,,,AOC,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,AOC
,,,,,,,,,,,,,,,,,,,,,,3,3214061,BIKASH KUMAR NAYAK,11-Nov-2025 06:59 PM,Rejected-AOC,Rejected,30-Dec-2025 01:19 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,4,3219691,BISHAL AGRAWAL,13-Nov-2025 02:59 AM,Rejected-AOC,Rejected,30-Dec-2025 01:19 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,5,3217720,GOBINDA SAHOO,13-Nov-2025 12:46 PM,Rejected-AOC,Rejected,30-Dec-2025 01:19 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,6,3205292,KULAMANI SAHANSIA,13-Nov-2025 04:52 AM,Rejected-AOC,Rejected,30-Dec-2025 01:19 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,7,3221414,PRAKASH RUDRA SINGH,13-Nov-2025 02:49 PM,Rejected-AOC,Rejected,30-Dec-2025 01:19 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,8,3221875,ROHIT AGRAWAL,13-Nov-2025 04:33 PM,Rejected-AOC,Rejected,30-Dec-2025 01:19 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,9,3216793,SUJIT KUMAR AGARWAL,12-Nov-2025 11:49 PM,Rejected-AOC,Rejected,30-Dec-2025 01:19 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,10,3215843,Sushanta Kumar Dwibedy,12-Nov-2025 09:18 AM,Accepted-AOC,Awarded through lottery system,30-Dec-2025 01:19 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
