Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
"Executive Engineer, R.W EL.DIVN.BBSR",Internal,"Executive Engineer, D.A.O-II, and Estimator of R.W EL.DIVN.BBSR",Prakash Kumar Mishra,15-Nov-2025 06:09 PM,techsummary_552796.pdf (426.52 KB),05-Dec-2025,"INR 607,212",180.0,Prakash Kumar Mishra,11-Dec-2025 12:34 PM,4625.pdf (371.00 KB),M/s Excel Infrastructure has deposited requisite amount of AS & ISD,1,3096585,ABHILASH PRADHAN,23-Sep-2025 03:44 PM,Rejected-Finance,Looser on lottery,01-Dec-2025 01:28 PM,1.0,3101783.0,M/s Excel Infrastructure,INR,"607,212",Finance,13 Nos bidders participated in the tender,Prakash Kumar Mishra,06-Nov-2025 04:40 PM,finance_552796.pdf,BOQ Comparative Chart,"Executive Engineer, R.W EL.DIVN.BBSR",Internal,"Executive Engineer, D.A.O-II, and Estimator of R.W EL.DIVN.BBSR",Prakash Kumar Mishra,01-Dec-2025 01:28 PM,finsummary_552796.pdf (657.50 KB),CE RW I||RW Electrical Circle Bhubaneswar||RW Electrical Division Bhubaneswar,2025_CERWI_118123_1,EERWELBBSR 14/ 2025-26,EI to Provision of New Video Conferencing System and Glow Sign Board at O/o Executive Engineer RW Division Puri,AOC,1.0,ICICI BANK,18-Sep-2025 12:00 PM,04-Oct-2025 01:00 PM,18-Sep-2025 12:00 PM,03-Oct-2025 05:00 PM,NA ,NA ,18-Sep-2025 12:00 PM,03-Oct-2025 05:00 PM,E. E. R.W EL.DIVN.BBSR At- Divn. Complex Rasulgarh,"Executive Engineer, R.W EL.DIVN.BBSR At- 1st floor of Divn. Complex, Rasulgarh Behind Explanade Mall. Dist. Khurda Odisha. Pincode-751010",1.0,Fee/PreQual/Technical/Finance,.pdf,"Valid license copy ,GST certificate ,PAN card , EMD",CE RW I||RW Electrical Circle Bhubaneswar||RW Electrical Division Bhubaneswar,EERWELBBSR 14/ 2025-26,2025_CERWI_118123_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"4,000",0.0,Nil,Nil,No,"7,143",No,percentage,1.0%,Nil,Nil,EI to Provision of New Video Conferencing System and Glow Sign Board at O/o Executive Engineer RW Division Puri,EI to Provision of New Video Conferencing System and Glow Sign Board at O/o Executive Engineer RW Division Puri,Please refer Tender documents. ,NA ,"7,14,283",Electrical Works,NA ,Tender,90.0,180.0,Puri,752001.0,NA ,NA ,NA ,E. E. R.W EL.DIVN.BBSR At- Divn. Complex Rasulgarh,No ,No,AOC
,,,,,,,,,,,,,2,3104219,BABA ELECTRICAL CONSTRUCTION,01-Oct-2025 12:05 PM,Rejected-Finance,Looser on lottery,01-Dec-2025 01:28 PM,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,.pdf,"Tender paper cost, Affidavit for correctness, no relation certificate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,3,3106709,BAMADEV DASH,03-Oct-2025 12:11 PM,Rejected-Finance,Looser on lottery,01-Dec-2025 01:28 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,4,3106585,BISWA RANJAN MOHANTY,03-Oct-2025 11:27 AM,Rejected-Finance,Looser on lottery,01-Dec-2025 01:28 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,5,3102260,CHAKADOLA ELECTRICAL,02-Oct-2025 12:32 PM,Rejected-Finance,Looser on lottery,01-Dec-2025 01:28 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,6,3107651,DEEPAK KUMAR KHATUA,03-Oct-2025 04:52 PM,Rejected-Finance,Looser on lottery,01-Dec-2025 01:28 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,7,3107165,DHYAN CHAND MISHRA,03-Oct-2025 01:48 PM,Rejected-Finance,Looser on lottery,01-Dec-2025 01:28 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,8,3101783,M/s Excel Infrastructure,28-Sep-2025 09:55 AM,Accepted-AOC,M/s Excel Infrastructure has deposited requisite amount of APS and ISD,11-Dec-2025 12:34 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,9,3105936,ONE STEP SOLUTIONS,02-Oct-2025 06:55 PM,Rejected-Finance,Looser on lottery,01-Dec-2025 01:28 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,10,3101773,Sahil Electricals,28-Sep-2025 09:25 AM,Rejected-Finance,Looser on lottery,01-Dec-2025 01:28 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
